time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
14-3 12:00,"2,97","0,64","0,42","1,64","0,45","1,34",-,-,-,-,-,"0,52","1,79","2,53","0,59","0,54","0,99","3,06","1,56","8,09","0,55","0,52","0,58","0,47","1,53","3,66","0,59"
14-3 12:05,-,-,-,-,-,-,"1,11","2,41","0,58","3,11","0,71","0,62","1,62","2,71","0,63","0,58","0,66","2,24","1,49","9,13","0,58","0,81","0,62","1,93","1,46","3,77","0,67"
14-3 12:10,-,-,-,-,-,-,"1,15","2,26","0,66","2,99","0,75","0,64","1,42",-,-,-,-,-,"1,56","8,78","0,57","0,53","0,55","0,50","1,47","3,56","0,65"
14-3 12:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,51","8,41","0,62","0,53","0,65","0,59",-,-,-
14-3 12:20,-,-,-,-,-,-,"0,84","3,11","0,58","2,98","0,80","0,54","1,27","2,73","0,75","0,73","0,75",-,-,-,-,-,-,-,"1,33","3,60","0,64"
14-3 12:25,"2,95","0,36","0,38","1,74","0,40","2,31","1,07","2,75","0,84","3,04","0,82","0,59","1,39","2,59","0,62","0,46","0,68","2,50",-,-,-,-,-,-,-,-,-
14-3 12:30,"2,33","0,31","0,39","1,50","0,40","1,19","0,84","2,26","0,50","3,06","0,77","0,68","1,14","2,62","0,60","0,59","1,00","2,55","1,76","7,46","0,55","0,52","0,56","0,50","1,39","3,61","0,61"
14-3 12:35,"2,34","0,33","0,46","1,89","0,47","1,31","0,84","2,54","1,24","3,13","0,83","0,91","1,76","3,22","0,73","0,57","0,65","2,16","1,71","8,21","0,77","0,58","0,62","0,54","0,95","3,63","0,58"
14-3 12:40,-,-,-,-,-,-,"1,13","3,25","0,94","2,97","0,85","0,58","1,40","0,73","0,53","0,54","0,70","2,68","1,83","7,97","0,97","0,84","0,54","0,71","1,11","3,05","0,58"
14-3 12:45,"3,70","0,33","0,41","1,49","0,41","1,38",-,-,-,-,-,-,"2,33","2,53","0,67","0,53","0,67","2,44","1,51","10,77","0,73","0,60","0,51","0,52","1,46","4,08","0,55"
14-3 12:50,-,-,-,-,-,-,"1,09","2,23","0,97","3,04","0,75","0,56",-,-,-,-,-,"2,15","1,42","7,93","0,58","0,88","0,61","0,63","0,99","3,07","0,69"
14-3 12:55,"2,76","0,32","0,40","1,69","0,49","1,46",-,-,-,-,-,-,"1,98","2,52","0,66","0,54","1,00",-,-,-,-,-,-,-,"1,09","3,51","0,51"
14-3 13:00,"2,89","0,40","0,39","1,56","0,44","1,41",-,"2,41","0,92","3,05","0,82","0,62",-,-,-,-,-,-,"1,55","7,85",-,-,-,-,-,-,-
14-3 13:05,-,-,-,-,-,-,-,-,-,-,-,"2,63","1,79","3,53","0,60","1,79","2,99","2,67",-,-,"0,59","0,71","0,59","0,54","0,92","3,24","0,63"
14-3 13:10,-,-,-,-,-,-,"1,05","2,24","0,67","2,89","0,73","0,63","1,52","2,61","0,64","0,56","0,64","2,51","1,41","8,50","1,09","1,11","0,59","0,70","1,43","2,92","0,58"
14-3 13:15,"2,24","0,35","0,37","1,55","0,41","1,36","0,91","2,20","0,64","5,43","0,79","0,69","1,44","2,45","0,54","0,60","0,74",-,-,-,-,-,-,-,"1,45","3,96","0,53"
14-3 13:20,-,-,-,-,-,-,"1,02","2,20","1,21","3,13","0,79","0,46","1,48","2,72","0,53","0,64","0,99","2,80",-,-,-,-,-,-,-,-,-
14-3 13:25,"2,35","0,36","0,40","1,82","0,47","1,58","1,26","6,27","0,70","4,95","0,75",-,"2,29","2,58","0,68","0,58","0,99",-,"2,43","7,63","0,58","0,71","0,71","0,74","1,21","3,47","0,94"
14-3 13:30,"2,59","0,35","0,39","1,77","0,37","1,51",-,-,-,-,-,-,"1,35","2,52","0,61","0,58","1,66","3,17","1,29","7,55","0,60","0,54","0,55","0,53","1,37","3,05","0,61"
14-3 13:35,-,-,-,-,-,-,-,-,-,-,-,-,"1,40","1,01","0,81","0,63","1,05",-,-,-,-,-,-,-,-,-,-
14-3 13:40,"6,99","0,33","0,44","1,64","0,39","1,79","0,94","2,09","1,16","4,08","0,69","0,61","1,55","2,61","0,55","0,47","0,62","2,36",-,-,-,-,-,-,"1,02","3,47","0,70"
14-3 13:45,"2,74","0,36","0,73","1,52","0,66","1,31","0,92","2,01","0,69","3,24","0,76","1,72","4,30","2,54","0,91","0,84","1,25","3,57","1,78","8,73","0,71","0,65","0,77",-,-,-,-
14-3 13:50,"3,07","0,38","0,42","1,83","0,63","1,42","1,16","2,17","0,90","3,05","0,94","0,59","2,10","2,63","1,40","0,59","1,44","1,99","1,63","7,57","0,60","0,60","0,67","0,78","1,19","3,13","0,69"
14-3 13:55,"2,61","0,29","0,40","1,61","0,40","1,18","1,23","1,89","0,95","4,01","1,02","0,58",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-3 14:00,"2,39","0,33","0,40","1,81","0,39","1,67","1,03","1,99","0,47","5,54","0,71","0,59","1,68","2,12","0,88","0,76","1,14","2,32","1,87","8,66","0,55","0,52","0,57","0,56",-,-,-
14-3 14:05,-,-,-,-,-,-,"1,00","2,37","0,91","2,93","1,05","0,59","2,05","2,57","0,76","0,66","1,57","3,10","1,83","8,10","0,67","0,52","0,55","0,55","1,43","3,32","0,58"
14-3 14:10,"2,52","4,62","4,64","7,98","8,88","6,90","5,54",-,-,-,-,-,-,"4,35","0,67","2,86","4,90","6,54",-,-,-,-,-,-,-,-,-
14-3 14:15,-,-,-,-,"1,33","2,25","1,29","5,97","0,95","3,02",-,-,-,-,-,-,"1,56","3,04",-,-,-,-,"20,66","13,42","9,83","10,29","6,52"
14-3 14:20,-,-,-,-,-,-,"2,91","2,73","0,95","3,05","1,04","1,12",-,-,-,-,-,-,"11,24","8,03","0,55","0,47","0,48","0,58","5,01","4,49",-
14-3 14:25,"2,38","10,35","1,91","1,66","0,71","1,89","0,88","3,19","0,77","3,01","0,67",-,-,-,-,-,-,"2,64","2,12","8,77","0,36","0,47","0,54","0,45","1,04","3,43","0,70"
