time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
22-3 20:00,"2,09","0,27","0,28","1,72","0,29","1,50","0,85","2,01","0,68","2,88","0,69","0,49","1,18","1,55","0,52","0,41","0,67","2,02","1,38","7,98","0,42","0,55","0,50","0,58","1,35","3,14","0,32"
22-3 20:05,"2,15","0,26","0,35","1,68","0,53","1,27","0,91","1,98","0,59","3,01","0,76","0,49","1,25","0,68","0,51","0,43","0,64","2,07","1,67","8,40","0,36","0,44","0,44","0,42","1,10","3,59","0,47"
22-3 20:10,"1,92","0,29","0,36","1,33","0,30","1,46","0,85","3,01","0,66","2,94","0,69","0,52","2,18","2,58","0,52","0,40","0,59","1,92","1,36","8,09","0,42","0,63","0,46","0,47","1,48","3,09","0,54"
22-3 20:15,"2,01","0,23","0,32","1,52","0,27","1,27","0,81","2,22","0,48","2,87","0,76","0,48","1,49","1,60","0,53","0,40","0,62","2,24","1,36","8,21","0,40","0,39","0,42","0,40","1,43","3,00","0,44"
22-3 20:20,"2,26","0,68","0,27","2,31","0,52","1,46","0,83","2,15","0,64","3,02","0,75","0,52","1,27","0,68","0,49","0,51","0,72","2,24","1,14","8,08","0,43","0,51","0,43","0,50","1,33","3,37","0,51"
22-3 20:25,"1,90","0,36","0,29","1,32","0,32","1,09","0,80","1,64","1,93","1,74","0,70","1,11","1,20","2,45","0,49","0,46","0,55","2,38","1,30","8,14","0,41","0,43","0,45","0,41","1,36","3,32","0,57"
22-3 20:30,"2,31","0,35","0,30","1,30","0,32","1,38","0,78","2,38","0,69","2,90","0,62","0,48","1,29","1,69","0,52","0,47","0,59","2,15","1,35","9,03","0,42","0,44","0,50","0,45","0,95","2,58","0,52"
22-3 20:35,"2,06","0,20","0,27","1,88","0,54","1,16","0,88","2,11","0,61","2,95","0,69","0,48","1,30","1,65","0,51","0,45","0,72","2,18","1,12","8,41","0,38","0,57","0,45","0,45","1,07","3,11","0,45"
22-3 20:40,"2,39","0,28","0,27","1,46","0,30","1,27","0,81","1,82","0,62","1,71","0,64","0,49","1,19","0,56","0,60","0,43","0,53","2,22","1,33","8,18","0,44","0,43","0,43","0,47","1,22","3,26","0,65"
22-3 20:45,"2,46","0,33","0,30","1,61","0,28","1,27","0,77","1,72","0,47","2,84","0,61","0,53","1,48","0,50","0,48","0,41","0,75","2,11","1,28","8,09","0,37","0,39","0,45","0,44","0,93","3,20","0,48"
