time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
20-3 18:00,"2,74","2,50","0,65","1,51","0,61","1,67","0,81","2,07","1,16","3,12","0,61","0,72","1,31","2,55","0,81","0,74","0,85","2,36","1,63","7,73","0,85","0,73","0,83","0,77","1,51","3,46","0,82"
20-3 18:05,"2,28","1,79","1,81","3,84","2,33","3,10","1,45","2,85","1,75","5,02","0,71","1,43","1,54","3,54","0,90","1,67","2,25","2,15","1,65","7,47","0,80","0,84","0,73","0,71","1,20","3,12","0,94"
20-3 18:10,"2,09","0,69","0,63","1,48","0,70","1,78","0,80","2,45","1,97","2,99","0,72","0,54","1,34","2,64","0,93","0,77","1,57","3,77","2,73","9,37","1,69","1,95","2,48","2,46","2,22","4,27","2,51"
20-3 18:15,"2,30","0,77","0,67","2,30","0,72","1,84","0,95","3,11","1,01","2,88","0,70","1,09","1,37","0,87","0,88","0,78","1,53","2,95","1,81","9,33","1,77","1,15","0,86","0,79","1,32","4,87","0,81"
20-3 18:20,"2,28","0,70","0,61","1,37","0,88","1,73","0,78","2,37","1,04","2,93","0,68","0,60","1,29","1,71","0,84","0,78","1,22","2,38","1,55","7,09","0,78","0,77","0,77","0,74","1,76","3,36","0,80"
20-3 18:25,"1,80","0,67","0,85","4,06","1,18","1,72","1,07","2,38","1,31","2,98","0,64","0,57","2,39","0,84","0,85","0,74","1,58","3,12","3,76","7,72","1,10","1,12","1,08","0,77","1,42","3,64","0,86"
20-3 18:30,"1,90","0,67","0,66","1,47","0,65","1,60","0,79","6,02","1,12","2,85","0,66","0,66","1,29","1,24","1,01","0,78","0,93","2,67","1,62","8,36","1,18","0,82","0,75","0,78","1,34","3,05","0,77"
20-3 18:35,"2,34","0,79","0,57","2,98","1,61","1,80","0,84","2,15","1,07","3,01","0,77","0,59","1,30","1,68","0,85","0,83","1,23","1,99","1,72","8,17","0,72","0,82","0,74","0,70","1,07","3,07","0,79"
20-3 18:40,"2,35","0,62","0,61","1,64","0,70","1,58","0,82","1,76","1,03","2,89","0,67","0,83","1,19","1,07","0,90","0,75","1,34","2,76","2,08","8,58","0,75","0,72","0,80","0,86","1,88","3,01","1,13"
20-3 18:45,"2,20","1,25","1,36","2,37","1,42","2,52","1,47","2,38","1,00","3,03","0,73","0,66","1,36","1,69","0,85","0,77","1,22","2,24","1,43","8,60","0,95","0,68","0,75","0,53","1,32","3,31","0,93"
