time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
15-3 20:30,"2,27","0,49","0,36","1,58","0,39","1,41",-,-,-,-,-,-,"1,34","0,98","0,57","0,53","0,61","2,62","1,39","8,64","0,58","0,48","0,55","0,50","1,29","3,74","0,60"
15-3 20:35,"2,17","0,34","0,38","1,62","0,61","1,60","0,88","2,56","0,63","2,95","0,84","0,60","2,20","1,70","0,67","0,56","0,97","2,37","1,54","7,67","0,49","0,64","0,52","0,52","0,83","3,45","0,69"
15-3 20:40,-,-,-,-,-,-,"1,47","2,03","0,72","2,87","0,77","0,54","1,43","4,42","0,62","2,45","2,93","3,78","1,78","8,31","0,60","0,69","0,68","0,67",-,-,-
15-3 20:45,"2,30","0,35","0,44","1,69","0,36","1,62",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15-3 20:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,42","11,45","0,79","0,54","0,64","0,54","0,89","4,07","0,58"
15-3 20:55,"2,37","0,44","0,39","1,60","0,45","1,50","0,98","1,92","0,62","2,98","0,78","0,54",-,-,-,-,-,-,"2,37","7,26","0,55","0,54","0,51","0,55","1,28",-,-
15-3 21:00,-,-,-,-,-,-,-,-,-,-,-,-,"1,45","2,60","0,67","0,44","0,61","2,41",-,-,-,-,-,-,-,"3,70","0,53"
15-3 21:05,-,-,-,-,-,-,"1,84","6,04","0,87","2,97","0,77","0,53","1,38","2,50","0,57","0,55","0,70","1,97","1,38","7,63","0,61","0,56","0,54","0,50","0,82","3,02","0,58"
15-3 21:10,"2,63","0,40","0,41","1,48","0,42","1,25","0,85",-,-,-,-,-,-,"2,59","0,49","0,41","0,81","2,49",-,-,-,-,-,-,"1,43","3,11","0,63"
15-3 21:15,"2,56","0,33","0,42","1,58","0,37","1,57",-,-,-,-,-,-,-,-,-,-,-,-,"1,32","8,29","0,61","0,55","0,49","0,49","2,28","3,06","0,50"
15-3 21:20,"2,24","0,49","0,40","2,22","1,54","1,48","0,93","2,41","0,72","2,96","0,77","0,62","1,27","2,59","0,60","0,54","0,61","2,37","1,58","7,58","0,52","0,51","0,69","0,52","1,45","3,06","0,65"
15-3 21:25,-,-,-,-,-,-,-,"2,00","0,59","4,91","0,67","0,55",-,-,-,-,-,-,-,-,-,-,-,-,-,"3,28","0,47"
