time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
20-3 10:30,"2,99","0,37","0,78","1,72","0,42","1,38","0,82","1,95","0,59","2,90","0,65","0,48","1,40","2,50","0,59","0,50","1,75","2,13","1,47","8,29","0,45","0,55","0,56","0,49","2,57","3,28","0,57"
20-3 10:35,"3,48","0,50","0,35","2,64","0,46","1,52","1,09","2,74","2,24","2,92","0,81","1,18","1,88","0,81","0,55","0,60","0,75","2,23","2,67","8,03","0,59","0,52","0,62","0,51","1,17","3,31","0,66"
20-3 10:40,"2,01","0,35","0,39","1,57","0,38","1,51","1,12","6,08","0,87","2,96","0,73","0,52",-,-,-,-,-,"3,47","1,88","8,83","0,67","0,65","0,58","0,69","4,95","3,73","0,65"
20-3 10:45,"2,33","0,35","0,56","1,59","0,44","1,35","1,04","2,42","1,01","2,94","0,71","0,60","1,39","2,53","0,67","0,63","0,92","2,12","1,66","8,37","0,56","0,46","0,48","0,57","1,33","3,10","0,53"
20-3 10:50,"2,30","0,23","0,40","2,65","1,45","1,64","0,87","4,27","0,83","2,95","0,68","0,52","2,33","2,56","0,65","0,55","0,63","2,60","1,37","8,42","0,59","0,56","0,56","0,52","1,37","3,56","0,57"
20-3 10:55,"2,21","0,42","0,38","1,28","0,44","1,40","0,85","2,43","0,80","2,86","0,79","0,57","3,44","0,57","0,57","0,50","0,52","2,21","1,50","7,62","0,50","0,56","0,58","0,59","1,48","2,91","0,65"
20-3 11:00,"1,86","0,67","0,60","1,56","0,62","1,57",-,-,-,-,-,-,"2,28","2,54","0,64","0,50","0,90","1,96","1,64","9,40","0,67","0,70","0,76","0,65","1,03","3,26","0,66"
20-3 11:05,"2,76","0,59","0,59","4,47","0,74","1,48","0,92","2,61","2,17","2,99","0,68","1,31","1,62","1,72","0,66","0,62","0,79","2,06","1,89","8,03","0,83","0,78","0,75","0,73","1,93","3,45","0,84"
20-3 11:10,"2,92","0,69","0,61","1,61","0,65","1,64","1,05","1,86","0,89","3,05","0,75","0,61","2,48","2,63","0,87","0,71","0,68","3,14","1,84","9,17","0,79","0,84","0,76","0,88","1,26","3,35","0,86"
20-3 11:15,"2,99","0,53","0,50","3,52","0,52","1,57","0,88","2,14","0,67","2,92","0,70","0,71","2,28","1,80","0,71","0,83","0,84","2,14","2,04","9,15","0,64","0,50","0,45","0,58","1,35","3,23","0,58"
20-3 11:20,"2,24","0,96","0,63","1,80","1,72","1,99","0,96","2,41","0,96","2,92","0,75","0,56","1,40","0,83","0,74","0,72","0,63","2,14","1,55","8,07","0,76","0,81","0,75","0,72","1,62","3,12","0,73"
20-3 11:25,"3,00","0,55","0,56","2,60","0,55","1,37","0,82","2,01","0,78","2,09","0,81","0,56","1,40","1,05","0,81","1,02","1,05","2,38","1,87","8,38","0,64","0,55","0,64","0,65","0,99","3,81","0,75"
20-3 11:30,"4,32","0,70","0,60","1,62","0,57","1,71","0,97","2,61","1,12","2,90","0,71","0,61","2,15","2,56","0,74","0,67","0,96","2,70","2,08","8,04","0,69","0,83","0,77","0,85","1,01","3,85","0,84"
20-3 11:35,"3,75","0,63","0,54","1,62","0,41","1,34","0,98","3,04","1,71","3,02","0,67","0,53","1,78","1,74","1,14","0,59","1,03","2,66","1,37","7,90","0,71","0,61","0,75","0,64","1,17","3,50","0,64"
