time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
16-3 11:30,"2,24","1,50","0,38","1,48","0,34","1,38",-,"2,23","0,58","2,89","0,69","0,55","1,38",-,-,-,-,-,"1,28","7,69","0,50",-,-,-,-,-,-
16-3 11:35,-,-,-,-,-,-,"0,82","3,10","0,84","3,12","0,44","0,56",-,-,-,-,-,-,-,-,-,"0,48","0,50","0,55","1,25","3,60","0,51"
16-3 11:40,"3,01","0,39","0,38","1,84","0,42","1,22","0,84","2,17","0,61","2,96","0,70","0,73",-,"2,48","0,53","0,48","0,92","2,35",-,-,-,-,-,-,-,"5,34","0,54"
16-3 11:45,-,-,-,-,-,-,-,-,-,-,-,-,"1,70","2,61","0,65","0,52","0,92","2,78","1,60","8,07","0,48","0,52","0,51","0,51","1,44","3,09","0,52"
16-3 11:50,"2,36","0,24","0,42","1,46","0,52","1,35","0,86","2,10","0,43","3,07","0,67","0,53","2,21",-,-,-,-,-,-,-,-,"0,51","0,47","0,55","1,04","3,63","0,57"
16-3 11:55,"2,66","0,31","0,47","1,60","0,46","1,92","0,84","2,59","0,75","3,00","0,83","0,63",-,"2,61","0,66","0,55","0,90","2,83","1,51","8,64","0,58","0,63","0,63","0,60","0,93","3,98","0,71"
16-3 12:00,"2,29","0,62","0,41","1,63","0,45","1,47",-,-,-,-,-,-,"1,29","2,57","0,66","0,62","0,57","1,93","1,36","8,39","0,51","0,50","0,52","0,50","1,28","3,38","0,54"
16-3 12:05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,49","0,56","0,50","0,52","0,94","3,14","0,56"
16-3 12:10,"2,70","0,39","0,41","1,76","0,52","1,42","1,33","4,10","0,69","2,95","0,87","0,56",-,-,-,-,-,-,-,-,-,-,-,-,"1,50","4,19","0,86"
16-3 12:15,"2,25","0,34","0,38","1,75","0,38","1,10","0,89","2,45","0,84","2,92","0,71","0,62","1,31",-,-,-,-,"2,61","1,49","8,01","0,48","0,53","0,55","0,52",-,-,-
