time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
21-3 14:00,"2,23","0,70","0,64","1,58","0,62","1,57","0,85","2,01","0,96","3,00","0,72","0,62","1,37","2,49","0,93","0,80","1,38","3,00","1,76","8,64","0,82","0,75","0,94","0,77","1,34","3,70","0,80"
21-3 14:05,"2,51","0,77","0,96","3,99","1,10","1,74","0,94","2,47","0,93","3,15","0,77","0,64","1,38","1,74","0,84","0,89","0,94","2,68","1,86","8,27","0,91","0,86","0,95","0,83","1,43","3,11","0,89"
21-3 14:10,"2,12","1,27","1,57","2,01","1,56","3,68","7,87","4,95","2,73","3,67","0,73","1,96","1,40","4,85","0,89","2,41","2,77","3,38","3,61","9,84","2,73","1,80","1,51","1,64","1,77","4,15","2,08"
21-3 14:15,"2,09","0,90","1,54","1,74","0,69","1,71","0,87","2,43","1,01","3,02","0,79","0,62","1,30","1,63","0,86","0,77","0,92","3,02","1,60","7,99","0,72","0,88","0,88","5,50","1,30","5,14","2,34"
21-3 14:20,-,-,-,-,-,-,"0,73","2,87","0,99","2,95","0,63","0,59","2,33","2,52","0,91","0,76","1,20","2,76","1,47","8,39","0,94","0,84","0,87","0,71","1,61","3,54","0,86"
21-3 14:25,"2,07","1,28","0,65","2,66","0,62","1,74","0,58","9,45","1,06","3,02","0,69","0,58","1,33","0,76","0,81","0,79","1,16","2,98","1,80","7,81","0,66","2,46","0,73","0,69","1,47","3,46","0,88"
21-3 14:30,"2,15","0,72","0,66","1,41","0,61","1,84","0,86","2,35","1,23","2,82","0,73","0,72","2,95","1,68","0,79","0,81","1,16","2,57","1,45","7,58","0,69","0,68","0,76","0,79","0,87","3,18","0,83"
21-3 14:35,"1,92","1,10","0,70","2,64","1,40","1,78","0,91","2,54","1,14","2,96","0,73","0,64","1,38","0,94","0,86","0,84","0,78","3,40","1,50","8,78","0,94","0,81","0,92","0,71","1,47","3,91","0,83"
21-3 14:40,"2,17","0,72","0,68","1,76","0,65","1,91","0,91","2,11","1,04","2,87","0,76","0,60","1,52","2,54","0,88","0,76","1,43","2,85","2,08","9,07","0,83","0,86","0,82","0,89","1,17","3,30","1,08"
21-3 14:45,"3,03","0,70","0,64","1,38","0,63","1,46","0,79","2,02","1,14","2,91","0,76","1,05","1,31","2,55","0,82","0,74","0,64","2,85","1,60","7,61","0,77","0,91","0,77","0,76","1,54","3,25","0,85"
21-3 14:50,"3,31","3,36","8,18","1,70","3,57","3,30","1,43","3,01","1,79","3,75","0,83","1,45","1,35","2,70","0,83","1,78","1,83","3,12","1,45","7,43","1,04","0,95","0,87","0,74","1,44","3,73","0,84"
21-3 14:55,"2,16","0,72","0,65","1,50","0,61","1,73","0,94","2,27","1,18","2,98","0,68","0,63","1,28","2,57","0,82","0,81","0,55","4,17","2,74","9,75","2,33","2,22","1,86","2,02","1,81","4,50","1,65"
21-3 15:00,"2,35","0,80","0,61","1,65","0,66","2,09","0,87","2,10","0,98","3,02","0,70","1,28","1,72","3,48","0,99","1,07","1,49","3,56","2,64","8,61","0,95","0,73","0,91","0,68","1,37","3,38","0,74"
21-3 15:05,"1,82","0,71","0,60","2,03","1,04","1,64","0,98","1,96","0,84","3,08","0,78","0,62","1,30","0,96","0,87","0,78","0,88","2,81","1,60","8,83","0,89","0,76","0,77","0,80","0,96","3,32","0,83"
21-3 15:10,"2,12","0,73","0,64","1,56","0,71","1,59","0,89","3,92","0,93","2,88","0,79","0,59","1,19","0,62","0,97","0,90","1,13","2,31","1,92","8,09","0,88","0,80","0,95","1,00","1,21","3,29","0,93"
21-3 15:15,"2,02","0,64","0,73","3,75","0,67","1,60","0,92","1,99","0,91","2,90","0,71","0,65","1,58","2,52","0,79","0,82","0,85","2,87","2,08","8,82","0,74","0,69","0,69","0,69","1,26","6,55","0,78"
21-3 15:20,"2,59","0,69","0,74","1,74","0,79","1,35","0,86","2,02","1,00","2,88","0,79","2,71","1,47","1,68","0,97","0,83","1,27","2,72","1,62","7,93","0,84","0,74","0,83","0,85","2,88","3,91","0,85"
21-3 15:25,"2,45","0,70","0,64","1,35","0,63","1,69","2,80","2,56","1,02","3,09","0,76","0,65","1,43","2,47","0,90","0,77","0,66","2,45","1,68","8,55","0,68","0,76","0,83","0,79","1,12","3,82","0,89"
21-3 15:30,"2,45","0,69","0,86","3,11","0,66","1,76","0,84","1,89","0,94","2,93","0,69","0,69","1,37","1,85","0,91","0,98","0,91","2,52","1,69","8,41","0,73","0,75","0,77","0,76","2,35","4,61","0,82"
21-3 15:35,"2,37","0,68","0,62","1,97","1,07","1,58","0,82","1,84","1,02","3,01","0,72","0,84","1,38","1,01","0,88","0,83","1,26","2,82","1,52","8,66","1,00","0,88","0,83","0,88","1,14","3,32","1,11"
21-3 15:40,"2,75","0,71","0,62","2,85","0,67","1,62","0,85","2,29","1,03","2,87","0,74","0,58","3,18","0,90","0,79","1,58","1,57","2,52","1,57","8,26","0,77","0,78","0,81","1,00","1,30","3,41","0,93"
21-3 15:45,"2,07","1,33","1,30","3,86","1,47","2,15","2,25","3,67","2,58","4,61","4,88","3,69","1,74","3,43","0,94","1,75","3,82","3,47","2,97","8,53","0,73","0,75","0,81","0,81","0,82","3,08","0,81"
21-3 15:50,"2,06","0,34","0,60","1,40","1,17","1,86","0,84","2,09","1,02","3,10","0,71","0,63","1,37","2,04","0,84","0,75","0,87","2,71","1,89","9,41","1,71","1,70","1,74","1,85","2,71","4,44","1,98"
21-3 15:55,"2,20","5,41","1,28","1,38","0,62","1,87","0,83","2,22","1,01","2,88","0,69","0,89","1,64","2,52","0,87","0,78","1,18","2,50","1,81","8,11","0,71","0,73","0,78","0,78","0,91","3,30","1,04"
21-3 16:00,"2,38","0,65","2,60","3,27","0,65","2,05","0,82","1,94","2,16","2,91","0,81","0,70","1,70","1,62","0,81","0,83","1,05","5,05","1,83","11,35","0,72","0,72","0,73","0,75","0,97","3,22","0,82"
21-3 16:05,"1,93","0,58","0,66","1,60","1,07","2,05","1,64","1,73","1,78","3,03","0,70","0,61","1,29","1,86","1,05","0,84","0,91","2,36","1,94","8,57","0,99","2,82","1,09","0,83","1,13","5,50","0,90"
21-3 16:10,"2,37","0,69","1,18","2,00","0,67","1,47","0,87","2,72","1,52","2,92","0,76","1,00","1,45","0,96","0,74","1,72","1,44","2,18","1,67","8,39","0,83","0,73","0,78","1,14","1,10","3,42","0,85"
21-3 16:15,"3,26","0,69","0,50","1,49","0,65","1,64","0,82","2,33","0,92","2,91","0,68","0,60","1,28","2,54","0,83","0,76","1,46","2,55","1,67","7,45","0,85","0,94","0,73","0,73","0,79","3,78","0,77"
21-3 16:20,"1,93","0,85","0,64","1,24","0,92","1,94","0,88","2,43","1,09","2,93","0,76","0,61","1,22","1,58","1,10","0,98","3,27","2,86","1,52","7,58","1,19","0,82","1,11","1,13","1,13","3,74","0,88"
21-3 16:25,"2,42","0,72","0,65","1,53","0,64","1,71","0,86","2,15","1,03","3,04","1,90","0,74","2,13","2,56","0,87","0,77","1,08","2,54","2,12","8,13","1,07","0,82","0,81","0,78","0,83","4,83","1,37"
