time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
16-3 14:00,"3,34","0,79","0,73","1,40","0,71","1,85","0,95","2,39","0,92","2,90","0,76","0,82","2,28","2,59","0,92","1,08","1,62",-,-,-,-,-,-,-,"0,97","2,95","0,82"
16-3 14:05,"2,53","0,71","1,24","3,48","0,70","1,84","0,97","2,95","1,57","3,10","0,80",-,-,-,-,-,-,-,-,-,-,-,-,"0,87","0,90","3,90","1,00"
16-3 14:10,"2,64","0,61","0,61","1,73","0,62","1,61",-,-,-,-,-,-,-,-,-,-,-,"2,38","1,70","8,97","0,72","0,77","1,09","0,90","1,63","4,68","0,76"
16-3 14:15,"6,14","1,16","1,25","1,93","1,53","1,76",-,-,-,-,-,-,"1,48","2,08","0,90","0,81","1,23","4,07","1,65","8,46","0,73","0,78","0,72","0,81",-,-,-
16-3 14:20,"2,53","0,73","0,66","4,46","0,83","1,87",-,-,-,-,-,"2,26","2,23","4,32","0,92","2,33","2,72","4,61","3,18","8,61","2,26","3,17","2,17","3,98","1,98","4,34","1,68"
16-3 14:25,"2,56","0,58","0,62","1,43","0,69","1,52","0,86","2,22","0,94","2,95","0,75","0,61",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16-3 14:30,"3,65","1,09","1,00","3,63","0,67","1,58","0,84","2,31","0,94","3,04","0,82","4,74","2,15","1,89","0,81","0,97","1,17","2,73","1,66","8,76","0,74","0,68","0,73","0,70",-,-,-
16-3 14:35,-,-,-,-,-,-,"0,89","2,64","0,94","3,11","0,80","0,73",-,-,-,-,-,-,-,"9,02","0,78","0,81","0,83","0,73","1,77","3,03","0,78"
16-3 14:40,-,-,-,-,-,-,"0,87","2,18","0,85","2,96","0,69","0,65","1,29","2,50","0,81","0,73","1,17","2,72","1,62","8,57","0,75","0,75","0,75","0,85",-,-,-
16-3 14:45,"2,21","0,72","0,64","1,57","0,62","1,91",-,-,-,-,-,-,-,-,-,-,-,"2,83","1,49","8,32","0,72","0,71","0,76",-,-,-,-
16-3 14:50,"2,28","0,70","0,59","2,10","1,22","1,67","1,11","1,90","0,98","2,90","0,89","0,66","2,90","2,68","0,94","0,87","1,23",-,-,"7,64","0,80","0,71","0,92","0,74","1,39","3,35","0,79"
16-3 14:55,-,-,-,-,-,-,-,-,-,-,-,-,"1,41","2,55","1,05","0,82","1,41","2,71","2,17","7,72","0,91","0,87","0,88","0,90","1,85","3,76","0,86"
16-3 15:00,"2,53","0,78","0,73","4,42","0,68","1,52","0,88","2,49","0,89","2,93","0,78","0,60","2,36","1,74","0,90","0,82","1,20",-,-,-,-,-,-,-,-,-,-
