time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
18-3 3:30,-,-,-,-,-,-,"0,94","2,34","0,48","0,59","0,73","0,55","1,38","2,71","0,56","0,49","0,77","2,03",-,-,-,-,-,-,-,-,-
18-3 3:35,"1,83","0,30","0,27","1,80","0,59","1,21","0,91",-,-,-,-,-,-,-,-,-,-,-,"1,22","7,33","0,54","0,40","0,45","0,57","1,59","3,42","0,45"
18-3 3:40,"1,91","0,42","0,35","1,70","0,31","1,28","0,85","2,62","0,58","2,88","0,68","0,48","1,17","0,56","0,47","0,45","1,66","2,00","1,56","7,89","0,49","0,50","0,47","0,47","1,49","3,44","0,55"
18-3 3:45,-,-,-,-,-,-,"0,86","2,19","0,34","2,89","0,68","0,55","1,23","0,56","0,49","0,39","0,92","2,62","1,31","8,22","0,40","0,41","0,38","0,37","1,49","2,93","0,49"
18-3 3:50,"2,29","0,49","0,28","1,61","0,55","1,09","0,83","2,32","0,57","2,93","0,74","0,52","1,33","1,69","0,50","0,50","0,74","2,65",-,-,-,"0,41","0,46","0,38","1,36","3,78","0,59"
18-3 3:55,"2,17","0,43","0,29","1,51","0,30","1,35","0,88","2,18","0,71","2,95","0,62","0,44","1,22",-,-,-,-,-,"1,90","7,99","0,44","0,48","0,44","0,47","1,52","3,12","0,44"
18-3 4:00,-,-,-,-,-,-,-,-,-,"0,00",-,-,-,"2,52","0,57","0,38","0,58","2,03",-,-,-,-,-,-,-,-,-
18-3 4:05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-3 4:10,-,-,-,-,-,-,-,"2,07","0,56","14,75","0,68",-,-,"0,58","0,52","0,50","0,55","2,22","1,45","8,22","0,43","0,42","0,51","0,44","2,33","2,92","0,54"
18-3 4:15,-,-,-,-,-,-,"0,93","2,11","0,63","2,89","0,73","0,56","1,02",-,"0,56","0,44","0,64","2,24","1,26","7,82","0,43","0,36","0,38","0,41","1,50","3,16","0,44"
18-3 4:20,-,-,-,-,-,-,-,"0,00",-,-,-,-,-,-,-,-,-,-,-,-,"0,42","0,50","0,46","0,44","1,41","3,10","0,46"
18-3 4:25,"1,99","0,26","0,27","1,48","0,29","1,21","0,85","2,28","0,63","6,26","0,65","0,42",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-3 4:30,-,-,-,-,-,-,-,-,-,-,"0,68","0,46","25,26","2,53","0,49","0,47","0,55","2,65","1,49","8,40","0,40","0,37","0,45","0,40","1,65","3,75","0,47"
18-3 4:35,"2,13","0,28","0,28","1,63","0,44","1,19","0,94","1,95","0,82","25,47","1,03","0,56",-,-,-,-,-,"2,42","1,16","8,17","0,45","0,37","0,40","0,69","1,33","3,18","0,50"
18-3 4:40,"2,84","0,31","0,29","1,53","0,32","1,35","1,05",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-3 4:45,"2,01","0,29","0,33","1,63","0,29","1,30","0,89",-,-,-,-,-,-,-,-,"0,56","0,76","2,26","1,08","7,84","0,40","0,42","0,41","0,38","1,54","3,24","0,51"
18-3 4:50,"2,18","0,31","0,32","2,04","0,59","1,21","0,95","0,00",-,-,-,-,-,-,-,-,"0,63","2,50","1,09","8,32","0,37",-,-,-,-,-,-
18-3 4:55,"2,15","0,27","0,28","1,81","0,31","1,44",-,"2,14","0,49","21,69","0,70","0,46","34,38","2,59","0,52","0,41","0,78","2,31","1,25",-,-,-,-,-,-,-,-
18-3 5:00,-,-,-,-,-,-,-,"3,30","0,62","2,92","0,61","0,46","1,35","2,50","0,46","0,42","0,74","2,20","1,35","9,89",-,-,-,-,-,-,-
18-3 5:05,"2,22","0,28","0,31","2,80","0,58","1,60","0,92","3,10","0,75","4,56","0,78","0,54","13,77","0,68","0,56","0,52","0,69",-,-,-,"0,53","0,52","0,51","0,44","1,47","3,54","0,51"
18-3 5:10,"2,15","0,34","0,31","1,68","0,38","1,13","0,87","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,56","3,27","0,68"
18-3 5:15,-,-,-,-,-,-,-,-,-,-,"0,71","0,54","17,46","2,55","0,49","0,42","0,67","2,35","1,14","8,63","0,45","0,37","0,39","0,38","1,44","3,28","0,47"
18-3 5:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,21","7,76","0,38","0,47","0,42","0,45","1,40","3,27","0,50"
18-3 5:25,"1,80","0,33","0,27","1,77","0,29","1,15","0,79",-,-,-,-,-,-,"2,51","0,47","0,47","0,59","2,06","1,73","7,63","0,76","0,68","0,41","0,46","1,57",-,-
18-3 5:30,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,53","0,57","0,52","0,53","2,31","1,28","7,89",-,-,-,-,-,-,-
18-3 5:35,"1,93","0,27","0,31","1,87","0,70","1,50","0,96",-,-,-,-,-,"14,94","0,43","0,62","0,43","0,86","2,01","1,30","8,03","0,42","0,53","0,46","0,49","1,34","2,99","0,46"
18-3 5:40,"2,50","0,34","0,29","1,57","0,41","1,62",-,-,-,-,-,-,"18,56","2,55","0,54","0,43","1,19",-,-,-,-,-,-,-,-,-,-
18-3 5:45,"2,68","0,28","0,30","1,70","0,30","1,34",-,-,-,-,-,"0,63","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-3 5:50,-,-,-,-,-,-,"0,82","15,68","0,66","12,51","0,80","0,46","20,23","0,49",-,-,-,-,-,"8,22","0,40","0,36","0,44","0,46","1,50","3,77","0,70"
18-3 5:55,-,-,-,-,-,-,-,-,-,-,"0,65","0,53","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-,-
