time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
14-3 19:30,"3,05","0,34","0,44","2,08","0,43","1,50","0,91","2,12","0,88","3,02","0,73","0,59",-,-,-,-,-,"3,21","1,46","8,44",-,-,-,-,"1,43","3,50","0,57"
14-3 19:35,"2,18","0,24","0,45","1,80","0,58","1,38","0,92","1,99","0,79","2,91","0,68","0,53","1,53","0,72","0,65","0,55","0,68","2,55",-,-,"0,64","0,59","0,58","0,58","2,39","3,54","0,67"
14-3 19:40,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,57","0,58","0,49","0,79","2,76","1,45","8,78","0,55","0,57","0,60","0,62","1,45","3,25","0,59"
14-3 19:45,-,-,-,-,-,-,-,"3,63","2,28","4,82","0,78","2,32","2,51","1,78","0,68","1,92","0,73","3,97","3,46","9,58","1,95",-,-,-,-,-,-
14-3 19:50,"2,29","0,48","0,40","1,98","1,58","1,59","1,03","4,06","0,60","4,12","0,85","0,62","2,32","1,67","0,64","2,58","0,91",-,-,-,-,"2,34","2,04","1,89","2,17","5,46","2,04"
14-3 19:55,"2,37","0,39","0,42","1,55","0,41","1,33","1,10","2,82","0,87","5,01","0,67","0,56","2,43","0,62","0,60","0,67","0,61","2,58","1,78","7,84","0,58","0,53","0,55","0,65","1,42","3,43","0,63"
14-3 20:00,"3,21","0,54","0,40","1,57","0,46","1,76",-,-,-,-,-,-,"1,81","2,50","0,60","0,65","1,24","2,44","1,77","7,96","0,51","0,61","0,52","0,55","1,34","2,92","0,53"
14-3 20:05,"2,16","0,24","0,41","1,77","0,51","1,69","1,07","5,64","0,92","3,28","0,92","0,58","4,50","0,82","0,71","0,57","1,08",-,-,-,"0,56","0,63","2,42","1,45","1,63","4,18","1,46"
14-3 20:10,"2,83","1,06","1,15","3,33","1,29","2,81","1,91","3,56","2,45","4,47","0,66","2,32",-,-,-,-,-,"2,05","2,56","9,04","1,93","2,84","1,76","1,60","2,51","5,73","2,39"
14-3 20:15,-,-,-,-,-,-,"0,88","1,61","0,74","2,88","0,79","0,79",-,-,-,-,-,"2,54","1,35","8,02",-,-,-,-,-,-,-
