time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
13-3 13:30,"2,97","0,46","0,40","1,44","0,39","1,10","0,94","1,97","0,90","3,67","0,72","0,57","1,28","2,55","1,25","0,61","1,07","2,56","1,88","11,12","0,47","0,48","0,59","0,55","1,46","3,31","0,54"
13-3 13:35,"1,95","0,66","0,44","2,04","0,84","1,45","1,16","2,41","0,74","3,96","0,68","0,50","1,53","1,68","0,65","0,65","0,91","2,30","1,24","7,03","0,63","0,57","0,56","0,51","1,00","3,19","0,60"
13-3 13:40,"2,24","0,63","0,40","1,37","0,42","1,22","1,23","4,39","0,88","1,92","1,02","1,02","1,51","2,54","0,60","0,61","1,43","2,50","1,62","9,69","0,61","0,57","0,56","0,75","1,69","4,40","0,81"
13-3 13:45,"2,57","0,62","1,08","2,55","0,41","1,67","0,83","2,44","0,79","2,87","0,66","0,49","1,31","2,48","0,63","0,57","0,77","3,30","1,47","8,41","0,49","0,51","0,52","0,47","0,82","3,23","0,57"
13-3 13:50,"2,19","1,37","0,38","3,84","0,64","1,13","1,01","1,98","0,93","3,00","0,75","0,52","1,33","1,60","0,64","0,78","0,66","2,19","1,48","8,36","0,69","0,67","0,65","0,59","1,90","3,34","0,55"
13-3 13:55,"2,05","0,38","0,39","1,61","0,42","1,17","1,22","2,74","0,74","2,86","0,74","0,54","3,14","2,51","0,72","0,76","0,56","2,29","1,44","8,65","0,50","0,49","0,58","0,48","1,13","3,27","0,57"
13-3 14:00,"3,14","0,29","0,43","1,67","0,42","1,55","0,95","3,05","0,54","2,85","0,70","0,52","3,25","2,53","0,63","0,56","0,74","2,27","1,53","8,80","0,49","0,48","0,48","0,45","1,29","2,89","0,51"
13-3 14:05,"2,70","0,48","0,38","2,51","0,71","1,57","1,09","3,22","10,32","3,03","0,72","0,47","1,52","1,66","0,70","0,60","0,85","2,19","1,84","8,00","0,53","0,57","0,58","0,64","1,57","3,16","0,64"
13-3 14:10,"3,40","0,42","0,36","1,49","0,37","1,46","1,08","2,36","0,68","3,11","0,67","0,81","1,24","2,65","0,70","0,43","0,57","2,48","1,51","8,05","0,60","0,68","0,68","0,69","3,24","3,15","0,57"
13-3 14:15,"2,81","1,63","0,67","3,45","0,62","1,44","1,83","2,22","0,66","2,96","0,64","0,60","1,90","2,55","0,69","0,76","1,35","2,50","1,56","8,85","1,32","0,67","0,65","0,67","1,25","3,18","0,53"
13-3 14:20,"2,31","0,62","0,40","4,41","0,48","1,57","0,93","2,74","1,08","3,26","0,64","0,58","1,87","0,75","0,59","0,54","0,68","2,35","1,56","8,74","0,89","0,68","0,70","0,65","1,10","3,50","0,69"
13-3 14:25,"2,51","0,45","0,38","3,69","0,40","1,84","1,49","2,51","0,95","4,10","0,77","0,51","1,58","2,56","0,63","0,46","0,63","2,58","2,47","9,04","0,55","0,61","0,53","0,55","1,40","3,31","0,57"
13-3 14:30,"3,30","0,59","0,37","1,58","0,40","1,39","1,14","2,66","0,64","2,88","0,68","0,48","1,59","2,55","0,61","0,55","0,71","2,31","1,66","8,33","0,49","0,48","0,52","0,46","1,28","3,41","0,56"
13-3 14:35,"2,52","0,56","0,46","2,27","0,87","1,49","0,91","2,36","0,79","3,14","0,93","0,83","1,50","0,65","0,84","0,52","1,04","1,95","1,43","8,44","0,52","0,60","0,65","0,54","1,69","3,30","1,29"
13-3 14:40,"2,28","0,62","0,36","1,66","0,42","1,47","1,35","4,42","0,92","3,13","0,65","0,52","1,52","2,48","0,57","0,57","0,58","2,02","1,76","9,64","0,56","0,55","0,54","0,75","1,64","3,37","0,57"
13-3 14:45,"3,75","0,49","0,42","1,73","0,42","1,43","0,89","3,19","2,08","3,47","0,67","0,55","1,34","1,60","0,60","0,51","0,80","2,31","1,35","8,91","0,48","0,54","0,50","0,51","1,91","3,04","0,60"
13-3 14:50,"2,29","0,46","0,40","1,60","0,52","1,28","1,16","2,24","1,54","1,74","0,74","0,65","1,54","2,67","0,71","0,63","0,78","2,33","1,63","7,99","0,63","0,58","0,60","0,50","1,93","3,04","0,57"
13-3 14:55,"2,48","0,42","0,43","1,46","0,41","1,46","1,04","3,97","1,06","4,05","0,90","0,57","1,37","0,66","0,72","0,59","0,65","2,37","1,35","8,48","0,54","0,57","1,04","0,56","3,14","3,09","0,65"
13-3 15:00,"4,00","0,52","0,47","2,96","0,39","1,52","0,92","3,12","0,82","2,87","0,82","0,60","1,67","1,63","0,65","0,53","0,66","2,67","1,39","8,43","0,52","0,54","0,54","0,50","1,92","3,77","0,59"
13-3 15:05,"3,11","10,42","2,20","1,92","0,46","1,29","1,01","2,83","10,52","2,94","5,11","0,61","1,53","1,61","0,67","0,52","0,52","2,06","1,27","8,99","0,54","0,56","0,53","0,51","1,33","3,25","0,58"
13-3 15:10,"2,19","0,35","0,40","1,77","0,70","1,76","1,24","6,48","1,61","2,96","0,66",-,-,-,"0,74","0,62","0,69","3,03","2,16","10,05","0,75","0,55","0,62","0,45","1,05","3,23","1,63"
13-3 15:15,"3,21","1,24","10,03","1,45","0,65","1,64","1,17","2,27","0,91","2,94","0,62","0,97","1,40","2,58","0,87","0,75","1,25","2,61","1,97","8,42","1,12","1,14","0,79","0,76","1,24","3,32","0,79"
13-3 15:20,"2,03","0,50","0,38","1,67","0,62","1,55","0,58","2,29","0,95","2,94","0,74","0,56","1,43","1,62","0,64","0,54","0,94","2,37","1,39","8,24","0,56","0,56","0,57","0,56","1,50","3,32","0,61"
13-3 15:25,"2,72","0,53","0,40","1,61","0,38","1,47","1,19","3,97","0,81","2,93","0,68","0,53","2,25","2,82","0,59","0,47","1,20","2,63","1,57","9,17","0,60","0,51","0,48","0,48","1,11","3,76","0,61"
13-3 15:30,"2,42","0,51","0,40","1,47","0,40","1,28","1,01","2,39","0,61","4,98","0,77","0,58","1,98","1,50","0,59","0,58","0,63","2,68","1,51","7,90","0,55","0,61","0,75","0,52","1,44","3,82","0,59"
13-3 15:35,"2,40","0,75","0,40","1,90","0,66","1,72","0,98","2,23","1,27","7,56","0,81","0,61","1,57","0,76","0,73","0,57","0,67","2,66","1,65","7,78","0,65","0,52","0,66","0,50","1,32","3,15","0,61"
13-3 15:40,"1,66","1,05","1,10","2,56","1,22","2,22","1,65","3,86","1,55","2,81","0,74","1,31","1,87","2,52","0,59","0,50","0,60","2,43","1,71","8,85","0,51","0,51","0,72","0,52","1,15","3,42","0,55"
13-3 15:45,"3,42","0,37","0,41","1,75","0,66","1,34","0,82","2,54","0,68","2,96","10,64","0,43","1,33","3,45","0,65","1,40","1,54","3,08","2,12","10,57","2,34","2,49","2,18","2,19","2,87","6,69","2,12"
13-3 15:50,"2,22","0,34","0,45","1,64","0,73","1,40","0,83","2,48","0,75","3,27","0,75","0,53","2,39","1,74","0,60","0,61","0,77","2,41","1,55","7,85","0,64","0,52","0,50","0,49","1,10","3,42","0,57"
13-3 15:55,"1,33","0,43","0,36","1,41","0,39","1,24","0,97","2,28","0,72","2,89","0,60","0,59","1,49","0,61","0,57","0,47","0,70","2,25","3,08","8,91","0,53","0,52","0,56","0,56","1,35","3,48","0,60"
