time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
17-3 2:30,-,-,-,-,-,-,"0,84","2,02","0,78","2,99","0,68","0,60","1,40","0,57","0,58","0,47","0,88","2,41",-,-,-,-,-,-,-,-,-
17-3 2:35,-,-,-,-,-,-,-,"1,98","0,56","2,89","0,70","0,54","1,29",-,-,-,-,-,-,-,-,-,-,-,-,"3,18","0,70"
17-3 2:40,"2,79","0,35","0,28","1,29","0,31","1,22","0,88","2,13","0,52","2,92","0,65","0,46","1,28","0,44","0,49","0,43","0,90","2,39","1,63","8,86","0,56","0,56","0,50","0,50","1,61","3,31","0,61"
17-3 2:45,"2,15","0,30","0,31","1,78","0,34","1,34",-,-,-,-,-,-,-,"2,54","0,53","0,37","0,81","2,31","1,23","7,24","0,54","0,40","0,45","0,42","2,49",-,-
17-3 2:50,"2,12","0,34","0,27","2,89","0,51","1,55","0,74",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,51","0,48"
17-3 2:55,"2,22","0,28","0,26","1,49","0,30","1,31","0,84",-,-,-,-,-,-,-,-,-,-,-,"1,34","7,34","0,49","0,55","0,54","0,58","1,69","3,88","0,58"
17-3 3:00,"1,99","0,33","0,38","1,87","0,32","1,42","0,86","2,41","0,50","2,90","0,71","0,47","2,29","1,62","0,50","0,46","0,81","2,28","1,06","9,30",-,-,-,-,-,"3,39","0,47"
17-3 3:05,-,-,-,-,-,-,"0,89","3,17","0,72","2,88","0,65","0,48",-,"0,68","0,59","0,52","0,66","2,29",-,-,"0,36","0,55","0,56","0,53","1,44","3,77","0,46"
17-3 3:10,"2,11","0,30","0,31","1,58","0,26","1,11","0,87","2,16","0,68","2,91","0,71","0,49","1,27","2,54","0,44","0,41","0,54","2,29",-,-,-,-,-,-,-,-,-
17-3 3:15,"1,92","0,20","0,36","1,63","0,33","1,43","0,83",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,94","0,48"
