time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
16-3 4:00,-,-,-,-,-,-,"1,09","2,43","0,61","3,01","0,69","0,57","1,26","2,55","0,56","0,55","0,57","2,29","1,52","8,19",-,-,-,-,-,-,-
16-3 4:05,-,-,-,-,-,-,"1,45","2,63","0,75","2,98","0,66","0,54","1,46","2,60","0,55","0,48","0,66","2,18","1,60","7,98","0,45","0,57","0,47","0,49","1,20","3,49","0,53"
16-3 4:10,"2,28","0,35","0,30","1,71","0,29","1,40","0,84","2,08","0,70","2,90","0,66","0,49","1,34","0,57","0,67","0,42","0,68","2,08","1,17","8,70","0,52","0,66","0,74","0,73","1,61","3,29","0,76"
16-3 4:15,-,-,-,-,-,-,"0,85","2,56","0,73","3,03","0,72","0,55","1,45","2,60","0,63","0,45","0,58","2,36","1,16","7,66",-,-,-,-,-,"3,76","0,48"
16-3 4:20,"2,41","0,28","0,29","3,73","0,34","2,34",-,"2,19","0,57","3,11","0,60","0,51","2,38","2,54","0,55","0,41","0,64","2,16","1,36","7,51","0,53","0,62","0,45","0,41","1,18","2,82","0,47"
16-3 4:25,"2,22","0,26","0,43","1,69","0,31","1,42","0,90",-,-,-,-,-,-,-,-,-,-,"2,08","1,40","8,32","0,47","0,46","0,48","0,57",-,-,-
16-3 4:30,"3,27","0,31","0,31","1,75","0,29","1,30","0,84","2,15","0,67","3,07","0,78","0,65",-,-,-,-,-,-,"1,38","7,89","0,44","0,54","0,44","0,51","1,30","2,84","0,50"
16-3 4:35,"2,36","0,30","0,27","1,92","0,56","1,44",-,-,-,-,-,-,"2,34","2,58","0,57","0,52","0,66","2,69",-,-,"0,42","0,43","0,60","0,41","1,88","3,24","0,45"
16-3 4:40,"2,17","0,32","0,27","1,65","0,34","1,27","0,89","2,04","0,67","2,93","0,74","0,49","1,32","2,91","0,56","0,44","0,68","2,43","1,37","8,22","0,53","0,51","0,59","0,51","1,52","3,41","0,51"
16-3 4:45,"2,33","0,33","0,38","1,52","0,42","1,18","0,86","2,08","0,58","3,05","0,68","0,53","1,57","2,58","0,53","0,50","0,73","2,40","1,27","7,93",-,-,-,-,-,-,-
16-3 4:50,"2,51","0,25","0,32","2,42","0,35","1,51","1,23","2,26","0,74","2,93","0,83","0,52","1,65","1,73","0,53","0,47","1,09","2,32","1,29","8,11","0,40","0,50","0,46","0,45","1,88","3,34","0,46"
16-3 4:55,"2,20","0,30","0,27","2,28","0,38","1,36","0,86","2,26","0,50","2,89","0,74","0,48","2,39",-,-,-,-,-,-,-,-,-,-,-,-,"3,88","0,67"
16-3 5:00,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,54","0,49","0,48","0,61","2,43",-,-,-,-,-,-,-,-,-
16-3 5:05,"2,20","0,42","0,31","1,88","0,40","1,42","0,90","2,61","0,42","0,67","0,75","0,61","1,70","1,68","0,60","0,43","0,64","2,16",-,-,-,-,-,-,-,-,-
16-3 5:10,"2,42","0,26","0,28","1,61","0,33","1,37","0,91","2,24","0,62","2,91","0,57","0,52","1,29",-,-,-,-,-,"1,50","8,20","0,49","0,63","0,76","0,62","2,43","3,85","0,73"
16-3 5:15,"2,75","0,28","0,30","1,56","0,28","1,44","1,01","2,35","0,45","3,05","0,68","0,59","1,46","2,60","0,60","0,43","0,75","2,61","1,61","8,47","0,38","0,36","0,40","0,42","1,55","3,14","0,44"
16-3 5:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,24","8,94","0,47","0,49","0,42","0,34","2,35","3,17","0,49"
16-3 5:25,"2,22","0,31","0,29","1,69","0,31","1,31","0,92","2,02","0,51","2,99","0,70","0,51","1,29",-,-,-,-,-,"1,41","7,85","0,47","0,43","0,48","0,40","1,35",-,-
16-3 5:30,"3,06","0,31","0,34","1,45","0,30","1,31",-,-,-,-,-,-,"1,30","0,81","0,54","0,47","0,62","2,10","1,23","8,45",-,-,-,-,-,"3,23","0,47"
16-3 5:35,"2,17","0,29","0,31","2,08","0,58","1,41","0,87","2,05","0,57","1,76","0,75","0,48","1,33",-,-,-,-,-,"1,46","8,67","0,44","0,57","0,49","0,48","1,63","3,38","0,34"
16-3 5:40,"2,29","0,29","0,28","1,84","0,36","1,17","0,89","2,26","0,65","2,91","0,70","0,51","1,31",-,-,-,-,-,"1,87","8,96","0,43","0,45","0,42","0,49","1,23","3,17","0,53"
16-3 5:45,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,57","0,45","0,42","0,59","2,31","1,37","8,15",-,-,-,-,-,"3,38","0,60"
16-3 5:50,-,-,-,-,-,-,"0,82","1,92","0,56","2,88","0,61","0,53","1,55","0,71","0,57","0,49","0,61","2,25","1,18","8,01","0,36","0,43","0,45","0,43","1,41","3,16","0,51"
16-3 5:55,"2,52","0,28","0,28","1,80","0,36","1,18","1,88","2,93","0,66","2,82","0,62","0,48",-,-,-,-,-,-,"1,23","7,21","0,44","0,52","0,49","0,57","1,47","3,52","0,68"
16-3 6:00,"3,51","1,75","0,29","1,40","0,27","1,12",-,-,-,-,-,-,"1,26","2,61","0,50","0,49","0,56","2,18",-,-,-,-,-,-,-,-,-
16-3 6:05,"2,55","0,26","0,35","1,89","0,87","1,28","0,89","2,43","0,53","2,88","0,68","0,58","1,81","0,89","0,47","0,54","0,74","2,57",-,-,-,-,-,-,-,-,-
16-3 6:10,"2,28","0,33","0,29","1,66","0,30","1,11","1,51","2,22","0,55","2,92","0,77","0,46",-,-,-,-,-,-,"1,53","7,24","0,45","0,44","0,45","0,55","1,43","3,55","0,57"
16-3 6:15,"2,89","0,31","0,30","1,58","0,33","1,32","0,85","2,16","0,63","2,98","0,60","0,50","1,45","2,54","0,53","0,43","0,50","2,76",-,-,-,-,-,-,-,-,-
16-3 6:20,"2,61","0,34","0,41","2,01","0,51","1,93",-,-,-,-,-,-,"1,56","0,94","0,50","0,50","0,91","2,28","1,37","8,59","0,41","0,57","0,44","0,45","1,46","3,22","0,45"
16-3 6:25,"2,26","0,34","0,28","2,27","0,30","1,27",-,"1,83","0,61","2,88","0,63","0,54","1,77","2,60","0,55","0,42","1,60","2,06","1,42","7,95","0,41","0,45","0,42","0,45","1,46",-,-
