time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
15-3 15:30,-,-,-,-,-,-,-,-,-,-,-,-,"4,86","2,57","0,77","0,71","1,33","3,13","1,72","7,87","0,69","0,73","0,74",-,-,-,-
15-3 15:35,-,-,-,-,-,-,"0,89","2,59","0,92","3,00","0,77","0,66","1,84","2,68","0,84","0,83","1,26","2,30","2,78","8,01","0,78","0,92","0,79","0,79",-,-,-
15-3 15:40,"5,85","4,50","0,64","1,25","0,62","1,80","0,94","1,84","1,00","2,93","0,66","0,59",-,-,-,-,-,"2,43","2,16","8,63","0,89","0,79","0,75","0,79","1,26","3,88",-
15-3 15:45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,03"
15-3 15:50,-,-,-,-,-,-,"0,93","2,01","1,20","3,14","0,75","0,71","1,41","1,76","0,86","0,81","1,25","2,16","1,81","8,32","0,94","0,80","0,88","0,90",-,-,-
15-3 15:55,"2,74","0,60","0,63","1,95","0,60","1,45","0,90","2,20","0,79","2,94","0,73","0,65","1,40","2,53","0,87","0,71","1,17","2,42","1,55","7,98","0,71","0,72","0,73","0,71","1,35","3,87","0,83"
15-3 16:00,"2,40","0,68","0,69","1,31","0,66","1,58",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,65","2,45","5,55","1,53"
15-3 16:05,-,-,-,-,-,-,"0,90","1,88","1,18","2,89","0,70","0,73","2,20","0,89","0,98","0,83","1,36","2,50",-,-,-,-,"0,81","0,77","1,46","3,11","0,94"
15-3 16:10,"2,61","0,63","0,62","1,65","0,95","1,83","1,00","2,15","0,98","6,09","0,74",-,"1,48","2,56","0,78","0,78","1,16",-,-,-,-,-,-,"0,75","0,86","3,62","0,77"
15-3 16:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,64","1,83","7,58","0,73","0,83","0,75","0,78","1,76","3,43","0,82"
15-3 16:20,"2,30","0,69","0,64","1,41","0,87","1,74","0,90","2,12","1,07","2,96","0,82","0,70","1,33","2,48","0,86","0,83","1,34",-,-,-,-,-,-,-,-,-,-
15-3 16:25,"3,05","0,98","0,59","3,22","0,61","1,88","1,19","1,79","0,98","2,95","0,65","0,77","2,34","2,57","0,86","0,72","1,16","2,51","1,70","9,03","0,69","0,70","0,78","0,73","1,75","3,18","0,82"
15-3 16:30,-,-,-,-,-,-,-,-,-,-,-,-,"1,35","2,62","0,87","1,19","1,28","2,90","1,85","8,57","0,74","0,73","0,78","0,69",-,-,-
15-3 16:35,"2,30","0,42","0,65","1,92","0,90","2,00","1,04","2,99","1,16","2,97","0,74","0,62",-,-,-,-,-,"2,68","1,63","7,85","1,10","0,77","0,76","0,85","1,13","3,03","0,79"
15-3 16:40,"2,24","0,67","0,60","1,62","0,65","1,57","0,97","1,89","0,44","2,90","0,74","0,57",-,-,-,-,-,"2,53","1,93","7,73","0,77","0,85","0,88","0,75","1,55","2,57","0,77"
15-3 16:45,"2,27","0,75","0,66","1,78","0,62","1,30",-,-,-,-,-,-,"1,55",-,-,-,-,"4,43","1,43","10,75","0,92","0,69","2,52","0,84","2,53","4,16","0,83"
15-3 16:50,-,-,-,-,-,-,-,-,-,-,-,"0,67","1,70","2,53","0,83","0,75","1,19","2,18","1,63","8,48","1,02","0,74","0,96","0,74","0,86","3,11","0,63"
15-3 16:55,"2,73","0,46","0,58","1,39","0,59","1,77","1,61","4,02","0,77","3,98","0,76","0,62",-,-,-,-,-,"2,45","1,84","9,57","0,63","0,66","0,70","0,46",-,-,-
15-3 17:00,-,-,-,-,-,-,-,-,-,-,-,"0,60","1,02","2,58","0,65","1,07","1,76",-,-,-,-,-,-,-,-,-,-
15-3 17:05,-,-,-,-,-,-,"0,97","2,21","1,02","2,93","0,77","0,75","2,62","2,56","0,83","0,84","1,21","2,27","1,69","10,17","0,84","0,72","0,74","0,75","0,97","4,21","2,41"
15-3 17:10,"2,23","0,72","0,60","1,75","0,61","1,65","0,86","6,32","1,16","2,96","0,71","1,24","3,30","2,47","0,79","0,73","1,18","2,49","1,47","8,05","0,84","0,70","0,74","0,69","0,92","3,46","0,82"
15-3 17:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,20","1,80","8,11","0,72","0,81","0,74","0,77","1,25","3,80","0,77"
