time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
17-3 0:00,"1,95","0,31","0,29","2,01","0,33","1,28","1,02",-,-,-,-,-,"1,23",-,-,-,-,-,-,-,-,-,-,-,-,"3,30","0,54"
17-3 0:05,-,-,-,-,-,-,"0,86","2,02","0,46","2,92","0,66","0,54","1,24","2,59","0,63","0,43","0,59","2,11",-,-,-,-,-,-,-,"3,11","0,53"
17-3 0:10,-,-,-,-,-,-,-,"1,99","0,67","2,94","0,67","0,47","1,36",-,-,-,-,-,"1,70","8,42","0,45","0,70","0,45","0,44","0,98","3,60","0,52"
17-3 0:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,57","6,75","0,41","0,52","0,50","0,42","2,02",-,-
17-3 0:20,"1,84","0,37","0,29","1,66","0,46","1,18","0,88","1,88","0,66","2,85","0,72","0,49","2,27","0,78","0,53","0,55","0,68","2,46","1,68","7,92","0,57","0,56","0,43","0,43","1,52",-,-
17-3 0:25,"2,58","0,52","0,28","2,46","0,30","1,29",-,-,-,-,-,-,-,-,-,-,-,-,"1,45","8,13","0,35","0,34","0,39","0,47","1,46","3,22","0,42"
17-3 0:30,"1,71","0,26","0,33","2,00","0,31","1,22","0,94","2,08","0,71","3,08","0,69","0,73","1,71",-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-3 0:35,"1,88","0,31","0,25","1,81","0,71","1,61","0,79","2,14","0,75","2,91","0,68","0,53","1,23",-,-,-,-,-,-,-,-,-,-,-,"1,36","3,45","0,52"
17-3 0:40,"1,57","0,28","0,30","1,97","0,33","1,42","0,78","2,46","0,60","2,85","0,64","0,49",-,-,-,-,-,-,"1,01","8,19","0,38","0,40","0,50","0,39","1,28","3,12","0,57"
17-3 0:45,"2,26","0,30","0,28","1,23","0,34","1,16",-,-,-,-,-,-,-,-,-,-,-,-,"1,37","8,45","0,38","0,40","0,82","0,43","1,47","3,33","0,54"
17-3 0:50,-,-,-,-,-,-,"0,87","2,44","0,79","2,85","0,76","0,41","1,48","0,76","0,50","0,41","0,74","2,30",-,-,-,-,-,-,-,-,-
17-3 0:55,"2,19","0,29","0,25","1,39","0,37","1,20","0,85","2,25","0,58","2,95","0,63","0,46","1,29",-,-,-,-,-,"1,54","8,70","0,36","0,36","0,36","0,47","1,58","2,82","0,45"
17-3 1:00,"3,32","0,30","0,31","1,69","0,31","1,18","0,93","2,54","0,61","3,23","0,65","0,54",-,"2,64","0,49","0,46","0,86","2,50",-,-,-,-,-,-,-,-,-
17-3 1:05,-,-,-,-,-,-,"1,08","2,60","0,57","2,89","0,74","0,56",-,"0,75","0,74","0,50","1,59","2,18",-,-,-,-,-,-,-,-,-
17-3 1:10,"2,32","0,31","0,33","1,55","0,34","0,94","0,94","2,15","0,53","2,90","0,67","0,51","1,44","2,56","0,46","0,44","0,52","2,47",-,-,-,-,-,-,-,-,-
17-3 1:15,"2,14","0,26","0,27","1,60","0,28","1,35",-,"2,67","0,72","2,89","0,66","0,47","1,46",-,-,-,-,-,"1,43","7,96",-,-,-,-,-,-,-
17-3 1:20,-,-,-,-,-,-,"0,87",-,-,-,-,-,-,-,-,-,-,-,-,-,"0,35","0,42","0,44","0,36","1,30","3,22","0,42"
17-3 1:25,-,-,-,-,-,-,-,"1,99","0,65","2,83","0,61","0,50","1,23",-,-,-,-,-,-,-,-,-,-,-,-,"3,10","0,46"
17-3 1:30,"1,79","0,32","0,34","1,66","0,30","1,29","0,88",-,-,-,-,-,-,"3,42","0,55","2,44","2,88","4,04",-,-,-,-,-,-,-,"5,79","2,53"
17-3 1:35,"2,74","0,30","0,34","1,89","0,62","1,74","0,92","2,45","0,60","2,87","0,63","0,50",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-3 1:40,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,53","0,52","0,46","0,78","2,59","1,21","8,85","0,45","0,41","0,45","0,35","1,30","3,16","0,50"
17-3 1:45,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,76","0,64","2,28","3,00","4,25","2,19","8,10","1,34","2,44","3,11","2,28","2,77","6,00","2,40"
17-3 1:50,"1,88","0,20","0,30","1,53","0,65","1,38","0,95","2,25","0,62","2,95","0,65","0,48","1,37","1,66","0,57","0,49","0,60","2,17",-,-,-,"0,43","0,51","0,36","1,48","3,18","0,43"
17-3 1:55,-,-,-,-,-,-,"0,87","3,43","0,72","2,86","0,69","0,49",-,-,-,-,-,-,"1,26","8,72","0,42","0,47","0,39","0,43","1,46","3,98","0,55"
17-3 2:00,"2,50","0,33","0,32","5,52","0,43","1,20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,52","0,77","8,84","4,08","0,53"
17-3 2:05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-3 2:10,"1,89","0,38","0,30","1,91","0,33","1,17","1,02",-,-,-,-,-,-,-,-,-,-,-,"1,40","9,46","0,53","0,59","0,45","0,49","1,52","2,70","0,63"
17-3 2:15,"1,66","0,31","0,35","1,49","0,36","1,39","0,90","2,21","0,64","2,93","0,64","0,52","1,26","2,54","0,56","0,44","0,84","2,44","1,45","8,56","0,43","0,43","0,44","0,38","1,44","3,65","0,47"
17-3 2:20,"1,67","0,38","0,33","1,79","0,74","1,29","0,91","2,07","0,62","3,05","0,80","0,64","1,26","2,58","0,58","0,27","0,77","2,42",-,-,-,-,-,-,-,-,-
17-3 2:25,"1,87","0,32","0,27","1,59","0,34","1,06","0,82","1,96","0,65","0,60","0,70","0,46","1,31",-,-,-,-,-,"1,17","7,78","0,38","0,39","0,43","0,38","1,35","3,51","0,61"
