time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
17-3 12:30,"2,37","0,34","0,40","1,71","0,38","1,28","1,02","1,81","0,75","2,86","0,63","0,55","1,45","2,51","0,56","0,45","0,54","2,67","1,82","8,06",-,-,-,-,-,-,-
17-3 12:35,-,-,-,-,-,-,"0,85","2,54","0,76","2,90","0,65","0,54",-,"1,07","0,75","0,54","0,99","1,92","1,33","7,83","0,52","0,58","0,62","0,56","0,98","3,62","0,54"
17-3 12:40,-,-,-,-,-,-,-,"2,23","0,81","3,08","0,71","0,58","1,40",-,-,-,-,-,-,-,-,-,-,-,-,"3,94","0,64"
17-3 12:45,"2,08","0,40","0,41","1,74","0,44","1,14","0,92","2,40","0,57","2,92","0,72","0,58","2,16","2,56","0,59","0,52","0,68","2,18","1,25","8,39",-,-,-,-,-,-,-
17-3 12:50,"1,84","0,51","0,41","1,79","0,60","1,52",-,-,-,-,-,-,"1,44","0,69","0,68","0,66","0,62","2,32","1,98","8,42","0,52","0,57","0,58","0,58","1,88","3,86","0,66"
17-3 12:55,"2,26","0,26","0,45","1,54","0,44","1,36","1,15",-,-,-,-,-,"1,41","2,49","0,60","0,53","0,61",-,-,-,-,-,-,-,-,-,-
17-3 13:00,"3,59","0,46","0,39","1,49","0,34","1,39",-,-,-,-,-,-,"2,54","2,57","0,69","0,63","0,59","2,72","1,69","8,98",-,-,-,-,"1,47","3,08","0,59"
17-3 13:05,"2,94","0,66","0,45","4,95","0,61","1,45",-,-,-,-,-,"0,54","1,53","2,65","0,64","0,56","0,61",-,-,-,"0,64","0,63","0,55","0,51","0,80","3,31","0,54"
17-3 13:10,"2,42","2,08","2,51","2,47","1,37","2,22",-,-,-,-,-,-,-,-,-,-,-,"2,54","1,91","8,80","0,65","0,61","0,63","0,86","1,20","3,96","0,67"
17-3 13:15,-,-,-,-,-,-,"1,06","2,41","0,44","2,88","0,64","0,52","1,94","4,07","0,58","1,49","2,83","2,26","1,56","8,71",-,-,-,"3,66","4,62","6,18","5,01"
