time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
22-3 10:00,"2,12","0,29","0,28","1,38","0,30","1,27","0,82","2,15","0,70","0,55","0,75","0,43","1,46","1,60","0,46","0,39","0,56","2,44","1,30","7,60","0,49","0,48","0,59","0,43","0,86","3,66","0,56"
22-3 10:05,"1,84","0,68","0,41","1,41","0,51","1,15","0,90","2,20","0,66","2,99","0,68","0,48","1,42","1,65","0,58","0,46","0,78","2,06","1,23","7,94","0,44","0,50","0,46","0,51","1,14","3,39","0,55"
22-3 10:10,"1,92","0,36","0,29","1,47","0,35","1,12","0,81","2,89","0,50","2,94","0,71","0,49","1,29","2,56","0,47","0,44","0,60","2,15","1,34","8,02","0,47","0,69","0,43","0,43","1,15","3,47","0,47"
22-3 10:15,"2,21","0,31","0,46","1,77","0,29","1,47","0,88","2,34","0,68","2,93","0,66","0,54","1,26","2,65","0,57","0,44","0,56","2,19","1,25","7,86","0,42","0,44","0,52","0,44","1,57","3,32","0,53"
22-3 10:20,"1,85","0,29","0,37","1,52","0,52","1,79","1,34","1,94","0,65","2,99","0,72","0,49","1,22","1,73","0,52","0,41","0,61","2,21","1,07","8,14","0,38","0,45","0,42","0,48","1,07","3,47","0,43"
22-3 10:25,"1,97","0,30","0,33","1,72","0,34","1,38","0,83","2,84","0,51","2,94","0,63","0,65","1,43","0,48","0,47","0,37","0,63","8,75","1,34","8,23","0,39","0,41","0,42","0,45","0,92","3,33","0,48"
22-3 10:30,"2,17","1,66","1,09","2,92","1,27","2,23","0,87","2,34","0,68","2,94","0,66","0,53","1,37","1,71","0,50","0,50","0,82","2,53","1,09","7,82","0,38","0,39","0,42","0,43","1,25","3,44","0,51"
22-3 10:35,"3,96","0,33","0,36","2,72","0,24","1,80","1,43","3,17","1,68","3,75","0,63","1,63","1,40","3,52","0,62","1,52","1,59","4,24","3,75","9,38","1,60","1,65","1,35","1,46","1,96","4,66","1,60"
22-3 10:40,"2,32","0,26","0,30","1,71","0,30","1,35","0,85","1,83","0,62","3,33","0,66","0,51","1,36","2,55","0,58","0,42","0,52","2,18","1,43","7,46","0,49","0,54","0,49","0,43","1,22","3,43","0,51"
22-3 10:45,"2,18","0,33","0,31","1,57","0,27","1,35","0,85","3,36","0,54","2,87","0,68","0,46","1,47","2,64","0,52","0,42","0,87","2,38","1,45","7,85","0,50","0,41","0,45","0,49","1,33","3,22","0,46"
22-3 10:50,"1,63","0,43","0,27","1,96","1,23","1,58","0,85","2,16","0,45","2,88","0,67","0,49","1,28","1,67","0,50","0,52","0,67","2,39","1,61","7,67","0,38","0,48","0,44","0,37","1,11","3,27","0,43"
22-3 10:55,"1,92","0,34","0,30","1,57","0,34","1,41","0,79","2,23","0,67","2,88","0,68","0,50","1,34","0,67","0,60","0,48","0,54","2,32","1,38","7,78","0,41","0,39","0,39","0,42","2,12","3,26","0,48"
22-3 11:00,"2,18","0,27","0,29","1,56","0,31","1,18","0,87","2,49","0,45","2,97","0,80","0,53","1,33","2,54","0,57","0,47","0,77","2,15","1,52","7,82","0,50","0,48","0,56","0,43","1,44","3,85","0,50"
22-3 11:05,"2,13","0,29","0,29","1,49","0,56","1,32","0,80","2,04","0,68","2,92","0,72","0,47","1,20","2,56","0,49","0,39","0,65","2,10","1,40","8,13","0,48","0,61","0,42","0,42","1,15","3,25","0,56"
22-3 11:10,"1,93","0,28","0,33","1,49","0,33","1,52","0,79","1,89","0,57","2,92","0,75","0,52","1,22","2,54","0,52","0,56","2,26","2,55","1,29","8,45","0,43","0,51","0,59","0,51","1,35","3,25","0,59"
22-3 11:15,"2,12","0,40","0,34","1,44","0,36","1,51","0,81","1,95","0,78","2,85","0,61","0,46","1,21","2,57","0,52","0,46","0,85","2,24","1,36","8,08","0,45","0,42","0,44","0,40","1,44","3,39","0,50"
22-3 11:20,"2,36","0,30","0,32","1,84","0,54","1,41","0,86","2,29","0,62","2,81","0,60","0,42","1,38","2,57","0,57","0,42","0,60","2,06","1,04","7,84","0,41","0,52","0,48","0,41","1,15","3,23","0,45"
22-3 11:25,"2,46","0,29","0,37","1,59","0,28","1,34","0,80","2,05","0,53","2,88","0,66","2,95","1,78","2,52","0,44","0,39","0,49","2,06","1,16","8,12","0,33","0,35","0,42","0,36","0,83","3,28","0,39"
22-3 11:30,"2,62","0,28","0,30","1,56","0,28","1,09","0,84","2,13","0,68","3,03","0,72","0,54","1,55","2,75","0,46","0,41","0,69","2,18","1,57","8,12","0,42","0,37","0,38","0,46","1,29","3,45","0,45"
22-3 11:35,"1,85","2,05","0,28","3,43","0,31","1,69","0,84","2,15","0,53","2,97","0,79","0,46","1,23","1,55","0,54","0,49","0,63","2,25","1,27","7,71","0,36","0,46","0,44","0,42","1,36","3,21","0,47"
22-3 11:40,"2,03","0,30","0,29","1,62","0,29","1,36","0,84","2,10","0,60","2,95","0,69","0,48","1,24","2,51","0,47","0,41","0,54","2,16","1,48","8,85","0,52","0,52","0,43","0,46","1,02","3,25","0,54"
22-3 11:45,"2,35","0,27","0,36","1,59","0,31","1,36","0,81","2,96","1,93","2,86","0,57","0,52","1,24","2,54","0,56","0,46","0,57","2,37","1,24","7,68","0,41","0,38","0,47","0,42","1,66","3,41","0,45"
22-3 11:50,"1,85","0,29","0,36","1,99","0,67","1,54","0,98","1,80","0,63","3,04","0,69","0,47","1,27","2,54","0,59","0,42","0,62","1,87","1,51","8,60","0,40","0,49","0,49","0,45","0,91","2,82","0,52"
22-3 11:55,"1,89","0,25","0,28","1,37","0,33","0,97","0,82","2,04","1,07","2,91","0,70","0,47","2,10","2,57","0,53","0,53","0,51","2,42","1,51","8,35","0,42","0,52","0,40","0,42","1,22","2,97","0,53"
22-3 12:00,"2,30","0,25","0,29","1,68","0,28","1,11","0,93","2,54","0,42","2,95","0,62","0,44","1,78","2,48","0,56","0,40","0,64","2,30","1,22","8,12","0,42","0,42","0,40","0,40","1,35","3,35","0,43"
