time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
13-3 18:30,"2,27","1,10","1,09","4,18","1,28","3,53","0,87","2,02","0,63","2,99","0,65","0,56","1,81","1,67","0,60","0,60","0,79","2,45","1,51","8,70","0,52","0,49","0,78","0,49","0,80","2,87","0,56"
13-3 18:35,"2,11","0,23","0,37","1,13","0,51","1,41","3,09","3,77","2,80","5,88","0,67","1,48","1,38","2,54","0,63","1,59","1,69","3,68","4,56","9,62","2,14","4,35","2,08","3,52","3,76","6,88","1,50"
13-3 18:40,"2,26","0,51","0,33","1,32","0,35","1,24","0,94","4,02","0,73","3,70","0,67","0,48","1,68","0,53","0,61","0,51","0,88","2,23","1,49","8,41","0,54","0,53","0,60","0,45","1,27","3,71","0,62"
13-3 18:45,"2,47","0,49","0,41","1,33","0,39","1,39","0,89","2,03","0,80","2,95","0,65","0,56","2,29","1,71","0,63","0,47","0,87","2,57","1,53","8,55","0,58","0,53","0,59","0,55","1,44","3,67","0,57"
13-3 18:50,"1,91","0,23","0,42","1,81","0,47","1,04","0,92","2,78","0,73","2,98","0,66","0,51","1,50","2,61","0,61","0,56","0,76","2,55","1,36","8,81","0,51","0,66","0,57","0,59","1,10","3,18","0,64"
13-3 18:55,"1,93","0,30","0,39","1,71","0,43","1,35","0,93","2,97","0,67","2,97","0,76","0,52","1,47","2,50","0,61","0,49","0,54","2,49","1,50","7,91","0,46","0,50","0,50","0,51","3,13","3,35","0,55"
13-3 19:00,"2,23","2,53","0,45","1,48","0,41","1,40","0,98","2,70","0,76","1,75","0,72","0,91","1,46","1,58","0,66","0,58","0,85","2,87","1,85","8,20","0,54","0,55","0,56","0,49","1,56","3,83","0,54"
13-3 19:05,"2,29","0,32","0,47","1,89","1,09","1,26","0,81","1,98","0,71","3,10","0,68","0,56","1,72","0,64","0,66","0,59","0,78","2,45","1,42","8,42","0,50","0,60","0,47","0,44","1,22","3,34","0,50"
13-3 19:10,"2,08","0,34","0,35","1,53","0,44","1,36","0,97","2,17","0,78","2,96","0,71","0,57","1,29","2,51","0,58","0,53","0,62","2,54","1,54","9,21","0,58","0,67","0,59","0,61","1,16","3,33","0,73"
13-3 19:15,"2,56","0,47","0,38","1,45","0,39","1,33","0,92","1,95","0,72","3,01","0,75","0,49","1,92","2,52","0,52","0,48","0,61","2,14","1,44","8,45","0,54","0,43","0,55","0,42","1,41","3,73","0,54"
