time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
20-3 20:30,"1,97","0,72","0,65","1,27","0,64","1,49","0,73","2,08","0,83","3,03","0,71","0,60","1,26","1,67","0,81","0,74","1,15","2,26","1,50","7,89","0,65","0,68","0,77","0,73","1,36","3,27","0,77"
20-3 20:35,"2,51","0,63","0,61","2,46","1,61","1,23","0,83","2,18","0,78","3,02","1,99","0,58","1,25","1,99","0,82","0,76","0,81","2,34","1,91","8,44","0,72","0,82","0,78","0,74","0,92","3,62","0,71"
20-3 20:40,"2,42","0,96","0,99","2,30","2,71","2,13","0,91","3,78","1,31","2,93","0,73","0,89","1,19","1,03","0,81","0,77","1,19","2,33","1,64","8,13","0,75","0,80","0,99","1,41","3,14","4,41","0,97"
20-3 20:45,"2,58","0,62","0,60","1,68","0,56","2,55","0,77","2,27","0,85","2,88","0,65","0,59","1,25","2,49","0,77","0,74","0,88","2,60","1,57","8,23","0,73","0,72","0,79","0,78","0,84","3,91","0,48"
20-3 20:50,"1,68","1,34","1,28","2,58","1,43","1,72","0,95","2,23","0,95","2,95","0,66","0,60","1,34","0,99","0,84","0,80","0,95","7,16","1,73","9,20","0,69","0,80","0,88","0,86","1,40","3,53","0,74"
20-3 20:55,"2,49","0,57","0,57","1,23","0,62","1,75","0,76","2,37","0,92","2,83","0,66","0,56","1,32","0,89","0,82","0,83","1,29","2,73","2,09","8,14","0,73","0,80","0,89","0,97","1,17","3,38","0,99"
20-3 21:00,"2,50","0,92","2,58","3,71","0,65","1,60","1,09","2,37","0,86","2,87","0,69","0,67","1,26","2,57","0,91","0,70","1,01","2,69","1,48","8,24","0,69","0,80","0,72","0,76","2,61","7,97","0,74"
20-3 21:05,"1,72","0,64","0,60","1,30","1,54","2,45","0,83","2,67","1,54","2,95","1,22","0,68","1,23","1,77","1,97","0,79","0,58","2,23","1,64","7,74","0,75","0,79","0,76","0,71","1,14","4,32","2,80"
20-3 21:10,"2,17","0,68","0,59","1,53","0,61","1,59","0,78","1,76","0,90","3,04","0,68","0,61","1,26","0,86","0,81","0,79","1,09","2,44","1,73","8,23","0,81","0,79","0,74","0,90","1,36","4,00","0,81"
20-3 21:15,"2,00","1,08","0,59","1,27","0,57","1,63","0,88","1,94","0,77","2,92","0,73","0,60","1,20","2,48","0,81","1,04","1,14","3,16","1,71","8,26","0,72","0,70","0,81","0,73","1,40","3,88","0,82"
20-3 21:20,"2,05","0,54","0,60","4,76","0,70","1,75","0,93","1,93","0,69","3,03","0,79","0,54","1,33","1,61","0,81","0,67","0,62","2,65","1,56","7,41","0,65","0,85","0,62","0,59","0,89","2,99","0,65"
20-3 21:25,"2,41","0,70","0,60","1,50","0,66","1,81","0,81","2,05","0,99","3,13","0,64","0,59","0,85","2,53","0,81","0,76","1,12","2,72","1,86","8,28","0,71","0,96","0,77","0,78","0,89","3,25","0,81"
20-3 21:30,"2,08","0,67","0,62","1,47","0,63","1,53","0,83","2,18","0,88","3,21","0,84","1,08","1,43","2,57","0,83","0,79","0,89","2,62","1,52","8,03","0,66","0,77","0,69","0,68","4,91","4,11","0,79"
20-3 21:35,"2,13","0,55","0,57","1,91","1,74","1,66","0,86","2,04","0,86","2,99","0,74","0,58","1,42","2,62","0,69","1,14","3,03","3,05","1,29","7,71","0,66","0,71","0,78","0,77","1,72","3,21","0,67"
20-3 21:40,"2,01","0,69","0,50","1,43","0,48","1,48","0,79","2,53","0,90","2,96","0,65","0,63","1,25","2,52","0,79","0,58","0,99","2,74","1,51","8,62","0,66","0,75","0,81","0,76","1,56","3,40","0,80"
20-3 21:45,"2,31","0,60","0,55","1,61","0,55","1,24","0,96","2,18","0,90","2,84","0,79","0,47","1,54","1,70","0,72","0,66","0,73","2,31","1,48","8,28","0,69","0,73","0,76","0,73","1,41","4,83","0,75"
20-3 21:50,"1,66","0,70","1,32","3,76","0,72","1,96","0,98","2,37","0,83","2,96","0,75","0,68","1,26","2,62","1,39","0,71","0,95","2,76","1,46","7,30","1,08","0,67","0,62","1,37","1,19","2,91","0,67"
20-3 21:55,"1,89","1,00","0,48","2,53","0,52","1,28","0,81","2,08","0,82","3,93","0,69","0,58","4,20","4,91","1,27","1,32","1,75","2,71","1,54","7,79","0,64","0,66","0,67","0,57","1,73","3,92","0,67"
20-3 22:00,"2,14","0,65","0,68","2,25","0,82","1,76","0,88","3,08","1,02","2,89","0,87","0,61","1,30","2,49","0,74","0,74","0,93","2,40","1,98","10,11","0,96","0,78","0,98","0,97","1,43","3,60","1,18"
20-3 22:05,"1,86","0,37","0,37","1,74","0,84","2,07","2,77","4,38","0,82","2,95","0,69","0,57","1,29","1,73","0,73","0,66","0,59","2,04","1,36","8,23","0,68","0,57","0,53","0,75","3,13","5,56","0,69"
20-3 22:10,"1,94","0,53","0,40","1,40","0,47","1,53","0,85","2,48","0,61","2,98","0,68","0,52","1,70","2,54","0,76","0,51","0,60","2,52","1,72","8,49","0,84","1,04","0,70","0,61","1,44","3,67","0,77"
