time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
22-3 17:30,"1,83","0,59","0,35","1,71","0,38","1,32","0,89","2,36","0,55","2,87","0,72","0,53","1,28","2,51","0,62","0,50","0,75","2,49","1,38","8,01","0,51","0,46","0,43","0,40","1,56","3,02","0,51"
22-3 17:35,"2,23","0,44","0,37","3,31","0,65","1,18","0,78","2,00","0,61","2,96","0,74","0,44","1,39","1,68","0,57","0,46","0,65","2,58","1,27","7,77","0,38","0,68","0,61","0,49","0,85","3,41","0,54"
22-3 17:40,"2,08","0,38","0,32","1,53","0,41","1,25","0,84","2,74","0,65","2,92","0,66","0,55","1,83","1,36","0,75","0,73","0,63","2,07","1,52","8,61","0,72","0,56","0,57","0,55","1,33","3,14","0,66"
22-3 17:45,"2,49","0,27","0,29","1,47","0,31","1,34","0,83","1,96","0,50","2,97","0,63","0,47","1,21","1,56","0,55","0,39","0,79","2,43","1,29","8,20","0,40","0,37","0,43","0,39","1,38","3,07","0,43"
22-3 17:50,"2,36","0,26","0,29","1,84","0,61","1,15","0,93","2,40","0,51","1,74","0,78","0,94","1,34","1,95","0,55","0,46","0,72","2,70","1,29","8,03","0,34","0,57","0,43","0,40","1,44","3,21","0,48"
22-3 17:55,"2,00","0,35","0,33","1,49","0,36","1,39","0,83","2,22","1,48","2,89","0,65","0,49","1,33","2,48","0,56","0,43","0,84","2,11","1,52","8,26","0,48","0,52","0,47","0,46","0,95","3,21","0,50"
22-3 18:00,"1,96","0,28","0,31","1,42","0,29","1,34","0,84","2,20","0,64","2,89","0,62","0,50","1,39","0,63","0,52","0,43","0,57","2,57","1,27","8,31","0,45","0,51","0,41","0,40","1,38","3,50","0,50"
22-3 18:05,"1,74","0,21","0,31","1,25","0,38","1,23","0,91","2,13","0,68","2,95","0,71","0,51","1,20","1,65","0,62","0,43","0,56","2,34","1,21","6,94","0,40","0,50","0,43","0,48","0,91","3,00","0,46"
22-3 18:10,"2,19","0,38","0,37","1,47","0,33","1,12","0,82","2,04","0,81","2,94","0,62","0,49","1,18","2,51","0,51","0,43","0,50","2,07","1,30","8,97","0,84","0,67","0,80","0,52","1,22","3,05","0,66"
22-3 18:15,"2,38","0,26","0,31","1,57","0,31","1,46","0,80","1,56","0,64","2,86","0,62","0,45","1,23","1,56","0,47","0,46","0,66","2,35","1,25","7,84","0,38","0,43","0,44","0,41","1,56","2,79","0,50"
22-3 18:20,"2,08","0,36","0,30","1,77","0,59","1,47","0,84","2,04","0,59","3,88","0,73","0,55","1,21","1,61","0,59","0,44","0,65","2,32","1,39","8,68","0,51","0,49","0,50","0,44","1,83","3,12","0,49"
