time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
14-3 22:00,"3,44","0,36","0,37","1,73","0,45","1,53","0,88","6,49","0,70","2,89","0,81","0,56","1,28","2,53","0,63","0,53","0,99","2,42","1,65","7,08","0,56","0,48","0,51","0,50","0,96",-,-
14-3 22:05,"2,32","0,22","0,38","1,67","0,89","2,20","0,95","1,90","0,57","5,13","0,79","0,60",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-3 22:10,"2,53","0,36","0,37","1,49","0,38","1,28","0,84","2,24","0,74","2,19","0,72","0,56","1,57","0,97","0,57","0,47","0,70","3,18","1,59","8,18","0,53","0,63","0,65","0,59","2,98","3,86","0,58"
14-3 22:15,"2,28","0,40","0,39","1,58","0,41","1,42",-,-,-,-,-,-,"1,39","2,57","0,74","0,58","0,69",-,-,-,-,-,-,-,"4,86","3,48","0,45"
14-3 22:20,"2,42","0,26","0,28","1,57","1,09","1,23","0,96","2,04","0,73","3,16","0,74","0,70","1,28","1,71","0,60","0,51","0,73","2,66",-,-,-,-,-,-,"2,77","3,05","0,57"
14-3 22:25,"2,63","0,27","0,29","1,28","0,31","1,19","1,26","2,01","0,44","2,90","0,71","0,51","1,29",-,-,-,-,-,"1,51","7,89","0,45","0,50","0,57","0,48","1,24","3,50","0,58"
14-3 22:30,"2,29","0,30","0,28","1,84","0,34","1,24",-,-,-,-,-,-,-,"2,65","0,53","0,42","0,56","1,98","1,20","8,06","0,45",-,-,-,-,"3,53","0,76"
14-3 22:35,-,-,-,-,-,-,"0,84","1,71","0,68","3,01","0,70","0,63","1,25","1,61","0,57","0,46","0,59","2,38","1,84","6,97","0,57","0,54","0,56","0,54","1,14","3,31","0,58"
14-3 22:40,"2,43","0,29","0,32","2,10","0,33","1,26",-,-,-,-,-,-,"1,34","2,49","0,51","0,54","0,62","2,53","1,47","8,19","0,55","0,48","0,53","0,51","2,15",-,-
14-3 22:45,"2,46","0,29","0,31","1,51","0,29","1,24","0,94","2,62","0,59","3,00","0,75","0,57","1,29","2,54","0,55","0,45","0,58","2,36","1,17","8,09","0,41","0,45","0,42","0,39","0,88","3,11","0,43"
14-3 22:50,-,-,-,-,-,-,-,-,-,-,-,-,"1,37","2,50","0,49","0,53","0,62","2,73","1,55","8,04","0,46","0,46","0,46","0,39",-,-,-
14-3 22:55,"2,39","0,36","0,28","1,76","0,32","1,48","1,23","1,97","0,57","3,03","0,83","0,51",-,-,-,-,-,-,"1,58","8,15","0,40","0,39","0,45","0,55","0,89","3,62","0,47"
14-3 23:00,-,-,-,-,-,-,-,-,-,-,-,-,"1,38","2,65","0,58","0,48","0,68","2,65","1,33","8,51","0,51","0,45","0,49","0,43","1,02",-,-
14-3 23:05,"2,58","0,37","0,31","1,67","0,59","1,51",-,"2,66","0,63","3,02","0,76","0,38","2,40","1,07","0,68","0,34","0,78","2,23","1,65","8,90","0,47","0,45","0,49","0,54","1,67","3,42","0,51"
14-3 23:10,"2,26","0,35","0,36","1,40","0,32","1,31","2,06","5,94","0,56","2,97","0,77",-,-,-,-,-,-,-,"1,47","8,54","0,48","0,49","0,54","0,70","1,02","3,49","0,47"
14-3 23:15,"2,44","0,37","0,29","1,54","0,32","1,17","0,93","2,59","0,60","2,87","0,76","0,61","1,57","2,56","0,43","0,41","0,57","2,83",-,-,-,-,-,-,-,-,-
14-3 23:20,"2,28","0,33","0,32","1,74","0,46","1,48","0,84","1,89","0,58","3,04","0,76","0,59","1,25","2,56","0,49","0,42","0,62","2,14","1,20","7,89","0,40","0,60","0,47","0,42","1,39",-,-
14-3 23:25,"2,16","0,32","0,31","1,73","0,31","1,17","0,23","1,91","0,55","3,00","0,69","0,44","1,36","0,59","0,49","0,42","0,54","2,00","1,45","8,12","0,57","0,56","0,55","0,50","1,00","3,42","0,65"
14-3 23:30,"3,29","0,31","0,27","1,52","0,30","1,29","0,87","6,12","0,81","3,22","0,78","0,54",-,-,-,-,-,-,"1,23","8,95","0,51","0,44","0,44","0,41","1,30","3,35","0,46"
14-3 23:35,"2,26","0,32","0,33","1,97","0,59","1,48","1,03","2,34","0,59","3,04","0,67","0,54",-,"0,92","0,45","0,36","0,63","2,44",-,-,-,-,-,-,-,"2,76","0,60"
14-3 23:40,"2,42","0,32","0,29","1,62","1,04","1,25","1,18",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-3 23:45,"2,19","0,36","0,35","1,80","0,32","1,13",-,-,-,-,-,-,-,"2,55","0,49","0,45","0,64","2,41","1,82","8,39","0,43","0,40","0,37","0,43","1,39","3,64","0,46"
14-3 23:50,-,-,-,-,-,-,-,"2,19","0,43","3,09","0,82","0,60","0,79","0,83","0,55","0,44","0,80","2,73",-,-,"0,36","0,41","0,47","0,36","1,37","3,39","0,45"
14-3 23:55,"2,76","0,27","0,30","1,80","0,30","1,50","0,98","2,76","0,47","2,93","0,76","0,51","2,26","2,61","0,60","0,42","0,59","2,05","1,27","7,75","0,36","0,44","0,50","0,43","1,41","3,02","0,51"
15-3 0:00,"2,86","0,35","0,32","1,52","0,29","1,54",-,-,-,-,-,-,-,-,-,-,-,-,"1,66","8,66","0,40",-,-,-,-,-,-
15-3 0:05,"2,31","1,80","2,00","3,53","1,14","3,37","0,90","2,20","0,52","2,92","0,70","0,47","1,37","4,52","0,63","3,00","2,87",-,"1,27","7,18","0,41","0,61","0,51","0,43","1,22","3,31","0,50"
15-3 0:10,"2,54","0,26","0,33","1,72","0,31","1,58","1,23","1,93","0,75","3,11","0,68","0,51",-,-,-,-,-,"5,43","2,57","8,96","1,57","1,67","2,91","1,95","2,24","6,22","2,86"
15-3 0:15,-,-,-,-,-,-,-,-,-,-,-,-,"1,38",-,-,-,-,-,-,-,-,-,-,-,-,-,-
15-3 0:20,"2,38","0,30","0,35","1,67","0,63","1,21","0,94","2,08","0,63","3,15","0,70","0,62","1,81","2,60","0,65","0,53","0,60","2,26","1,56","7,69","0,49","0,63","0,54","0,50",-,-,-
15-3 0:25,"2,23","0,34","0,30","1,56","0,32","1,15","0,96",-,-,-,-,-,-,-,-,-,-,-,"1,28","8,15","0,35","0,28","0,43","0,36","0,84","3,46","0,50"
