time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
19-3 4:30,"2,35","0,32","0,31","1,75","0,30","1,25","0,79","2,03","0,64","2,82","0,74","0,59","1,75","0,76","0,48","0,41","0,64","2,42","1,32","7,83","0,39","0,36","0,39","0,38","1,46","3,13","0,50"
19-3 4:35,"1,98","0,36","0,29","1,69","0,70","1,43","1,03","2,07","0,62","2,90","0,69","0,55","1,71","1,69","0,57","0,45","0,80","2,30","1,29","8,65","0,43","0,55","0,48","0,46","1,46","3,20","0,51"
19-3 4:40,"2,05","0,32","0,29","1,67","0,31","1,24","0,90","2,02","0,73","2,90","0,65","0,47","1,03","0,63","0,52","0,38","0,58","2,14","1,29","7,86","0,46","0,49","0,47","0,46","1,50","3,30","0,55"
19-3 4:45,"2,24","0,31","0,31","1,46","0,31","1,28","0,84","2,44","0,74","2,89","0,65","0,57","1,27","1,60","0,49","0,48","0,53","2,56","1,15","8,17","0,45","0,41","0,46","0,40","1,64","3,52","0,48"
19-3 4:50,"2,15","0,24","0,32","1,68","0,56","1,37","0,91","2,41","0,55","2,87","0,66","0,50","1,77","2,55","0,55","0,44","0,75","2,28","1,43","8,09","0,35","0,47","0,47","0,43","1,46","3,35","0,48"
19-3 4:55,"2,18","0,26","0,29","1,62","0,30","1,19","0,83","2,28","0,64","2,88","0,63","0,49","1,27","2,60","0,49","0,46","0,84","2,38","1,22","8,25","0,45","0,47","0,42","0,47","1,18","3,45","0,53"
19-3 5:00,"2,02","0,29","0,30","1,74","0,29","1,38","0,82","3,11","0,67","2,91","0,55","0,47","2,25","2,52","0,47","0,44","0,65","2,31","1,09","8,01","0,40","0,39","0,54","0,46","1,46","2,83","0,72"
19-3 5:05,"2,19","0,30","0,27","1,69","0,48","1,55","0,92","2,14","0,50","3,00","0,67","0,49","1,33","1,59","0,58","0,47","0,57","2,32","1,39","8,16","0,39","0,51","0,43","0,47","1,44","3,15","0,48"
19-3 5:10,"1,87","0,28","0,26","1,45","0,29","1,60","0,86","3,87","0,55","2,93","0,68","0,50","1,31","2,45","0,57","0,52","0,52","2,43","1,32","8,77","0,48","0,58","0,61","0,46","1,75","3,64","0,71"
19-3 5:15,"1,96","0,51","0,33","1,57","0,34","1,34","0,98","2,21","0,74","2,88","0,64","0,49","1,44","1,67","0,57","0,42","0,60","2,53","1,10","8,60","0,36","0,35","0,43","0,38","1,43","3,06","0,43"
