time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
21-3 16:30,"1,88","0,93","0,62","1,75","0,64","1,54","0,84","2,02","1,07","2,93","0,72","2,70","1,79","1,66","0,95","1,32","1,10","2,63","1,75","8,80","0,73","0,73","0,73","0,83","1,35","3,50","0,80"
21-3 16:35,"2,30","0,70","0,76","1,65","0,93","1,56","1,25","1,88","1,17","2,93","0,74","0,67","1,44","1,77","0,82","0,76","1,03","2,16","1,76","7,43","0,77","0,86","0,84","0,75","1,64","3,50","0,89"
21-3 16:40,"2,81","0,56","0,64","1,50","0,73","5,79","2,20","5,95","1,67","2,95","0,61",-,-,-,-,-,-,-,"3,43","8,11","0,81","1,00","0,82","1,00","1,03","3,03","0,93"
21-3 16:45,"2,46","0,62","0,61","1,41","0,66","1,97","0,78","2,81","0,91","4,91","0,73","0,65","1,25","0,77","0,79","0,93","1,32","2,65","1,73","7,97","0,76","0,80","0,88","0,95","1,34","2,82","0,78"
21-3 16:50,"2,89","0,68","0,63","1,60","1,23","2,33","2,72","2,14","1,03","3,97","0,68","0,92","1,80","1,75","0,99","0,86","1,28","2,87","1,65","6,92","0,80","0,79","0,78","0,73","1,43","3,82","0,82"
21-3 16:55,"1,90","0,67","0,59","1,48","0,64","1,57","1,24","2,09","0,70","3,01","0,69","1,40","1,25","2,45","0,86","0,75","1,13","2,39","1,84","8,32","0,71","0,76","0,85","0,76","1,59","3,29","0,79"
21-3 17:00,"1,88","0,69","0,61","1,36","0,59","1,67","1,11","2,22","0,97","2,85","0,59","0,75","1,30","2,55","0,82","0,75","0,88","2,61","1,86","8,57","0,91","0,72","0,77","0,73","1,17","3,55","0,77"
21-3 17:05,"1,89","0,76","0,66","1,77","0,93","1,48","0,88","2,67","0,86","3,00","0,80","0,61","1,64","1,82","0,85","0,78","1,23","2,27","1,69","8,88","0,69","0,69","0,68","0,73","1,38","3,28","0,76"
21-3 17:10,"2,01","2,81","1,49","1,88","1,13","1,68","0,86","2,55","1,30","2,95","0,80","0,83","1,38","0,85","0,95","0,74","1,56","2,69","1,86","8,87","0,79","0,84","1,02","1,56","2,98","3,56","1,01"
21-3 17:15,"2,82","0,62","0,62","1,68","0,67","1,72","0,89","1,65","1,25","2,92","0,63","0,88","1,41","2,49","0,81","0,74","1,19","2,18","1,54","7,80","0,71","0,70","0,70","0,73","1,33","3,19","0,77"
21-3 17:20,"1,90","0,68","0,60","2,08","0,64","1,99","0,82","2,34","1,01","2,95","0,66","0,57","1,74","2,58","0,88","0,79","1,13","2,26","1,61","11,44","0,77","0,75","0,77","0,73","1,34","3,33","0,82"
21-3 17:25,"2,25","0,76","0,73","1,55","0,63","1,91","0,93","4,14","1,33","2,47","0,73","0,63","1,22","1,09","1,13","1,08","1,28","3,12","1,78","7,84","0,77","0,74","0,79","0,80","0,90","3,19","0,89"
21-3 17:30,"1,89","0,68","0,61","1,43","0,63","1,66","0,84","2,38","1,03","2,96","0,79","0,74","1,47","1,63","0,80","0,76","1,13","2,46","1,67","8,12","0,70","0,72","0,73","0,81","1,10","2,94","0,80"
