time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
14-3 14:30,"2,33","0,68","0,66","1,69","0,55","1,50",-,-,-,-,-,-,"1,56","2,54","0,55","0,48","0,64","2,27","1,49","8,21",-,-,-,-,-,-,-
14-3 14:35,-,-,-,-,-,-,"4,76","4,19","4,33","4,72","0,71","2,82","1,96","2,45","1,20","1,45","2,07","6,69","3,36","14,22","2,89","2,12","0,55","0,71","0,96","3,37","0,60"
14-3 14:40,"2,46","1,67","0,62","10,41","0,39",-,-,-,-,-,-,"1,84","1,75","2,50","0,53","0,58","0,67","2,49","2,60","8,40","0,56","0,50","0,51","0,57","3,80","3,53","0,54"
14-3 14:45,"3,35","0,33","0,37","1,50","0,42","1,13","1,01","2,21","0,67","2,97","0,84","0,63","1,48","2,86","0,63","2,13","4,65",-,-,-,-,-,-,-,-,-,-
14-3 14:50,-,-,-,-,-,-,-,-,-,-,-,"0,53","2,32","2,64","1,47","1,01","1,35","2,91","2,23","8,38","0,73","0,77","0,75","0,76","5,17","3,40","0,63"
14-3 14:55,"3,24","0,38","0,42","1,63","0,47","1,17","1,20","4,18","0,92","3,98","0,72","0,57","1,36","2,50","0,66","0,50","0,66","2,31","1,79","8,08","0,52","0,47","0,52","0,47",-,-,-
14-3 15:00,-,-,-,-,-,-,-,-,-,-,-,-,"1,21","2,63","0,59","0,54","0,67","2,45",-,-,-,-,-,-,-,-,-
14-3 15:05,"2,21","0,33","0,40","1,86","0,45","1,61","0,94","2,06","0,80","2,98","0,73","0,71","1,36","2,56","0,59","0,60","0,72","2,35","1,51","8,47","0,59","0,58","0,60","0,51","0,91","3,32","0,63"
14-3 15:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,50","2,23","8,67","0,74","1,08","0,72","0,75","1,39","3,51","0,80"
14-3 15:15,"3,40","0,59","0,53","1,61","0,51","1,38",-,-,-,-,-,-,"1,35","2,50","0,57","0,53","0,64",-,-,-,-,-,-,-,-,-,-
14-3 15:20,"2,76","0,36","0,45","1,84","0,69","1,80","1,41","2,26","0,88","2,94","0,76","0,54","1,67","2,56","0,65","0,54","0,70","2,40","1,35","10,11","0,56","0,50","0,56","0,74",-,-,-
14-3 15:25,"2,46","0,53","0,52","1,77","0,74","2,66","2,82","2,15","1,50","2,96","0,88","0,69","1,86","2,54","0,90","0,73","1,18","2,18",-,-,-,-,-,-,"1,12","4,13","4,86"
14-3 15:30,"2,72","0,48","0,59","1,48","0,60","1,70",-,-,-,-,-,-,"1,78","2,58","1,88","0,80","1,35","2,25","2,07",-,-,-,-,"0,64","0,93","3,32","0,63"
14-3 15:35,"2,28","0,63","0,71","2,14","0,78","1,71","1,10","2,30","1,12","3,31","0,81","0,93","1,63","2,58","0,93","0,98","1,23","3,26","1,60","8,24","0,79","0,82","0,78","0,96","1,73","3,65","1,02"
14-3 15:40,-,-,-,-,-,-,"0,84","2,38","0,44","3,10","0,95","0,60","3,06","2,46","0,61","0,57","1,04","2,42","1,63","7,96","0,54","0,46","0,54","0,49","3,23","3,19","0,66"
