time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
20-3 15:30,"4,02","0,77","0,81","1,55","0,69","1,80","0,88","2,24","1,38","3,08","0,75","0,98","1,47","1,73","0,85","1,10","1,95","2,60","2,43","7,18","0,80","2,32","0,85","1,47","0,93","3,70","0,90"
20-3 15:35,"2,40","10,21","1,76","2,10","0,77","1,50","0,90","2,60","1,15","3,16","0,69","0,64","1,37","0,96","0,86","0,76","1,37","2,38","1,73","7,87","0,82","0,80","0,73","0,79","1,14","3,89","0,84"
20-3 15:40,"4,06","1,11","1,80","2,87","0,68","1,85","1,01","2,06","3,87","3,02","0,65",-,-,-,-,-,-,"2,74","1,57","8,79","1,11","0,82","1,22","0,85","1,03","3,50","0,87"
20-3 15:45,"3,00","0,96","0,73","2,43","0,91","1,99","0,76","2,36","1,37","3,02","0,66","0,73","1,49","1,70","1,11","2,76","3,10","3,35","2,05","9,31","0,96","0,96","0,86","0,83","1,34","4,10","1,16"
20-3 15:50,"2,13","1,28","0,65","1,77","0,98","1,61","0,95","2,25","1,43","3,14","0,85","0,68","1,34","1,81","0,96","0,89","0,95","2,84","1,79","8,07","0,79","0,80","0,80","0,72","1,16","3,41","0,91"
20-3 15:55,"2,33","1,24","0,79","1,77","0,62","1,71","0,88","2,37","0,98","3,16","0,88","0,63","1,43","0,95","0,78","0,72","1,33","2,80","1,92","7,92","0,80","0,77","0,87","1,22","1,31","4,07","0,87"
20-3 16:00,"2,45","0,73","0,62","1,57","0,69","1,77","0,85","2,21","1,32","2,92","0,63","0,77","1,38","1,62","0,84","0,69","1,14","2,89","1,78","8,40","0,77","0,76","0,79","0,75","0,98","3,59","0,89"
20-3 16:05,"6,66","1,11","0,73","1,91","0,87","1,96","1,62","4,00","1,41","2,97","0,62","0,65","1,32","1,77","0,85","0,76","1,18","2,14","1,68","8,65","1,70","2,87","0,99","0,95","1,32","3,43","0,86"
20-3 16:10,"1,96","0,72","0,62","1,31","0,64","1,61","1,07","4,00","2,41","2,97","0,83","0,60","1,26","2,48","0,89","0,80","0,71","2,24","1,56","8,53","0,95","0,76","0,90","0,80","1,93","4,48","0,79"
20-3 16:15,"2,95","0,70","0,63","1,43","0,68","1,94","1,00","2,03","4,66","5,00","0,68","0,78","1,31","2,53","0,92","0,74","1,79","2,65","1,70","8,27","0,71","0,75","0,73","0,72","0,91","3,96","0,77"
20-3 16:20,"2,43","0,65","0,64","2,76","1,16","1,72","0,81","2,08","1,01","3,08","0,67","0,61","1,43","0,83","0,86","0,80","1,12","2,27","1,55","7,70","0,90","0,98","0,79","4,11","1,62","2,86","0,85"
20-3 16:25,"3,70","1,05","1,10","3,46","0,61","1,60","0,84","2,35","2,25","3,53","0,64","0,65",-,-,-,-,-,-,"1,85","9,69","1,41","1,19","0,82","0,98","2,53","3,41","0,93"
