time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
17-3 22:30,"2,55","0,23","0,39","1,21","0,38","1,80",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-3 22:35,"2,47","0,24","0,41","1,74","0,50","2,03","0,76","2,06","0,70","2,85","0,68","1,17","1,32","0,76","0,59","0,67","1,81","2,22",-,-,-,-,-,-,-,-,-
17-3 22:40,"2,15","0,42","0,38","1,53","0,41","1,27","1,36","3,20","0,74","4,94","0,77","0,58",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-3 22:45,"2,97","0,52","0,42","1,83","0,38","1,27","0,78","2,13","0,68","2,84","0,67","0,65","1,23","0,47","0,61","0,48","0,87","2,33","1,50","8,66","0,50","0,54","0,52","0,52","1,33","3,07","0,56"
17-3 22:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,29","8,20","0,50","0,65","0,49","0,50","1,31","3,68","0,56"
17-3 22:55,-,-,-,-,-,-,"0,82","5,78","0,72","2,87","0,65","0,51",-,"2,52","0,60","2,37","2,53","3,60","2,63","8,16","1,41","1,81","1,44","1,46","1,73","4,76","1,51"
17-3 23:00,"2,23","0,35","0,38","1,74","0,40","1,21","0,74",-,-,-,-,-,-,-,-,-,-,"2,49","1,36","8,96","0,58","0,51","0,49","0,60","1,46","3,27","0,63"
17-3 23:05,"2,15","0,34","0,39","1,64","0,95","1,75","1,04",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,62","0,67","0,53","1,63","3,58","0,86"
17-3 23:10,"1,74","0,32","0,37","5,34","0,37","1,59","0,82","2,02","0,86","2,90","0,65","0,49","1,70","0,69","0,58","0,54","0,60","1,95",-,-,-,-,-,-,"2,20","3,62","0,76"
17-3 23:15,"2,42","0,33","0,37","1,63","0,38","1,60","0,79","2,15","0,68","2,83","0,64","0,59",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-3 23:20,-,-,-,-,-,-,"0,75","2,21","0,54","2,85","0,63","0,43","1,52","2,50","0,57","0,51","0,53","2,84","1,68","7,57","0,50","0,56","0,52","0,54","0,90","3,27","0,53"
17-3 23:25,"1,85","2,23","1,82","3,29","2,14","2,83","2,17","3,53","2,63","4,47","0,69","2,43","1,46",-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-3 23:30,"3,24","0,49","0,40","1,71","0,41","1,46",-,-,-,-,-,-,-,-,-,-,-,-,"2,39","7,97","2,51","2,54","2,30","2,36","2,44","5,49","2,54"
17-3 23:35,-,-,-,-,-,-,-,-,-,-,-,-,"1,51","2,57","0,63","0,51","0,90","2,24","1,39","8,22","0,51","0,64","0,57","0,54","1,81","3,33","0,63"
17-3 23:40,"1,63","0,30","0,43","1,64","0,38","1,59","0,79","2,19","0,65","5,01","0,66","0,42",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-3 23:45,-,-,-,-,-,-,-,-,-,-,-,-,"2,19","2,53","0,57","0,57","0,60","2,33","1,56","8,40","0,57",-,-,-,-,"3,54","0,62"
17-3 23:50,"2,15","0,37","0,37","1,88","0,90","1,41","0,93","1,99","0,82","2,97","0,70","0,58","1,31","0,77","0,65","0,53","0,55","2,50",-,-,-,"0,48","0,50","0,46","1,42","3,34","0,57"
17-3 23:55,"1,83","0,49","0,34","2,53","0,43","1,44",-,"2,95","0,49","2,90","0,71","0,54",-,-,-,-,-,-,"1,47","7,88","0,39","0,50","0,49","0,54","1,28","3,29","0,58"
18-3 0:00,"2,01","0,42","0,39","1,55","0,39","1,44",-,-,-,-,-,-,"1,43","0,58","0,57","0,49","0,89",-,-,-,-,-,-,-,-,-,-
18-3 0:05,-,-,-,-,-,-,"1,21","2,12","0,61","2,94","0,74","0,52","1,29","0,86","0,60","0,57","0,64","2,00",-,-,-,-,-,-,-,"3,22","0,61"
18-3 0:10,-,-,-,-,-,-,-,"2,20","0,64","1,58","0,77","0,49","2,24",-,-,-,-,-,-,-,-,-,-,-,-,"3,57","0,77"
18-3 0:15,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,89","0,47","0,54","0,67","3,23","1,26",-,-,-,-,-,-,-,-
18-3 0:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-3 0:25,"1,75","0,30","0,36","1,75","0,29","1,53","0,88","2,39","0,73","2,88","0,61","0,49","1,23","2,52","0,45","0,39","0,61","2,25",-,-,-,-,-,-,-,"2,99","0,50"
18-3 0:30,"2,96","0,29","0,33","1,63","0,33","1,33",-,-,-,-,-,-,-,-,-,-,-,-,"1,29","8,15","0,46","0,46","0,45","0,41","2,38",-,-
18-3 0:35,"1,78","0,31","0,30","1,45","0,75","1,41","0,91","2,04","0,63","2,92","0,77","0,56","1,28","0,68","0,59","0,44","0,61","2,35",-,-,-,"0,47","0,45","0,49","2,53","3,19","0,44"
18-3 0:40,"2,51","0,31","0,31","1,63","0,30","1,38","0,81","3,30","0,82","2,86","0,63","0,49","1,54","2,48","0,51","0,44","0,57","2,71","1,56","7,87","0,48","0,48","0,56","0,52","2,04","3,30","0,55"
18-3 0:45,"2,20","0,31","0,32","1,52","0,32","1,28",-,-,-,-,-,-,"1,28","2,49","0,52","0,39","1,58","2,40","1,64","8,40","0,48","0,45","0,47","0,42","1,36","2,74","0,48"
18-3 0:50,-,-,-,-,-,-,"0,84","2,02","0,64","2,89","0,76","0,64",-,"2,58","0,48","0,55","0,61","2,14","1,28","8,12","0,39","0,54","0,49","0,44","2,49","3,06","0,49"
18-3 0:55,"1,97","0,31","0,28","1,79","0,28","1,16","0,89",-,-,-,-,-,-,"2,57","0,48","0,40","0,69","2,32","2,08","8,58","0,45","0,49","0,43","0,50","1,65","3,29","0,81"
