time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
13-3 1:00,"2,29","0,34","0,37","1,56","0,29","1,21","1,08","2,23","0,60","2,94","0,66","0,57","1,38","1,52","0,55","0,39","0,56","2,31","2,52","8,07","0,46","0,48","0,45","0,53","2,00","3,87","0,48"
13-3 1:05,"1,90","0,20","0,33","1,95","0,42","1,38","0,92","2,63","0,70","2,91","0,73","0,52","1,35","1,73","0,57","0,48","0,68","2,16","1,49","8,16","0,53","0,59","0,50","0,44","1,42","3,49","0,50"
13-3 1:10,"2,20","0,29","0,31","1,45","0,31","1,20","0,94","2,19","0,65","2,88","0,65","0,45","1,88","2,50","0,51","0,41","0,61","1,99","1,47","8,13","0,97","0,51","0,56","0,45","1,62","3,66","0,49"
13-3 1:15,"2,32","0,24","0,28","1,66","0,30","1,46","0,88","5,77","0,62","2,88","0,60","0,49","1,38","2,48","0,45","0,38","0,88","2,20","1,13","7,72","0,54","0,60","0,42","0,39","2,37","3,63","0,49"
13-3 1:20,"1,83","0,30","0,32","2,19","0,68","1,34","1,03","1,81","0,71","2,92","0,74","0,51","1,34","1,68","0,51","0,43","1,16","2,48","1,21","8,48","0,39","0,52","0,53","0,39","1,10","3,25","0,47"
13-3 1:25,"1,74","0,21","0,27","1,73","0,34","1,11","1,06","4,10","0,68","2,89","0,70","0,46","1,80","2,53","0,53","0,40","0,55","2,11","1,56","8,49","0,44","0,54","0,44","0,45","1,02","3,17","0,50"
13-3 1:30,"1,99","0,36","0,34","1,50","0,39","1,22","0,93","2,69","0,51","2,97","0,72","0,45","1,70","0,70","0,50","0,45","0,59","2,34","1,33","8,20","0,39","0,40","0,43","0,54","1,55","3,47","0,50"
13-3 1:35,"1,72","0,31","0,30","2,05","0,47","0,99","1,44","2,07","0,58","2,91","0,73","0,52","1,53","1,67","0,52","0,45","0,56","2,30","1,15","8,32","0,40","0,50","0,48","0,43","1,56","3,16","0,49"
13-3 1:40,"2,17","0,30","0,34","1,44","0,30","1,33","1,06","2,18","0,57","2,92","0,58","0,49","1,40","0,46","0,47","0,40","0,81","1,89","1,20","8,10","0,42","0,55","0,48","0,46","1,78","3,65","0,62"
13-3 1:45,"2,14","0,33","0,32","1,95","0,29","1,17","0,92","2,70","0,53","2,93","0,66","0,48","1,32","1,62","0,45","0,44","0,70","2,21","1,33","7,95","0,44","0,55","0,43","0,39","1,52","3,18","0,51"
