time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
13-3 16:00,"3,49","0,54","0,46","1,33","0,39","1,47","0,87","1,75","0,70","3,02","0,62","1,27","2,07","2,60","0,63","0,52","0,78","2,33","1,58","8,24","0,65","0,62","0,55","0,51","1,70","3,11","0,60"
13-3 16:05,"2,42","0,49","0,43","1,79","0,74","1,66","0,99","1,85","1,11","2,99","0,77","0,84","2,80","1,73","0,64","0,60","0,93","2,48","2,57","19,46","0,52","0,53","0,56","0,56","1,60","3,58","0,61"
13-3 16:10,"2,48","2,21","1,52","2,35","1,62","2,50","1,88","3,18","1,78","3,72","0,73","1,69","1,38","4,42","0,63","2,31","2,61","3,42","2,94","8,35","1,65","1,81","1,66","1,80","1,88","4,64","1,60"
13-3 16:15,"2,44","0,66","0,47","2,86","0,38","1,46","0,82","2,02","1,80","2,90","0,74","0,45","1,51","2,56","0,69","0,55","0,96","2,48","1,61","8,53","0,46","0,50","0,48","0,49","0,85","3,28","0,56"
13-3 16:20,"2,76","0,34","0,39","1,58","0,75","1,66","0,98","2,10","0,81","3,26","0,86","0,63","2,34","0,94","0,67","0,60","0,68","2,47","1,69","9,27","0,49","0,60","0,56","0,52","1,13","3,49","0,63"
13-3 16:25,"2,41","0,51","0,39","1,57","0,37","1,48","0,93","2,26","0,67","3,15","0,72","0,61","2,15","0,49","0,70","0,51","0,55","2,36","2,01","10,36","0,58","0,52","0,52","0,85","1,69","3,97","0,61"
13-3 16:30,"4,26","0,43","0,45","1,78","0,42","1,50","0,85","1,74","0,55","3,05","0,88","0,67","1,74","2,55","0,67","0,61","1,21","2,56","1,45","7,69","0,52","0,52","0,52","0,58","0,86","2,67","0,56"
13-3 16:35,"2,01","0,98","0,58","4,17","0,77","2,10","0,93","1,95","1,40","3,22","2,02","0,86","2,67","1,95","0,71","0,72","0,90","2,31","1,30","9,28","0,64","0,67","0,67","0,63","1,30","3,35","0,59"
13-3 16:40,"2,44","0,50","0,37","1,66","0,38","1,24","0,55","2,20","0,86","2,73","0,70","0,85","1,71","0,76","0,64","0,54","1,00","2,28","1,97","8,42","0,61","0,66","0,63","0,62","1,28","3,26","0,56"
13-3 16:45,"2,98","0,37","0,42","1,66","0,41","1,36","0,81","2,09","0,61","3,18","10,83","0,65","2,78","1,73","0,71","0,68","0,90","2,57","1,57","8,38","0,53","0,55","0,57","0,51","1,27","2,97","0,59"
13-3 16:50,"2,25","0,62","0,44","1,79","0,69","1,35","0,92","2,01","0,69","3,06","0,79","0,49","1,75","1,73","0,63","0,57","0,64","2,49","1,56","8,72","0,51","0,55","0,54","2,96","1,41","3,26","0,57"
13-3 16:55,"2,05","0,42","0,40","1,59","0,40","1,62","0,93","4,05","0,83","3,01","0,69","0,50","1,38","2,54","0,59","0,50","0,56","2,56","1,82","7,94","0,55","0,57","0,58","0,54","1,41","3,39","0,65"
13-3 17:00,"3,40","0,33","0,40","1,55","0,41","1,55","0,83","1,98","0,84","3,46","0,93","1,87","1,32","1,60","0,54","0,55","0,74","2,27","1,47","7,98","0,49","0,54","0,52","0,48","1,36","3,87","0,58"
13-3 17:05,"4,24","0,67","0,52","2,06","0,54","1,54","0,88","2,25","0,69","3,16","0,79","0,54","1,67","1,60","0,62","0,56","0,78","1,95","1,43","8,01","0,51","0,59","0,61","0,60","1,43","3,47","0,75"
13-3 17:10,"2,60","0,58","0,42","1,73","0,45","1,41","0,91","2,30","0,68","2,98","0,75","0,55","2,21","0,62","10,46","0,50","0,63","2,44","1,34","8,72","0,55","0,56","0,56","0,59","1,61","3,39","0,61"
13-3 17:15,"2,57","0,53","0,48","1,59","0,46","1,91","1,00","1,95","0,59","3,16","0,65","0,54","1,35","3,41","0,65","0,54","0,81","2,58","1,71","8,29","0,50","0,53","0,54","0,51","1,49","3,39","0,61"
13-3 17:20,"7,89","0,32","0,56","2,83","0,43","1,39","0,96","2,31","0,80","3,02","1,03","0,53","1,91","0,66","0,58","0,61","1,12","2,46","2,37","8,03","0,61","0,56","0,58","0,52","1,31","3,90","0,60"
13-3 17:25,"2,13","1,44","1,05","4,06","1,28","2,31","1,64","3,06","2,21","2,85","0,65","3,68","1,64","2,99","0,55","2,79","2,96","3,84","2,29","11,52","4,26","3,63","2,49","3,58","6,33","3,47","0,56"
13-3 17:30,"2,38","0,71","0,93","1,28","0,38","1,55","0,93","1,81","0,79","3,15","0,62","0,53","1,29","1,53","0,59","0,52","0,94","3,20","1,71","8,13","0,45","0,50","0,51","0,52","1,43","8,21","3,21"
