Metrics Over Time
Metrics Over Time
,,,21-3 11:30,,,21-3 11:35,,,21-3 11:40,,,21-3 11:45,,,21-3 11:50,,,21-3 11:55,,,21-3 12:00,,,21-3 12:05,,,21-3 12:10,,,21-3 12:15,,,21-3 12:20,,,21-3 12:25,,,21-3 12:30,,,21-3 12:35,,,21-3 12:40,,,21-3 12:45,,,21-3 12:50,,,21-3 12:55,,,21-3 13:00,,,21-3 13:05,,,21-3 13:10,,,21-3 13:15,,,21-3 13:20,,,21-3 13:25,,,21-3 13:30,,,21-3 13:35,,,21-3 13:40,,,21-3 13:45,,,21-3 13:50,,,21-3 13:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","2,10","2,26","2,25","2,26","10,80","2,64","4,28","2,29","1,87","2,10","2,17","3,58","2,60","2,33","1,96","2,34","2,20","2,37","2,16","1,99","2,51","2,21","4,52","2,41","2,12","2,50","2,28","3,33","1,80","2,03",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,66","0,46","0,59","0,44","1,79","0,42","0,85","0,58","0,73","0,76","0,61","0,60","0,72","0,65","1,02","0,69","0,67","0,70","0,70","0,72","0,56","0,68","2,60","0,57","0,70","0,70","0,66","0,69","0,69","0,84",
"FSO_T02_SKPAuto_Kenteken","0,60","0,54","0,53","0,46","2,27","0,43","0,59","0,89","0,61","0,67","0,65","0,62","0,68","0,60","0,61","2,59","0,70","0,48","0,64","0,63","0,59","0,63","0,73","0,68","0,57","0,63","0,63","0,62","0,63","0,77",
"FSO_T03_SKPAuto_AutoCheck","1,95","1,99","2,97","1,89","4,92","1,65","3,75","1,84","1,34","1,39","1,98","1,53","1,69","1,93","1,42","1,92","1,70","1,42","1,60","1,85","1,56","1,25","1,97","1,68","1,83","2,59","1,66","1,78","2,21","2,55",
"FSO_T04_SKPAuto_Postcode","0,54","0,94","0,63","0,59","2,11","0,45","0,72","1,09","0,65","0,61","0,78","0,60","0,60","0,72","0,63","0,64","0,98","0,67","0,61","0,69","0,78","0,60","0,78","0,64","0,66","0,80","3,82","0,61","0,88","0,81",
"FSO_T05_SKPAuto_Bestuurder","1,48","1,61","1,43","1,63","3,34","1,48","2,07","1,68","1,65","1,43","1,84","1,59","1,73","1,68","1,28","2,48","1,75","1,60","1,44","1,87","1,89","1,70","1,37","1,52","1,74","1,91","1,53","1,78","1,38","2,39",
"FSO_T06_SKPAuto_GeboorteDatum","0,91","0,96","0,88","0,83","2,46","0,89","1,03","1,22","0,80","0,84","1,13","0,88","0,82","0,95","0,88","1,01","0,91","0,86","0,80","0,93","0,92","0,80","0,90","0,97","1,09","0,90","0,85","-","1,02","2,72",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,24","2,25","2,76","2,70","3,02","4,26","2,41","2,18","5,76","2,30","2,75","2,50","1,87","2,27","2,15","2,06","2,17","4,02","2,51","2,11","4,28","2,41","2,12","2,40","2,79","2,37","2,32","-","2,03","2,05",
"FSO_T08_SKPAuto_Kilometers","0,88","0,85","0,81","0,68","1,96","1,00","1,08","3,22","1,55","1,21","1,25","0,92","1,03","0,93","0,95","1,11","0,86","1,07","1,00","0,89","1,16","1,01","0,91","0,88","1,31","0,89","1,05","-","0,96","1,24",
"FSO_T09_SKPAuto_Basisdekking","2,87","2,98","2,94","3,02","2,61","2,91","3,22","3,02","3,15","2,90","3,01","2,97","3,01","2,97","1,82","2,83","2,89","2,96","2,91","3,11","2,89","3,01","2,92","3,62","5,42","2,95","2,96","-","3,04","2,90",
"FSO_T10_SKPAuto_Uitbreiding","0,69","0,74","0,71","0,67","0,63","1,01","0,78","0,71","0,77","0,76","1,01","0,74","0,93","0,71","0,88","0,76","0,72","0,74","0,80","0,88","0,74","0,67","0,86","0,72","0,75","0,72","0,68","-","0,77","0,69",
"FSO_T11_SKPAuto_Ingangsdatum","0,50","0,50","0,68","2,62","1,51","0,52","0,71","0,88","0,58","0,65","0,95","0,81","1,71","0,64","0,59","0,62","0,65","0,66","0,66","0,67","0,59","0,58","0,62","0,58","1,07","0,61","0,56","1,16","0,62","0,63",
"FSO_T12_SKPAuto_Ongevallen","1,37","2,49","1,74","1,34","1,40","1,38","2,32","1,86","7,50","1,12","1,79","1,19","1,81","1,31","1,28","1,22","1,34","1,25","1,37","1,57","1,66","1,41","1,40","1,18","1,37","1,45","1,68","1,77","1,13","1,48",
"FSO_T13_SKPAuto_Samenvatting1","2,52","2,58","2,50","1,55","2,88","2,53","2,61","1,11","0,75","2,52","2,76","2,56","2,51","1,09","2,44","1,71","1,83","2,50","2,49","0,94","2,55","1,67","3,72","0,70","2,52","2,55","0,82","4,89","1,73","0,98",
