Metrics Over Time
Metrics Over Time
,,,16-3 6:30,,,16-3 6:35,,,16-3 6:40,,,16-3 6:45,,,16-3 6:50,,,16-3 6:55,,,16-3 7:00,,,16-3 7:05,,,16-3 7:10,,,16-3 7:15,,,16-3 7:20,,,16-3 7:25,,,16-3 7:30,,,16-3 7:35,,,16-3 7:40,,,16-3 7:45,,,16-3 7:50,,,16-3 7:55,,,16-3 8:00,,,16-3 8:05,,,16-3 8:10,,,16-3 8:15,,,16-3 8:20,,,16-3 8:25,,,16-3 8:30,,,16-3 8:35,,,16-3 8:40,,,16-3 8:45,,,16-3 8:50,,,16-3 8:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","2,57","2,18","2,23","2,59","2,56","2,46","2,79","-","2,86","-","2,20","2,32","-","2,22","-","2,33","-","-","2,47","-","-","-","2,22","2,22","2,33","-","2,66","2,53","2,50","2,30",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,31","0,32","0,33","1,92","0,28","0,28","1,21","-","0,35","-","0,30","0,54","-","0,33","-","0,37","-","-","0,26","-","-","-","0,31","0,30","0,62","-","0,23","0,33","0,30","0,48",
"FSO_T02_SKPAuto_Kenteken","0,34","0,29","0,31","1,79","0,32","0,30","1,16","-","0,29","-","0,29","0,30","-","0,30","-","0,38","-","-","0,31","-","-","-","0,31","0,30","0,32","-","0,26","0,36","0,33","0,37",
"FSO_T03_SKPAuto_AutoCheck","1,82","1,70","1,61","3,72","1,38","1,47","2,62","-","1,56","-","2,03","1,70","-","2,30","-","2,49","-","-","1,63","-","-","-","1,42","1,50","1,50","-","1,55","1,46","2,01","1,91",
"FSO_T04_SKPAuto_Postcode","0,27","0,43","0,32","2,11","0,41","0,32","1,15","-","0,34","-","0,79","0,29","-","0,37","-","0,32","-","-","0,27","-","-","-","0,59","0,30","0,40","-","0,32","0,34","0,39","0,35",
"FSO_T05_SKPAuto_Bestuurder","1,34","1,37","1,43","2,93","0,98","1,15","5,70","-","1,68","-","2,65","1,54","-","1,50","-","1,13","-","-","1,19","-","-","-","1,52","0,93","1,37","-","1,00","1,24","1,10","0,95",
"FSO_T06_SKPAuto_GeboorteDatum","1,00","0,96","0,84","2,18","0,95","0,85","-","0,83","0,85","0,84","1,04","0,85","0,92","0,90","0,92","0,87","-","-","0,94","-","0,94","-","-","0,90","1,07","1,03","0,85","0,88","1,05","-",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,05","2,31","2,41","-","2,29","2,00","-","2,21","3,75","2,76","2,90","4,11","2,22","2,12","2,24","2,33","2,29","2,33","2,11","-","1,94","-","-","-","2,16","4,06","2,43","1,99","1,92","-",
"FSO_T08_SKPAuto_Kilometers","0,58","0,52","0,58","-","0,50","0,41","-","0,74","0,36","1,10","1,68","0,55","0,61","0,83","0,56","0,61","1,43","0,70","0,70","-","0,68","-","-","-","0,60","0,66","0,58","0,72","0,57","-",
"FSO_T09_SKPAuto_Basisdekking","2,86","2,92","3,02","-","3,04","2,90","-","4,95","2,96","2,91","2,80","2,94","3,09","2,92","0,71","2,99","2,88","2,91","2,91","-","2,93","-","-","-","2,96","3,01","1,76","2,84","1,78","-",
"FSO_T10_SKPAuto_Uitbreiding","0,64","0,74","0,74","-","0,63","0,73","-","0,71","0,68","0,78","0,73","0,71","0,60","0,73","0,71","0,68","0,76","0,69","0,71","-","2,18","-","-","-","0,66","0,68","0,72","0,71","0,79","-",
"FSO_T11_SKPAuto_Ingangsdatum","0,59","0,59","0,52","-","0,58","0,49","-","0,50","0,48","0,57","1,50","0,54","0,70","0,62","0,44","0,63","0,49","0,53","0,63","-","0,52","-","-","-","0,54","0,54","0,68","0,52","0,53","-",
"FSO_T12_SKPAuto_Ongevallen","2,23","1,29","-","1,28","1,33","1,27","-","1,75","-","1,26","1,77","-","1,85","1,43","1,22","1,30","4,20","1,24","1,26","-","-","2,42","-","-","1,29","1,38","2,25","0,00","1,71","2,15",
"FSO_T13_SKPAuto_Samenvatting1","2,50","-","-","2,73","2,57","-","2,57","2,56","-","2,48","-","-","2,52","-","-","2,58","2,58","2,63","2,62","2,60","-","2,55","-","-","-","2,57","-","-","2,75","2,56",
"FSO_T14_SKPAuto_PriveZakelijk","0,48","-","-","0,51","0,54","-","0,58","0,51","-","0,54","-","-","0,55","-","-","0,46","2,54","0,67","0,54","0,55","-","0,57","-","-","-","0,59","-","-","0,53","0,62",
"FSO_T15_SKPAuto_KentekenOpNaam","0,41","-","-","1,63","0,46","-","0,48","0,48","-","0,50","-","-","0,43","-","-","0,48","0,46","0,56","0,49","0,42","-","0,42","-","-","-","0,50","-","-","0,49","0,38",
"FSO_T16_SKPAuto_Persoonsgegevens","0,56","-","-","1,77","0,94","-","0,55","0,88","-","0,54","-","-","0,57","-","-","0,76","0,60","0,63","0,62","0,58","-","0,79","-","-","-","0,59","-","-","0,62","0,58",
"FSO_T17_SKPAuto_Adres","2,70","-","-","2,91","2,17","-","1,63","-","-","2,31","-","-","2,94","-","-","2,16","1,96","2,55","2,55","2,55","-","2,52","-","-","-","2,67","-","-","2,11","2,07",
"FSO_T18_SKPAuto_TelefoonEmail","1,14","1,33","-","3,40","-","1,77","-","-","-","1,34","3,69","-","1,34","1,57","1,45","1,44","1,24","-","1,28","1,43","1,34","1,32","1,27","1,14","-","-","-","1,14","1,82","1,37",
"FSO_T19_SKPAuto_AanvullendeVragen","8,21","8,64","-","10,05","-","8,50","-","-","-","8,42","8,65","-","8,60","9,21","8,14","7,91","7,54","-","8,57","8,21","8,44","8,63","8,46","8,01","-","-","-","7,90","8,22","7,80",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","0,39","0,40","-","-","2,31","0,44","-","-","-","0,39","1,32","-","-","0,52","0,54","0,48","0,42","-","0,41","0,41","0,59","0,55","0,40","0,43","-","-","-","0,40","0,48","0,38",
"FSO_T21_SKPAuto_StrafbaarFeit","0,50","0,48","-","-","2,82","0,52","-","-","-","0,38","1,69","-","-","0,50","0,56","0,45","0,42","-","0,40","0,57","0,56","0,45","0,46","0,44","-","-","-","0,39","0,96","0,38",
"FSO_T22_SKPAuto_EerderSchade","0,45","0,52","-","-","2,29","0,43","-","-","-","0,40","1,36","-","-","0,48","0,48","0,46","0,39","-","0,43","0,49","0,55","0,49","0,39","0,41","-","-","-","0,41","0,46","0,41",
"FSO_T23_SKPAuto_MaandJaar","0,37","0,42","-","-","2,55","0,43","-","-","-","0,42","1,39","-","-","0,52","0,46","0,54","0,41","-","0,40","0,48","0,45","0,54","0,42","0,45","-","-","-","0,39","0,43","0,42",
"FSO_T24_SKPAuto_Rekeningnummer","1,66","1,67","-","-","2,35","1,29","-","-","-","1,12","1,66","-","-","1,13","1,55","1,32","0,92","1,43","-","1,37","1,32","1,46","1,42","1,41","2,45","-","-","1,68","0,93","1,45",
"FSO_T25_SKPAuto_Samenvatting2","2,76","3,06","2,96","-","5,39","3,74","3,54","-","3,68","3,29","2,79","3,32","-","3,78","3,06","3,83","-","3,75","-","3,73","3,00","3,54","3,58","3,72","5,39","3,70","3,30","2,61","-","3,73",
"FSO_T26_SKPAuto_EindeScript","0,56","0,53","0,59","-","2,24","0,63","0,46","-","0,60","0,47","0,49","0,48","-","0,39","0,41","1,22","-","0,57","-","0,54","0,46","0,46","0,50","0,51","2,32","0,46","0,54","0,44","-","0,75",
 

