Metrics Over Time
Metrics Over Time
,,,22-3 0:00,,,22-3 0:05,,,22-3 0:10,,,22-3 0:15,,,22-3 0:20,,,22-3 0:25,,,22-3 0:30,,,22-3 0:35,,,22-3 0:40,,,22-3 0:45,,,22-3 0:50,,,22-3 0:55,,,22-3 1:00,,,22-3 1:05,,,22-3 1:10,,,22-3 1:15,,,22-3 1:20,,,22-3 1:25,,,22-3 1:30,,,22-3 1:35,,,22-3 1:40,,,22-3 1:45,,,22-3 1:50,,,22-3 1:55,,,22-3 2:00,,,22-3 2:05,,,22-3 2:10,,,22-3 2:15,,,22-3 2:20,,,22-3 2:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","5,54","1,85","2,07","1,85","1,80","2,11","2,13","1,59","2,16","2,41","1,95","2,16","1,97","-","2,90","2,34","2,61","1,85","2,32","2,67","2,10","1,98","2,01","1,87","2,05","1,69","2,06","1,72","2,25","2,23",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,39","0,32","0,39","0,27","1,99","0,33","0,42","0,27","0,30","0,32","0,32","0,29","0,31","-","0,32","1,40","0,29","0,32","0,29","0,31","0,33","0,26","0,31","0,29","0,32","0,68","0,23","0,31","0,30","0,28",
"FSO_T02_SKPAuto_Kenteken","0,38","0,29","0,27","0,32","1,86","0,31","0,50","0,31","0,28","0,28","0,33","0,29","0,31","-","0,31","1,20","0,36","0,36","0,31","0,31","0,27","0,30","0,29","0,36","0,31","0,42","0,27","0,31","0,32","0,32",
"FSO_T03_SKPAuto_AutoCheck","2,62","1,92","1,70","1,52","3,44","1,45","1,30","1,92","1,53","1,78","1,18","1,79","1,75","-","2,18","3,55","1,74","1,56","1,65","2,03","1,79","1,44","1,92","2,01","5,15","2,46","1,54","1,66","1,77","1,65",
"FSO_T04_SKPAuto_Postcode","0,34","0,68","0,28","0,34","3,36","0,31","0,31","0,36","0,34","0,32","0,52","0,31","0,33","-","0,33","1,24","0,57","0,33","0,35","0,61","0,36","0,30","0,80","0,32","0,30","0,44","0,33","0,35","0,42","0,38",
"FSO_T05_SKPAuto_Bestuurder","1,37","1,39","1,48","1,38","3,14","1,16","1,13","1,26","1,17","1,49","1,63","1,06","1,20","-","1,35","2,69","1,69","1,21","1,33","1,04","1,41","1,67","1,39","1,29","1,09","1,15","1,37","1,36","0,98","1,20",
"FSO_T06_SKPAuto_GeboorteDatum","0,90","0,92","0,81","0,79","2,68","0,82","0,84","0,89","0,83","0,82","0,91","0,84","-","0,90","0,90","0,92","1,62","0,81","0,91","0,90","0,87","0,85","0,86","0,91","6,42","3,84","0,86","0,84","0,90","0,88",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,11","2,08","3,10","-","2,54","2,63","1,99","2,29","2,07","2,08","2,08","4,18","2,23","2,07","2,07","1,84","3,02","2,18","2,00","2,38","2,65","2,08","1,92","3,92","11,61","2,57","2,67","1,94","2,33","2,36",
"FSO_T08_SKPAuto_Kilometers","0,68","0,76","0,74","-","1,62","0,51","0,50","0,76","0,69","0,51","0,56","0,62","0,68","0,57","0,79","0,74","1,64","0,58","0,62","0,67","0,62","0,45","0,74","0,61","0,47","0,69","0,48","0,49","0,61","0,50",
"FSO_T09_SKPAuto_Basisdekking","2,88","3,78","2,85","-","3,72","2,85","2,96","2,97","2,95","2,85","2,91","2,92","2,93","2,93","3,02","2,84","2,98","1,75","2,87","2,96","2,89","2,88","2,95","2,92","14,02","6,38","3,07","2,99","2,94","3,97",
"FSO_T10_SKPAuto_Uitbreiding","0,64","0,73","0,66","-","0,71","0,71","0,88","0,66","0,74","0,70","0,71","0,73","0,82","0,73","0,68","0,73","0,76","0,73","0,68","0,67","0,64","0,64","0,63","0,64","0,71","0,74","0,71","0,61","0,67","0,73",
"FSO_T11_SKPAuto_Ingangsdatum","0,53","0,52","0,50","-","1,43","0,47","0,47","0,55","0,51","0,52","0,45","0,53","0,52","0,48","0,54","0,55","1,49","0,47","0,46","0,51","0,49","0,47","0,53","0,51","0,52","0,51","0,50","0,47","0,56","0,46",
"FSO_T12_SKPAuto_Ongevallen","1,23","0,85","1,26","1,55","1,26","1,29","1,29","1,28","1,00","1,21","1,32","1,38","1,58","1,24","1,25","1,42","1,78","1,30","1,20","1,35","1,26","1,25","1,24","1,25","7,19","1,38","1,34","1,28","1,34","1,30",
"FSO_T13_SKPAuto_Samenvatting1","0,62","0,71","2,52","2,55","2,88","2,47","2,60","2,60","2,65","1,57","1,67","0,72","2,55","2,55","0,72","1,56","2,84","2,58","0,57","1,85","0,53","2,53","1,79","0,71","1,62","1,58","0,71","2,51","1,87","2,50",
"FSO_T14_SKPAuto_PriveZakelijk","0,50","0,53","0,52","0,57","0,64","0,49","0,46","0,52","0,55","0,53","0,58","0,50","0,56","0,56","0,52","0,52","0,65","0,57","0,46","0,67","0,54","0,45","0,59","0,59","0,56","0,58","0,47","0,54","0,57","0,48",
"FSO_T15_SKPAuto_KentekenOpNaam","1,41","0,49","0,49","0,39","1,42","0,41","0,42","0,44","0,45","0,42","0,46","0,55","0,45","0,43","0,49","0,46","1,44","0,50","0,40","0,46","0,47","0,40","0,40","0,49","0,40","0,49","0,44","0,45","0,45","0,43",
"FSO_T16_SKPAuto_Persoonsgegevens","0,61","0,65","0,77","0,56","1,79","0,60","0,62","0,62","0,68","0,60","0,83","0,61","0,84","0,62","0,66","0,73","1,69","0,85","0,73","0,76","0,59","0,63","0,64","0,58","19,98","2,17","1,55","0,70","0,67","0,72",
