Metrics Over Time
Metrics Over Time
,,,13-3 11:00,,,13-3 11:05,,,13-3 11:10,,,13-3 11:15,,,13-3 11:20,,,13-3 11:25,,,13-3 11:30,,,13-3 11:35,,,13-3 11:40,,,13-3 11:45,,,13-3 11:50,,,13-3 11:55,,,13-3 12:00,,,13-3 12:05,,,13-3 12:10,,,13-3 12:15,,,13-3 12:20,,,13-3 12:25,,,13-3 12:30,,,13-3 12:35,,,13-3 12:40,,,13-3 12:45,,,13-3 12:50,,,13-3 12:55,,,13-3 13:00,,,13-3 13:05,,,13-3 13:10,,,13-3 13:15,,,13-3 13:20,,,13-3 13:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","3,80","2,82","3,86","3,28","6,14","2,10","3,94","3,32","2,48","3,29","2,30","2,61","4,01","2,61","2,07","2,69","2,19","2,64","4,28","2,40","2,01","3,79","2,88","2,26","4,30","2,95","3,17","4,30","1,92","2,77",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,57","0,30","0,33","9,84","0,70","0,50","0,42","0,70","0,54","0,69","0,33","1,14","0,66","0,49","1,06","0,33","0,56","0,57","0,43","0,45","0,66","0,53","0,65","0,30","0,63","0,64","1,34","0,37","0,38","0,59",
"FSO_T02_SKPAuto_Kenteken","0,30","0,21","0,31","0,43","0,39","0,31","0,38","0,31","0,71","0,33","0,40","0,31","0,40","0,34","1,14","0,37","0,43","0,39","0,39","0,39","0,33","0,57","0,37","0,42","0,49","0,37","0,38","0,40","0,40","0,33",
"FSO_T03_SKPAuto_AutoCheck","2,57","2,15","1,68","1,70","1,58","1,57","1,61","2,96","2,15","1,81","1,85","2,21","1,48","4,02","2,52","1,54","1,79","1,68","1,72","3,01","1,63","2,12","1,95","1,53","1,65","1,86","2,46","3,40","2,00","1,55",
"FSO_T04_SKPAuto_Postcode","0,34","0,43","0,28","0,30","0,48","0,35","0,40","0,72","0,33","0,33","0,82","0,35","0,61","0,47","1,22","0,37","0,63","0,38","0,43","0,78","0,36","0,61","0,61","0,45","0,40","0,79","0,38","0,46","0,54","0,35",
"FSO_T05_SKPAuto_Bestuurder","1,40","1,58","1,46","1,13","1,30","1,43","1,23","1,41","1,55","1,35","1,56","1,44","1,42","1,15","2,15","1,43","1,63","1,45","1,31","1,59","1,32","1,52","1,61","1,43","1,38","1,33","1,44","1,30","1,31","1,62",
"FSO_T06_SKPAuto_GeboorteDatum","1,20","0,83","0,93","0,96","0,98","0,98","0,94","1,05","0,94","0,85","1,11","1,02","1,08","0,93","1,56","0,99","0,95","0,93","0,85","0,86","1,49","2,61","0,91","1,06","1,92","0,99","0,95","0,93","0,98","1,51",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,22","2,33","2,39","2,12","2,34","1,97","1,78","2,51","2,32","2,29","2,24","2,56","2,07","1,94","2,84","1,94","1,98","1,69","1,92","2,65","2,28","2,35","2,27","2,10","2,27","4,01","2,28","1,84","2,14","4,19",
"FSO_T08_SKPAuto_Kilometers","0,39","0,82","0,58","0,62","0,71","0,75","0,63","2,82","0,77","0,77","0,64","0,61","0,83","0,73","1,53","0,58","0,76","0,89","0,76","0,88","0,55","0,33","0,82","0,67","0,66","0,70","0,57","0,65","0,78","0,96",
"FSO_T09_SKPAuto_Basisdekking","3,12","3,01","2,92","3,05","4,56","1,71","5,02","3,11","2,94","3,02","5,04","2,94","3,18","2,84","3,66","3,68","3,07","3,05","2,94","2,93","4,16","2,94","3,13","2,91","4,53","2,97","2,84","3,03","2,94","2,96",
