Metrics Over Time
Metrics Over Time
,,,17-3 0:00,,,17-3 0:05,,,17-3 0:10,,,17-3 0:15,,,17-3 0:20,,,17-3 0:25,,,17-3 0:30,,,17-3 0:35,,,17-3 0:40,,,17-3 0:45,,,17-3 0:50,,,17-3 0:55,,,17-3 1:00,,,17-3 1:05,,,17-3 1:10,,,17-3 1:15,,,17-3 1:20,,,17-3 1:25,,,17-3 1:30,,,17-3 1:35,,,17-3 1:40,,,17-3 1:45,,,17-3 1:50,,,17-3 1:55,,,17-3 2:00,,,17-3 2:05,,,17-3 2:10,,,17-3 2:15,,,17-3 2:20,,,17-3 2:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","1,95","-","-","-","1,84","2,58","1,71","1,88","1,57","2,26","-","2,19","3,32","-","2,32","2,14","-","-","1,79","2,74","-","-","1,88","-","2,50","-","1,89","1,66","1,67","1,87",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,31","-","-","-","0,37","0,52","0,26","0,31","0,28","0,30","-","0,29","0,30","-","0,31","0,26","-","-","0,32","0,30","-","-","0,20","-","0,33","-","0,38","0,31","0,38","0,32",
"FSO_T02_SKPAuto_Kenteken","0,29","-","-","-","0,29","0,28","0,33","0,25","0,30","0,28","-","0,25","0,31","-","0,33","0,27","-","-","0,34","0,34","-","-","0,30","-","0,32","-","0,30","0,35","0,33","0,27",
"FSO_T03_SKPAuto_AutoCheck","2,01","-","-","-","1,66","2,46","2,00","1,81","1,97","1,23","-","1,39","1,69","-","1,55","1,60","-","-","1,66","1,89","-","-","1,53","-","5,52","-","1,91","1,49","1,79","1,59",
"FSO_T04_SKPAuto_Postcode","0,33","-","-","-","0,46","0,30","0,31","0,71","0,33","0,34","-","0,37","0,31","-","0,34","0,28","-","-","0,30","0,62","-","-","0,65","-","0,43","-","0,33","0,36","0,74","0,34",
"FSO_T05_SKPAuto_Bestuurder","1,28","-","-","-","1,18","1,29","1,22","1,61","1,42","1,16","-","1,20","1,18","-","0,94","1,35","-","-","1,29","1,74","-","-","1,38","-","1,20","-","1,17","1,39","1,29","1,06",
"FSO_T06_SKPAuto_GeboorteDatum","1,02","0,86","-","-","0,88","-","0,94","0,79","0,78","-","0,87","0,85","0,93","1,08","0,94","-","0,87","-","0,88","0,92","-","-","0,95","0,87","-","-","1,02","0,90","0,91","0,82",
"FSO_T07_SKPAuto_SchadeVrijeJaren","-","2,02","1,99","-","1,88","-","2,08","2,14","2,46","-","2,44","2,25","2,54","2,60","2,15","2,67","-","1,99","-","2,45","-","-","2,25","3,43","-","-","-","2,21","2,07","1,96",
"FSO_T08_SKPAuto_Kilometers","-","0,46","0,67","-","0,66","-","0,71","0,75","0,60","-","0,79","0,58","0,61","0,57","0,53","0,72","-","0,65","-","0,60","-","-","0,62","0,72","-","-","-","0,64","0,62","0,65",
"FSO_T09_SKPAuto_Basisdekking","-","2,92","2,94","-","2,85","-","3,08","2,91","2,85","-","2,85","2,95","3,23","2,89","2,90","2,89","-","2,83","-","2,87","-","-","2,95","2,86","-","-","-","2,93","3,05","0,60",
"FSO_T10_SKPAuto_Uitbreiding","-","0,66","0,67","-","0,72","-","0,69","0,68","0,64","-","0,76","0,63","0,65","0,74","0,67","0,66","-","0,61","-","0,63","-","-","0,65","0,69","-","-","-","0,64","0,80","0,70",
"FSO_T11_SKPAuto_Ingangsdatum","-","0,54","0,47","-","0,49","-","0,73","0,53","0,49","-","0,41","0,46","0,54","0,56","0,51","0,47","-","0,50","-","0,50","-","-","0,48","0,49","-","-","-","0,52","0,64","0,46",
"FSO_T12_SKPAuto_Ongevallen","1,23","1,24","1,36","-","2,27","-","1,71","1,23","-","-","1,48","1,29","-","-","1,44","1,46","-","1,23","-","-","-","-","1,37","-","-","-","-","1,26","1,26","1,31",
"FSO_T13_SKPAuto_Samenvatting1","-","2,59","-","-","0,78","-","-","-","-","-","0,76","-","2,64","0,75","2,56","-","-","-","3,42","-","2,53","2,76","1,66","-","-","-","-","2,54","2,58","-",
"FSO_T14_SKPAuto_PriveZakelijk","-","0,63","-","-","0,53","-","-","-","-","-","0,50","-","0,49","0,74","0,46","-","-","-","0,55","-","0,52","0,64","0,57","-","-","-","-","0,56","0,58","-",
"FSO_T15_SKPAuto_KentekenOpNaam","-","0,43","-","-","0,55","-","-","-","-","-","0,41","-","0,46","0,50","0,44","-","-","-","2,44","-","0,46","2,28","0,49","-","-","-","-","0,44","0,27","-",
"FSO_T16_SKPAuto_Persoonsgegevens","-","0,59","-","-","0,68","-","-","-","-","-","0,74","-","0,86","1,59","0,52","-","-","-","2,88","-","0,78","3,00","0,60","-","-","-","-","0,84","0,77","-",
"FSO_T17_SKPAuto_Adres","-","2,11","-","-","2,46","-","-","-","-","-","2,30","-","2,50","2,18","2,47","-","-","-","4,04","-","2,59","4,25","2,17","-","-","-","-","2,44","2,42","-",
"FSO_T18_SKPAuto_TelefoonEmail","-","-","1,70","1,57","1,68","1,45","-","-","1,01","1,37","-","1,54","-","-","-","1,43","-","-","-","-","1,21","2,19","-","1,26","-","-","1,40","1,45","-","1,17",
"FSO_T19_SKPAuto_AanvullendeVragen","-","-","8,42","6,75","7,92","8,13","-","-","8,19","8,45","-","8,70","-","-","-","7,96","-","-","-","-","8,85","8,10","-","8,72","-","-","9,46","8,56","-","7,78",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","-","-","0,45","0,41","0,57","0,35","-","-","0,38","0,38","-","0,36","-","-","-","-","0,35","-","-","-","0,45","1,34","-","0,42","-","-","0,53","0,43","-","0,38",
"FSO_T21_SKPAuto_StrafbaarFeit","-","-","0,70","0,52","0,56","0,34","-","-","0,40","0,40","-","0,36","-","-","-","-","0,42","-","-","-","0,41","2,44","0,43","0,47","-","-","0,59","0,43","-","0,39",
"FSO_T22_SKPAuto_EerderSchade","-","-","0,45","0,50","0,43","0,39","-","-","0,50","0,82","-","0,36","-","-","-","-","0,44","-","-","-","0,45","3,11","0,51","0,39","0,52","-","0,45","0,44","-","0,43",
"FSO_T23_SKPAuto_MaandJaar","-","-","0,44","0,42","0,43","0,47","-","-","0,39","0,43","-","0,47","-","-","-","-","0,36","-","-","-","0,35","2,28","0,36","0,43","0,77","-","0,49","0,38","-","0,38",
"FSO_T24_SKPAuto_Rekeningnummer","-","-","0,98","2,02","1,52","1,46","-","1,36","1,28","1,47","-","1,58","-","-","-","-","1,30","-","-","-","1,30","2,77","1,48","1,46","8,84","-","1,52","1,44","-","1,35",
"FSO_T25_SKPAuto_Samenvatting2","3,30","3,11","3,60","-","-","3,22","-","3,45","3,12","3,33","-","2,82","-","-","-","-","3,22","3,10","5,79","-","3,16","6,00","3,18","3,98","4,08","-","2,70","3,65","-","3,51",
"FSO_T26_SKPAuto_EindeScript","0,54","0,53","0,52","-","-","0,42","-","0,52","0,57","0,54","-","0,45","-","-","-","-","0,42","0,46","2,53","-","0,50","2,40","0,43","0,55","0,53","-","0,63","0,47","-","0,61",
 

