Metrics Over Time
Metrics Over Time
,,,20-3 10:30,,,20-3 10:35,,,20-3 10:40,,,20-3 10:45,,,20-3 10:50,,,20-3 10:55,,,20-3 11:00,,,20-3 11:05,,,20-3 11:10,,,20-3 11:15,,,20-3 11:20,,,20-3 11:25,,,20-3 11:30,,,20-3 11:35,,,20-3 11:40,,,20-3 11:45,,,20-3 11:50,,,20-3 11:55,,,20-3 12:00,,,20-3 12:05,,,20-3 12:10,,,20-3 12:15,,,20-3 12:20,,,20-3 12:25,,,20-3 12:30,,,20-3 12:35,,,20-3 12:40,,,20-3 12:45,,,20-3 12:50,,,20-3 12:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T16_SKPAuto_Persoonsgegevens","1,75","0,75","-","0,92","0,63","0,52","0,90","0,79","0,68","0,84","0,63","1,05","0,96","1,03","2,93","0,71","0,65","0,94","1,27","2,48","0,64","1,44","0,92","0,60","2,57","1,20","1,13","0,89","4,42","1,16",
"FSO_T17_SKPAuto_Adres","2,13","2,23","3,47","2,12","2,60","2,21","1,96","2,06","3,14","2,14","2,14","2,38","2,70","2,66","3,42","2,87","2,36","2,56","3,01","2,94","4,44","2,83","2,47","2,34","7,20","1,92","2,65","2,68","2,56","4,04",
"FSO_T18_SKPAuto_TelefoonEmail","1,47","2,67","1,88","1,66","1,37","1,50","1,64","1,89","1,84","2,04","1,55","1,87","2,08","1,37","2,62","1,49","1,37","1,53","3,83","1,92","2,79","1,84","2,14","1,82","2,51","1,67","2,05","1,53","1,75","3,30",
"FSO_T19_SKPAuto_AanvullendeVragen","8,29","8,03","8,83","8,37","8,42","7,62","9,40","8,03","9,17","9,15","8,07","8,38","8,04","7,90","8,51","9,56","8,81","8,99","8,29","8,61","8,10","8,46","7,81","8,14","8,94","7,59","8,15","8,77","8,17","10,21",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","0,45","0,59","0,67","0,56","0,59","0,50","0,67","0,83","0,79","0,64","0,76","0,64","0,69","0,71","1,55","0,52","0,63","0,64","0,78","1,35","2,62","0,79","0,72","1,02","2,47","0,95","0,80","0,72","0,83","1,58",
"FSO_T21_SKPAuto_StrafbaarFeit","0,55","0,52","0,65","0,46","0,56","0,56","0,70","0,78","0,84","0,50","0,81","0,55","0,83","0,61","1,61","0,57","0,61","0,70","0,75","0,71","1,72","0,75","0,73","0,80","2,54","0,77","0,76","1,34","0,75","1,72",
"FSO_T22_SKPAuto_EerderSchade","0,56","0,62","0,58","0,48","0,56","0,58","0,76","0,75","0,76","0,45","0,75","0,64","0,77","0,75","1,60","0,63","0,56","0,67","0,89","0,75","2,30","0,74","0,70","0,80","3,67","0,97","0,81","0,81","0,74","1,71",
"FSO_T23_SKPAuto_MaandJaar","0,49","0,51","0,69","0,57","0,52","0,59","0,65","0,73","0,88","0,58","0,72","0,65","0,85","0,64","1,92","0,66","0,64","0,70","0,79","0,80","1,73","0,67","0,67","1,02","3,07","0,86","0,79","1,08","0,77","1,98",
"FSO_T24_SKPAuto_Rekeningnummer","2,57","1,17","4,95","1,33","1,37","1,48","1,03","1,93","1,26","1,35","1,62","0,99","1,01","1,17","2,27","1,43","1,09","0,99","0,85","1,12","2,12","1,73","1,20","0,85","2,53","1,43","1,23","1,18","0,89","1,87",
"FSO_T25_SKPAuto_Samenvatting2","3,28","3,31","3,73","3,10","3,56","2,91","3,26","3,45","3,35","3,23","3,12","3,81","3,85","3,50","5,22","3,64","3,16","3,34","3,15","3,10","4,46","3,35","3,22","3,93","5,27","3,35","3,75","3,16","3,20","4,97",
"FSO_T26_SKPAuto_EindeScript","0,57","0,66","0,65","0,53","0,57","0,65","0,66","0,84","0,86","0,58","0,73","0,75","0,84","0,64","1,75","0,69","0,68","0,72","0,75","0,78","1,43","0,75","0,85","0,82","2,38","0,78","0,79","0,76","0,78","1,93",
 

