Metrics Over Time
Metrics Over Time
,,,16-3 21:30,,,16-3 21:35,,,16-3 21:40,,,16-3 21:45,,,16-3 21:50,,,16-3 21:55,,,16-3 22:00,,,16-3 22:05,,,16-3 22:10,,,16-3 22:15,,,16-3 22:20,,,16-3 22:25,,,16-3 22:30,,,16-3 22:35,,,16-3 22:40,,,16-3 22:45,,,16-3 22:50,,,16-3 22:55,,,16-3 23:00,,,16-3 23:05,,,16-3 23:10,,,16-3 23:15,,,16-3 23:20,,,16-3 23:25,,,16-3 23:30,,,16-3 23:35,,,16-3 23:40,,,16-3 23:45,,,16-3 23:50,,,16-3 23:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","2,68","2,29","2,55","2,21","-","2,28","-","-","2,96","1,88","-","1,86","2,06","2,22","2,18","-","2,05","1,72","-","1,74","1,94","2,16","-","1,80","2,01","-","-","1,97","1,93","2,41",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,32","0,44","0,44","0,49","-","0,47","-","-","0,37","0,29","-","0,28","0,34","0,35","0,45","-","0,25","0,34","-","0,33","0,34","0,38","-","0,30","0,28","-","-","0,31","0,30","0,30",
"FSO_T02_SKPAuto_Kenteken","0,40","0,38","0,41","0,45","-","0,23","-","-","0,44","0,34","-","0,28","0,37","0,34","0,34","-","0,32","0,29","-","0,28","0,27","0,21","-","0,34","0,38","-","-","0,33","0,33","0,31",
"FSO_T03_SKPAuto_AutoCheck","1,56","1,97","1,73","1,41","-","1,60","-","-","2,94","1,46","-","1,71","2,45","3,42","2,03","-","1,92","3,47","-","1,76","1,82","1,85","-","1,47","1,74","-","-","3,05","5,33","1,45",
"FSO_T04_SKPAuto_Postcode","0,40","0,57","0,40","0,39","-","0,39","-","-","0,38","0,30","-","0,34","0,31","0,39","0,36","-","0,93","0,28","-","0,69","0,29","0,32","-","0,37","0,39","-","-","0,29","0,58","0,31",
"FSO_T05_SKPAuto_Bestuurder","2,85","1,48","1,56","1,65","-","1,29","-","-","1,51","1,66","-","1,21","1,56","1,49","1,42","-","1,73","1,42","-","1,44","1,22","1,45","-","1,27","1,67","-","-","1,05","1,37","1,46",
"FSO_T06_SKPAuto_GeboorteDatum","-","0,81","-","-","0,81","1,08","-","-","0,80","1,21","0,95","0,88","0,86","0,87","-","-","0,81","1,29","-","-","1,83","-","0,85","0,86","-","-","-","-","0,87","0,78",
"FSO_T07_SKPAuto_SchadeVrijeJaren","-","2,22","-","-","2,44","2,29","-","-","2,86","1,94","-","-","1,78","2,68","2,44","-","2,02","2,68","3,14","-","2,24","-","2,08","3,16","2,08","-","2,21","-","1,95","2,23",
"FSO_T08_SKPAuto_Kilometers","-","0,61","-","-","0,45","0,66","-","-","0,71","0,67","-","-","0,56","0,77","0,54","-","0,52","0,67","0,54","-","0,49","-","0,55","0,38","0,72","-","0,64","-","0,62","0,96",
"FSO_T09_SKPAuto_Basisdekking","-","3,02","-","-","3,17","2,93","-","-","4,00","2,87","-","-","0,60","3,16","2,87","-","3,05","2,88","2,93","-","2,86","-","5,02","2,95","4,93","-","2,86","-","2,88","2,87",
"FSO_T10_SKPAuto_Uitbreiding","-","0,80","-","-","0,91","0,67","-","-","0,85","0,71","-","-","0,67","0,68","0,67","-","0,65","0,69","0,66","-","0,68","-","0,81","0,60","0,76","-","0,64","-","0,67","0,69",
"FSO_T11_SKPAuto_Ingangsdatum","-","0,62","-","-","0,59","0,59","-","-","0,74","0,64","-","-","0,46","0,59","0,49","-","0,52","0,46","0,67","-","0,50","-","0,53","0,42","0,53","-","0,45","-","0,56","0,47",
"FSO_T12_SKPAuto_Ongevallen","1,62","-","-","-","1,33","2,21","2,13","1,47","1,38","1,77","6,37","-","2,53","1,36","1,74","-","2,34","-","1,43","-","-","-","1,32","0,95","1,24","2,23","1,48","-","1,25","-",
"FSO_T13_SKPAuto_Samenvatting1","2,61","3,17","-","2,53","0,71","2,54","1,53","2,74","0,64","2,53","1,56","-","1,01","2,79","2,50","1,60","2,53","0,45","-","2,60","-","2,55","0,50","-","-","0,56","-","2,54","0,70","-",
"FSO_T14_SKPAuto_PriveZakelijk","0,65","0,61","-","0,54","0,65","0,48","0,64","7,13","0,69","0,58","0,49","-","0,47","0,49","0,46","0,57","0,58","0,47","-","0,63","-","0,46","0,56","-","-","0,51","-","0,51","0,64","-",
"FSO_T15_SKPAuto_KentekenOpNaam","0,53","0,49","-","0,47","0,57","0,53","0,52","5,27","0,47","0,52","0,50","-","0,45","0,49","0,42","0,50","0,36","0,46","-","0,48","-","0,40","0,40","-","-","0,48","-","0,43","0,57","-",
"FSO_T16_SKPAuto_Persoonsgegevens","0,90","0,60","-","0,63","0,70","0,70","1,23","1,10","0,83","0,77","0,72","-","1,08","0,52","0,71","0,54","0,60","0,57","-","0,80","-","1,17","0,91","-","-","0,87","-","0,59","0,82","-",
"FSO_T17_SKPAuto_Adres","2,67","2,50","-","2,42","2,64","2,78","2,56","12,66","-","2,77","1,89","2,81","2,77","-","2,39","2,30","2,10","2,33","-","2,08","-","2,24","-","3,01","-","2,50","-","2,36","2,23","2,12",
"FSO_T18_SKPAuto_TelefoonEmail","1,35","-","1,48","1,50","1,59","1,46","1,61","6,68","-","1,46","-","1,48","1,44","-","1,73","1,36","1,35","-","-","-","-","1,49","-","1,23","2,18","-","-","1,34","-","1,44",
"FSO_T19_SKPAuto_AanvullendeVragen","8,70","-","8,40","8,13","8,35","7,91","8,85","12,90","-","8,28","-","8,23","7,68","-","7,57","8,11","9,15","-","-","-","-","8,46","-","7,85","8,09","-","-","7,84","-","7,75",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","0,53","0,70","0,60","0,50","0,61","0,53","0,47","0,47","-","-","0,54","0,68","0,44","-","0,41","0,39","0,45","-","-","-","-","0,46","0,46","0,41","0,44","-","-","0,56","0,37","0,45",
"FSO_T21_SKPAuto_StrafbaarFeit","0,61","0,50","0,59","0,48","0,52","0,52","0,52","0,70","-","-","0,44","0,55","0,41","-","0,44","-","0,46","-","-","-","-","0,46","0,69","0,39","0,39","-","-","0,38","0,45","0,50",
"FSO_T22_SKPAuto_EerderSchade","0,50","0,54","0,50","0,51","0,54","0,57","0,52","0,50","-","-","0,44","0,71","0,41","-","0,37","-","0,46","-","-","-","-","0,56","0,40","0,45","0,42","-","-","0,42","0,44","0,46",
"FSO_T23_SKPAuto_MaandJaar","0,55","0,47","0,64","0,63","0,51","0,55","0,52","0,45","-","-","0,48","0,79","0,44","-","0,52","-","0,49","-","-","-","-","0,45","0,38","0,51","0,39","-","-","0,37","0,44","0,52",
"FSO_T24_SKPAuto_Rekeningnummer","-","1,43","1,56","1,42","1,35","1,35","1,08","1,68","-","1,77","1,35","-","1,39","-","1,59","-","1,45","-","-","-","-","0,90","1,57","1,73","1,32","-","-","1,41","1,90","1,85",
"FSO_T25_SKPAuto_Samenvatting2","-","3,37","3,11","-","3,34","3,25","4,15","3,00","-","3,00","3,14","-","-","-","3,27","-","3,34","3,15","-","-","3,53","-","3,64","3,46","-","-","-","3,05","3,41","2,96",
"FSO_T26_SKPAuto_EindeScript","-","0,59","0,60","-","0,55","0,64","1,29","0,71","-","0,45","0,53","-","-","-","0,47","-","0,48","0,50","-","-","0,47","-","0,48","0,45","-","-","-","0,42","0,49","0,45",
 

