Metrics Over Time
Metrics Over Time
,,,16-3 9:00,,,16-3 9:05,,,16-3 9:10,,,16-3 9:15,,,16-3 9:20,,,16-3 9:25,,,16-3 9:30,,,16-3 9:35,,,16-3 9:40,,,16-3 9:45,,,16-3 9:50,,,16-3 9:55,,,16-3 10:00,,,16-3 10:05,,,16-3 10:10,,,16-3 10:15,,,16-3 10:20,,,16-3 10:25,,,16-3 10:30,,,16-3 10:35,,,16-3 10:40,,,16-3 10:45,,,16-3 10:50,,,16-3 10:55,,,16-3 11:00,,,16-3 11:05,,,16-3 11:10,,,16-3 11:15,,,16-3 11:20,,,16-3 11:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","-","2,30","2,27","3,23","-","2,23","3,04","-","-","3,49","2,19","2,27","2,83","-","-","3,93","2,58","2,21","-","-","2,46","-","-","2,43","-","2,34","2,53","2,38","2,47","-",
"FSO_T01_SKPAuto_VerzekererdJaNee","-","0,34","0,52","0,33","-","0,40","0,34","-","-","0,38","0,33","0,43","0,46","-","-","1,86","0,32","0,24","-","-","1,16","-","-","0,38","-","0,48","0,38","2,76","0,47","-",
"FSO_T02_SKPAuto_Kenteken","-","0,37","0,38","0,35","-","0,37","0,39","-","-","0,42","0,45","0,36","0,40","-","-","1,87","0,42","0,45","-","-","1,14","-","-","0,42","-","0,42","0,38","2,26","0,37","-",
"FSO_T03_SKPAuto_AutoCheck","-","2,68","1,64","1,62","-","1,61","1,65","-","-","1,52","1,97","1,62","1,46","-","-","3,00","1,88","1,57","-","-","2,47","-","-","1,42","-","1,84","1,66","3,45","2,40","-",
"FSO_T04_SKPAuto_Postcode","-","0,83","0,33","0,39","-","0,40","0,32","-","-","0,45","0,60","0,40","0,34","-","-","2,19","0,54","0,31","-","-","1,28","-","-","0,42","-","0,58","0,40","2,11","0,55","-",
"FSO_T05_SKPAuto_Bestuurder","-","1,72","1,67","1,37","-","1,44","1,13","-","-","1,54","1,46","1,53","1,41","-","-","3,33","1,40","1,32","-","-","3,81","-","-","1,26","-","1,33","1,74","2,96","1,45","-",
"FSO_T06_SKPAuto_GeboorteDatum","-","1,14","1,39","0,82","0,90","0,89","0,82","-","0,94","-","1,00","0,87","0,88","-","-","-","0,82","0,97","-","0,80","-","4,60","-","0,79","-","0,85","0,80","2,04","0,90","0,86",
"FSO_T07_SKPAuto_SchadeVrijeJaren","-","3,15","2,44","2,27","2,52","2,39","2,27","-","4,53","-","2,22","2,03","-","-","2,11","-","6,21","-","-","2,17","-","1,96","-","2,16","-","2,23","5,65","3,41","2,12","6,19",
"FSO_T08_SKPAuto_Kilometers","-","0,75","0,79","0,75","0,51","0,51","0,60","-","1,61","-","0,79","0,87","-","-","0,92","-","0,63","-","-","0,51","-","0,67","-","0,95","-","0,71","0,84","2,59","0,79","0,70",
"FSO_T09_SKPAuto_Basisdekking","-","2,95","2,90","4,99","3,02","2,92","2,96","-","3,79","-","2,93","2,99","-","-","3,00","-","3,23","-","-","2,95","-","2,96","-","2,99","-","2,92","2,89","2,95","2,99","2,91",
