Metrics Over Time
Metrics Over Time
,,,17-3 7:30,,,17-3 7:35,,,17-3 7:40,,,17-3 7:45,,,17-3 7:50,,,17-3 7:55,,,17-3 8:00,,,17-3 8:05,,,17-3 8:10,,,17-3 8:15,,,17-3 8:20,,,17-3 8:25,,,17-3 8:30,,,17-3 8:35,,,17-3 8:40,,,17-3 8:45,,,17-3 8:50,,,17-3 8:55,,,17-3 9:00,,,17-3 9:05,,,17-3 9:10,,,17-3 9:15,,,17-3 9:20,,,17-3 9:25,,,17-3 9:30,,,17-3 9:35,,,17-3 9:40,,,17-3 9:45,,,17-3 9:50,,,17-3 9:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","-","-","-","1,84","2,38","2,09","2,03","1,88","2,33","-","2,40","2,45","-","2,76","3,35","2,45","2,11","1,82","2,36","1,99","2,27","2,14","-","1,93","2,30","-","5,11","2,36","-","2,10",
"FSO_T01_SKPAuto_VerzekererdJaNee","-","-","-","0,76","0,31","0,30","0,45","0,41","0,45","-","0,37","0,37","-","0,24","0,30","0,31","0,32","0,31","0,32","0,28","0,28","0,26","-","0,62","0,37","-","0,78","0,38","-","0,49",
"FSO_T02_SKPAuto_Kenteken","-","-","-","0,40","0,32","0,30","0,30","0,43","0,30","-","0,50","0,26","-","0,30","0,28","0,31","0,30","0,32","0,33","0,38","0,28","0,38","-","0,27","0,32","-","0,31","0,34","-","0,32",
"FSO_T03_SKPAuto_AutoCheck","-","-","-","1,86","1,37","1,46","1,32","1,79","1,68","-","1,71","1,46","-","5,03","1,53","1,58","1,34","1,37","1,63","1,72","1,77","1,68","-","1,71","1,60","-","1,26","1,64","-","2,67",
"FSO_T04_SKPAuto_Postcode","-","-","-","0,31","0,48","0,31","0,37","0,50","0,47","-","0,62","0,35","-","0,78","0,27","0,31","0,72","0,31","0,33","0,36","0,36","0,35","-","0,36","0,32","-","0,34","0,31","-","0,29",
"FSO_T05_SKPAuto_Bestuurder","-","-","-","1,37","1,39","1,39","1,27","1,21","1,05","-","1,48","1,78","-","1,46","1,31","1,24","1,54","1,43","1,57","1,61","1,01","1,34","-","1,28","1,35","-","1,46","1,49","-","1,27",
"FSO_T06_SKPAuto_GeboorteDatum","-","-","-","0,76","-","0,97","0,86","0,93","-","-","0,86","1,13","1,19","1,00","0,87","0,99","-","0,89","0,88","-","0,93","0,83","0,84","0,95","0,80","1,80","0,91","-","0,98","0,95",
"FSO_T07_SKPAuto_SchadeVrijeJaren","-","-","1,99","1,80","1,92","3,88","2,05","2,27","-","-","2,44","4,10","2,20","2,14","2,40","2,01","-","2,35","2,57","-","1,75","-","2,40","2,08","1,96","2,16","2,08","-","2,31","4,22",
"FSO_T08_SKPAuto_Kilometers","-","-","0,55","0,79","0,52","0,46","0,60","0,62","-","-","0,67","0,63","0,69","0,53","0,89","0,59","-","0,60","0,62","-","0,74","-","0,80","0,53","0,67","0,73","0,44","-","0,78","0,61",
"FSO_T09_SKPAuto_Basisdekking","-","-","2,92","2,84","2,80","2,97","2,91","2,90","-","-","2,83","2,90","3,03","3,16","2,88","2,93","-","1,85","3,20","-","2,86","-","2,93","2,92","3,01","3,04","2,90","-","2,83","2,92",
"FSO_T10_SKPAuto_Uitbreiding","-","-","0,63","0,63","0,70","0,65","0,68","0,72","-","-","0,70","0,75","0,67","0,73","0,66","0,77","-","0,84","0,83","-","0,70","-","0,71","0,69","0,67","0,72","0,69","-","0,71","0,82",
"FSO_T11_SKPAuto_Ingangsdatum","-","-","0,47","0,60","0,54","0,40","0,48","0,52","-","-","0,61","0,49","0,49","0,75","0,43","0,64","-","0,68","1,31","-","0,50","-","0,53","0,50","0,68","0,57","0,52","-","0,57","0,49",
"FSO_T12_SKPAuto_Ongevallen","-","2,44","1,24","2,19","1,24","1,28","1,29","1,28","-","-","1,45","-","1,28","1,33","1,19","1,37","-","1,25","-","-","1,29","-","1,45","2,18","2,39","2,21","-","1,43","1,52","1,28",
"FSO_T13_SKPAuto_Samenvatting1","4,42","0,85","-","2,58","0,95","2,53","1,46","1,59","3,19","-","0,90","2,55","2,70","2,76","2,49","-","0,70","-","-","0,84","-","2,61","2,58","0,68","2,70","2,56","-","1,55","0,87","1,08",
"FSO_T14_SKPAuto_PriveZakelijk","0,62","0,57","-","0,57","0,58","0,49","0,55","0,55","0,51","-","0,79","0,61","0,47","0,52","0,46","-","0,51","-","-","0,52","-","0,49","0,67","0,50","0,56","0,50","-","0,64","0,45","0,58",
"FSO_T15_SKPAuto_KentekenOpNaam","2,38","0,38","-","0,47","0,51","0,55","0,38","0,45","0,45","-","0,47","0,91","0,50","0,47","0,46","-","0,47","-","-","0,44","-","0,41","0,63","0,79","0,40","0,50","-","0,49","0,50","0,49",
"FSO_T16_SKPAuto_Persoonsgegevens","2,57","0,63","-","0,55","1,11","0,59","0,58","0,67","0,53","-","0,76","0,49","0,77","0,84","0,86","-","0,61","-","-","1,01","-","0,57","1,49","0,75","0,64","0,94","-","0,72","0,85","0,68",
