Metrics Over Time
Metrics Over Time
,,,12-3 10:00,,,12-3 10:05,,,12-3 10:10,,,12-3 10:15,,,12-3 10:20,,,12-3 10:25,,,12-3 10:30,,,12-3 10:35,,,12-3 10:40,,,12-3 10:45,,,12-3 10:50,,,12-3 10:55,,,12-3 11:00,,,12-3 11:05,,,12-3 11:10,,,12-3 11:15,,,12-3 11:20,,,12-3 11:25,,,12-3 11:30,,,12-3 11:35,,,12-3 11:40,,,12-3 11:45,,,12-3 11:50,,,12-3 11:55,,,12-3 12:00,,,12-3 12:05,,,12-3 12:10,,,12-3 12:15,,,12-3 12:20,,,12-3 12:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T16_SKPAuto_Persoonsgegevens","1,21","0,70","17,94","2,44","29,40","2,11","0,57","0,66","0,74","1,64","0,65","0,50","1,21","0,69","0,56","0,88","0,72","0,49","0,65","0,70","0,78","0,77","0,61","0,84","0,73","0,63","0,62","0,63","0,66","0,87",
"FSO_T17_SKPAuto_Adres","2,27","2,54","8,66","2,19","9,89","7,72","2,34","2,19","2,73","2,30","2,11","2,18","2,44","2,16","2,24","2,01","2,17","2,29","2,62","2,38","2,73","2,35","2,38","2,18","2,61","2,53","2,35","2,10","2,44","1,81",
"FSO_T18_SKPAuto_TelefoonEmail","1,32","1,37","2,60","1,32","8,93","7,86","1,40","1,42","1,37","1,54","1,28","1,27","2,94","1,15","1,43","1,40","1,39","1,45","1,46","1,21","2,06","3,01","1,53","1,43","1,50","1,56","1,86","1,65","1,43","1,52",
"FSO_T19_SKPAuto_AanvullendeVragen","8,84","8,07","10,69","8,35","15,64","11,64","8,79","8,51","8,31","7,53","8,87","8,14","8,29","8,34","8,29","8,86","8,05","7,88","10,52","7,72","8,27","7,34","9,42","8,34","8,09","8,24","8,30","8,57","8,03","8,28",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","0,48","0,45","1,29","0,40","12,35","3,71","0,73","0,49","0,44","0,53","0,51","0,50","0,39","3,00","0,85","0,41","0,47","0,43","0,56","0,45","0,54","0,52","0,48","0,51","0,42","0,56","0,69","0,48","0,47","0,49",
"FSO_T21_SKPAuto_StrafbaarFeit","0,49","0,45","1,86","0,37","11,17","3,52","0,46","0,44","0,46","0,45","0,40","0,41","0,44","0,49","0,48","0,48","0,48","0,48","0,45","0,50","0,46","0,50","0,40","0,44","0,44","0,52","0,46","0,44","0,61","0,49",
"FSO_T22_SKPAuto_EerderSchade","0,42","2,54","0,60","2,27","12,13","4,64","0,56","0,41","0,56","0,44","0,50","0,55","0,47","0,47","0,51","0,45","0,48","0,43","0,55","0,47","0,50","0,46","0,43","0,56","0,57","0,66","0,56","0,52","0,46","0,51",
"FSO_T23_SKPAuto_MaandJaar","0,44","0,39","0,70","1,52","14,29","3,16","0,39","0,43","0,45","0,40","0,42","0,44","0,46","0,45","0,62","0,47","0,40","0,48","0,51","0,52","0,61","0,59","0,40","0,51","0,42","0,54","0,65","0,37","0,46","0,50",
"FSO_T24_SKPAuto_Rekeningnummer","2,15","3,02","1,60","3,81","21,46","4,83","1,24","1,58","1,17","0,89","1,41","1,61","0,81","1,14","1,62","1,42","0,98","1,04","1,47","1,19","1,21","1,64","1,12","1,38","0,87","1,33","0,88","0,93","1,39","0,92",
"FSO_T25_SKPAuto_Samenvatting2","3,56","3,48","3,23","4,35","27,88","7,70","3,51","3,34","3,16","3,82","3,28","3,57","2,98","3,48","3,13","3,91","3,24","3,59","3,13","3,11","3,08","2,48","3,45","3,92","4,11","3,11","3,13","3,12","3,26","3,18",
"FSO_T26_SKPAuto_EindeScript","0,57","0,58","0,49","1,52","9,71","4,55","0,57","0,54","0,55","0,45","0,53","0,53","0,48","0,47","0,59","0,57","0,63","0,54","0,50","0,54","0,54","0,55","0,48","0,55","0,89","0,69","0,62","0,49","0,49","0,72",
 

