Metrics Over Time
Metrics Over Time
,,,15-3 8:00,,,15-3 8:05,,,15-3 8:10,,,15-3 8:15,,,15-3 8:20,,,15-3 8:25,,,15-3 8:30,,,15-3 8:35,,,15-3 8:40,,,15-3 8:45,,,15-3 8:50,,,15-3 8:55,,,15-3 9:00,,,15-3 9:05,,,15-3 9:10,,,15-3 9:15,,,15-3 9:20,,,15-3 9:25,,,15-3 9:30,,,15-3 9:35,,,15-3 9:40,,,15-3 9:45,,,15-3 9:50,,,15-3 9:55,,,15-3 10:00,,,15-3 10:05,,,15-3 10:10,,,15-3 10:15,,,15-3 10:20,,,15-3 10:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","-","2,65","3,33","-","-","2,57","3,60","2,25","2,53","-","2,84","2,29","-","-","2,18","2,56","2,46","-","-","2,96","-","2,26","-","2,60","-","-","2,28","-","-","2,44",
"FSO_T01_SKPAuto_VerzekererdJaNee","-","0,29","0,29","-","-","0,34","0,32","0,28","0,29","-","0,25","0,33","-","-","0,29","0,32","0,31","-","-","0,27","-","0,23","-","0,31","-","-","0,23","-","-","0,24",
"FSO_T02_SKPAuto_Kenteken","-","0,30","0,29","-","-","0,31","0,29","0,37","0,27","-","0,41","0,28","-","-","0,37","0,35","0,29","-","-","0,36","-","0,39","-","0,40","-","-","0,43","-","-","0,32",
"FSO_T03_SKPAuto_AutoCheck","-","1,88","1,57","-","-","1,55","1,61","1,74","1,58","-","1,54","1,40","-","-","1,59","1,72","1,86","-","-","2,16","-","1,91","-","1,95","-","-","1,31","-","-","1,58",
"FSO_T04_SKPAuto_Postcode","-","0,57","0,27","-","-","0,32","0,29","0,51","0,32","-","0,50","0,29","-","-","0,43","0,35","0,62","-","-","0,42","-","0,40","-","0,34","-","-","0,39","-","-","0,29",
"FSO_T05_SKPAuto_Bestuurder","-","1,92","1,19","-","-","1,29","1,19","1,26","1,23","-","1,72","1,65","-","-","1,51","1,16","1,37","-","-","1,20","-","1,14","-","1,58","-","-","1,78","-","-","1,40",
"FSO_T06_SKPAuto_GeboorteDatum","-","0,85","1,05","-","1,13","1,20","-","0,94","1,05","-","-","-","-","1,13","1,04","-","0,87","-","-","0,91","-","-","0,90","1,08","-","0,98","1,04","-","0,95","0,98",
"FSO_T07_SKPAuto_SchadeVrijeJaren","-","2,47","2,19","-","1,74","2,03","-","2,33","-","-","-","3,60","-","2,22","-","-","2,17","1,99","-","6,15","-","-","2,19","3,46","-","2,10","2,22","-","2,21","2,46",
"FSO_T08_SKPAuto_Kilometers","-","0,58","0,44","-","0,70","0,50","-","0,52","-","-","-","0,65","-","0,72","-","-","0,66","0,48","-","0,90","-","-","0,70","0,73","-","0,78","0,66","-","0,60","0,71",
"FSO_T09_SKPAuto_Basisdekking","-","3,13","2,93","-","2,94","3,03","-","2,94","-","-","-","3,00","-","3,04","-","-","2,92","2,98","-","2,90","-","-","3,06","2,84","-","3,12","3,03","-","3,03","2,95",
"FSO_T10_SKPAuto_Uitbreiding","-","0,94","0,74","-","0,76","0,69","-","0,71","-","-","-","0,90","-","0,78","-","-","0,87","0,70","-","0,79","-","-","0,69","0,68","-","0,78","0,70","-","0,74","0,77",
"FSO_T11_SKPAuto_Ingangsdatum","-","0,58","0,68","-","0,69","0,48","-","0,60","-","-","-","0,56","-","0,78","-","-","0,54","0,47","-","0,67","-","-","0,58","0,58","-","0,54","0,66","-","0,52","0,61",
"FSO_T12_SKPAuto_Ongevallen","-","1,34","1,28","-","1,39","1,24","-","1,41","-","1,48","-","1,27","-","-","1,43","-","-","1,38","2,15","-","-","1,79","2,80","-","1,30","0,91","1,26","1,26","1,25","1,37",
"FSO_T13_SKPAuto_Samenvatting1","-","1,83","2,58","-","-","2,50","-","2,53","-","0,70","-","2,56","-","-","2,47","2,52","2,59","-","2,82","-","-","2,54","2,61","-","2,55","2,54","2,64","2,63","2,62","2,54",
"FSO_T14_SKPAuto_PriveZakelijk","-","0,57","0,52","-","-","0,49","-","0,58","-","0,51","-","0,47","-","-","0,52","0,54","0,46","-","0,70","-","-","0,60","0,55","-","0,61","0,61","0,59","0,55","0,69","0,51",
"FSO_T15_SKPAuto_KentekenOpNaam","-","0,52","0,39","-","-","0,44","-","2,54","-","0,50","-","0,42","-","-","0,52","0,51","0,43","-","0,51","-","-","0,46","0,51","-","0,49","0,47","0,53","0,40","0,43","0,39",
"FSO_T16_SKPAuto_Persoonsgegevens","-","0,65","1,84","-","-","0,83","-","0,62","-","0,51","-","0,58","-","-","0,64","0,59","0,67","-","0,64","-","-","0,54","0,82","-","0,77","0,60","0,56","1,52","0,56","0,59",
"FSO_T17_SKPAuto_Adres","-","2,42","2,34","-","-","2,55","-","2,33","-","2,15","-","2,26","-","-","1,89","2,33","2,80","-","1,94","-","-","2,22","2,05","-","1,99","2,35","2,24","2,49","2,44","1,86",
"FSO_T18_SKPAuto_TelefoonEmail","1,32","-","1,50","1,30","1,09","1,22","-","1,28","-","-","1,42","1,58","1,36","-","1,59","-","1,22","1,26","-","-","-","1,42","-","-","-","1,27","-","-","1,30","1,42",
"FSO_T19_SKPAuto_AanvullendeVragen","7,37","-","7,78","7,77","7,93","8,32","-","9,46","-","-","7,65","7,66","9,16","-","7,50","-","7,58","8,86","-","-","-","7,60","-","-","-","8,69","-","-","9,08","7,83",
