Metrics Over Time
Metrics Over Time
,,,17-3 2:30,,,17-3 2:35,,,17-3 2:40,,,17-3 2:45,,,17-3 2:50,,,17-3 2:55,,,17-3 3:00,,,17-3 3:05,,,17-3 3:10,,,17-3 3:15,,,17-3 3:20,,,17-3 3:25,,,17-3 3:30,,,17-3 3:35,,,17-3 3:40,,,17-3 3:45,,,17-3 3:50,,,17-3 3:55,,,17-3 4:00,,,17-3 4:05,,,17-3 4:10,,,17-3 4:15,,,17-3 4:20,,,17-3 4:25,,,17-3 4:30,,,17-3 4:35,,,17-3 4:40,,,17-3 4:45,,,17-3 4:50,,,17-3 4:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","-","-","2,79","2,15","2,12","2,22","1,99","-","2,11","1,92","2,18","-","-","-","1,88","-","-","2,29","2,08","2,03","2,31","2,23","-","-","2,25","-","2,08","-","1,73","2,55",
"FSO_T01_SKPAuto_VerzekererdJaNee","-","-","0,35","0,30","0,34","0,28","0,33","-","0,30","0,20","0,29","-","-","-","0,66","-","-","0,34","0,42","0,34","0,32","0,28","-","-","0,29","-","0,32","-","0,29","0,30",
"FSO_T02_SKPAuto_Kenteken","-","-","0,28","0,31","0,27","0,26","0,38","-","0,31","0,36","0,29","-","-","-","0,37","-","-","0,26","0,26","0,27","0,28","0,33","-","-","0,29","-","0,37","-","0,31","0,31",
"FSO_T03_SKPAuto_AutoCheck","-","-","1,29","1,78","2,89","1,49","1,87","-","1,58","1,63","1,98","-","-","-","1,66","-","-","1,65","1,70","1,61","1,52","1,53","-","-","1,59","-","1,91","-","1,85","1,20",
"FSO_T04_SKPAuto_Postcode","-","-","0,31","0,34","0,51","0,30","0,32","-","0,26","0,33","0,41","-","-","-","0,38","-","-","0,35","0,39","0,48","0,29","0,31","-","-","0,29","-","0,33","-","0,75","0,33",
"FSO_T05_SKPAuto_Bestuurder","-","-","1,22","1,34","1,55","1,31","1,42","-","1,11","1,43","1,28","-","-","-","1,21","-","-","1,25","1,24","1,15","1,35","1,53","-","-","1,35","-","1,59","-","1,55","1,18",
"FSO_T06_SKPAuto_GeboorteDatum","0,84","-","0,88","-","0,74","0,84","0,86","0,89","0,87","0,83","0,85","-","0,98","-","-","-","-","0,50","0,88","0,92","0,85","-","-","-","-","-","-","-","-","0,87",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,02","1,98","2,13","-","-","-","2,41","3,17","2,16","-","2,27","2,06","2,15","-","-","-","-","2,37","-","2,22","2,38","-","-","-","-","3,59","-","-","-","-",
"FSO_T08_SKPAuto_Kilometers","0,78","0,56","0,52","-","-","-","0,50","0,72","0,68","-","0,66","0,52","0,45","-","-","-","-","1,23","-","0,78","0,61","-","-","-","-","2,39","-","-","-","-",
"FSO_T09_SKPAuto_Basisdekking","2,99","2,89","2,92","-","-","-","2,90","2,88","2,91","-","2,87","4,13","0,58","-","-","-","-","2,89","-","2,89","2,90","-","-","-","-","2,39","-","-","-","-",
