Metrics Over Time
Metrics Over Time
,,,19-3 19:30,,,19-3 19:35,,,19-3 19:40,,,19-3 19:45,,,19-3 19:50,,,19-3 19:55,,,19-3 20:00,,,19-3 20:05,,,19-3 20:10,,,19-3 20:15,,,19-3 20:20,,,19-3 20:25,,,19-3 20:30,,,19-3 20:35,,,19-3 20:40,,,19-3 20:45,,,19-3 20:50,,,19-3 20:55,,,19-3 21:00,,,19-3 21:05,,,19-3 21:10,,,19-3 21:15,,,19-3 21:20,,,19-3 21:25,,,19-3 21:30,,,19-3 21:35,,,19-3 21:40,,,19-3 21:45,,,19-3 21:50,,,19-3 21:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","1,98","1,83","2,08","2,54","2,56","2,16","8,36","2,25","2,12","2,95","1,83","1,98","2,32","2,38","2,59","2,51","2,22","2,08","2,75","2,86","2,16","2,43","2,54","2,50","2,03","1,93","2,20","2,16","2,35","2,29",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,61","0,68","0,63","0,93","0,56","0,68","5,96","0,65","0,65","0,72","0,25","0,77","0,74","0,34","0,68","0,71","0,70","4,69","6,29","0,77","0,53","0,39","0,78","0,40","0,29","0,23","0,55","1,21","0,59","0,32",
"FSO_T02_SKPAuto_Kenteken","0,68","0,62","0,62","0,55","0,60","0,63","9,50","0,61","0,58","0,71","0,65","0,66","0,56","0,39","0,60","0,68","0,63","1,28","6,47","0,86","0,46","0,45","0,66","0,39","0,53","0,39","0,88","1,20","0,39","0,41",
"FSO_T03_SKPAuto_AutoCheck","1,44","2,18","1,81","1,48","1,76","1,48","-","5,14","1,44","1,73","1,68","1,36","1,51","2,89","2,39","3,13","1,69","2,23","7,47","1,44","1,41","1,51","2,09","1,99","1,77","1,80","1,52","2,64","1,96","1,57",
"FSO_T04_SKPAuto_Postcode","0,63","0,84","0,64","0,64","0,79","0,72","-","1,46","0,63","0,66","1,39","0,57","0,51","0,53","0,52","0,61","0,74","1,86","2,66","0,49","0,53","0,58","1,07","0,54","0,39","0,59","0,52","1,26","0,48","0,37",
"FSO_T05_SKPAuto_Bestuurder","1,95","1,23","1,55","1,62","1,54","1,72","-","3,94","1,72","1,68","2,56","1,71","1,80","1,72","1,75","1,59","1,58","2,33","3,45","1,47","1,69","1,34","1,78","1,56","1,75","1,02","1,56","2,60","1,12","1,23",
"FSO_T06_SKPAuto_GeboorteDatum","0,83","0,89","0,90","1,02","0,88","0,86","-","5,66","0,79","0,77","1,65","0,84","0,86","0,85","1,03","0,81","0,80","3,78","9,66","1,09","0,88","0,77","0,88","0,94","0,81","1,00","0,79","0,77","1,38","0,78",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,26","1,99","2,12","1,98","2,45","2,12","-","7,80","1,84","2,20","2,42","1,99","2,17","2,09","1,96","2,07","2,06","4,18","6,67","1,88","2,21","2,02","2,15","4,14","2,27","2,51","2,71","1,70","2,82","1,94",
"FSO_T08_SKPAuto_Kilometers","1,16","1,10","1,00","1,11","0,97","0,97","-","5,24","0,96","1,01","0,98","0,90","0,59","0,94","1,18","0,94","1,15","1,63","2,30","0,67","0,84","0,89","0,83","0,77","0,68","0,67","0,90","0,84","1,48","0,83",
"FSO_T09_SKPAuto_Basisdekking","2,88","2,83","3,01","2,88","2,93","2,84","-","3,73","2,96","3,09","2,94","2,96","2,93","2,94","2,94","3,03","2,93","2,99","4,50","2,94","2,83","3,16","2,85","2,87","2,87","2,86","3,00","2,82","3,75","2,90",
