Metrics Over Time
Metrics Over Time
,,,13-3 13:30,,,13-3 13:35,,,13-3 13:40,,,13-3 13:45,,,13-3 13:50,,,13-3 13:55,,,13-3 14:00,,,13-3 14:05,,,13-3 14:10,,,13-3 14:15,,,13-3 14:20,,,13-3 14:25,,,13-3 14:30,,,13-3 14:35,,,13-3 14:40,,,13-3 14:45,,,13-3 14:50,,,13-3 14:55,,,13-3 15:00,,,13-3 15:05,,,13-3 15:10,,,13-3 15:15,,,13-3 15:20,,,13-3 15:25,,,13-3 15:30,,,13-3 15:35,,,13-3 15:40,,,13-3 15:45,,,13-3 15:50,,,13-3 15:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","2,97","1,95","2,24","2,57","2,19","2,05","3,14","2,70","3,40","2,81","2,31","2,51","3,30","2,52","2,28","3,75","2,29","2,48","4,00","3,11","2,19","3,21","2,03","2,72","2,42","2,40","1,66","3,42","2,22","1,33",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,46","0,66","0,63","0,62","1,37","0,38","0,29","0,48","0,42","1,63","0,62","0,45","0,59","0,56","0,62","0,49","0,46","0,42","0,52","10,42","0,35","1,24","0,50","0,53","0,51","0,75","1,05","0,37","0,34","0,43",
"FSO_T02_SKPAuto_Kenteken","0,40","0,44","0,40","1,08","0,38","0,39","0,43","0,38","0,36","0,67","0,40","0,38","0,37","0,46","0,36","0,42","0,40","0,43","0,47","2,20","0,40","10,03","0,38","0,40","0,40","0,40","1,10","0,41","0,45","0,36",
"FSO_T03_SKPAuto_AutoCheck","1,44","2,04","1,37","2,55","3,84","1,61","1,67","2,51","1,49","3,45","4,41","3,69","1,58","2,27","1,66","1,73","1,60","1,46","2,96","1,92","1,77","1,45","1,67","1,61","1,47","1,90","2,56","1,75","1,64","1,41",
"FSO_T04_SKPAuto_Postcode","0,39","0,84","0,42","0,41","0,64","0,42","0,42","0,71","0,37","0,62","0,48","0,40","0,40","0,87","0,42","0,42","0,52","0,41","0,39","0,46","0,70","0,65","0,62","0,38","0,40","0,66","1,22","0,66","0,73","0,39",
"FSO_T05_SKPAuto_Bestuurder","1,10","1,45","1,22","1,67","1,13","1,17","1,55","1,57","1,46","1,44","1,57","1,84","1,39","1,49","1,47","1,43","1,28","1,46","1,52","1,29","1,76","1,64","1,55","1,47","1,28","1,72","2,22","1,34","1,40","1,24",
"FSO_T06_SKPAuto_GeboorteDatum","0,94","1,16","1,23","0,83","1,01","1,22","0,95","1,09","1,08","1,83","0,93","1,49","1,14","0,91","1,35","0,89","1,16","1,04","0,92","1,01","1,24","1,17","0,58","1,19","1,01","0,98","1,65","0,82","0,83","0,97",
"FSO_T07_SKPAuto_SchadeVrijeJaren","1,97","2,41","4,39","2,44","1,98","2,74","3,05","3,22","2,36","2,22","2,74","2,51","2,66","2,36","4,42","3,19","2,24","3,97","3,12","2,83","6,48","2,27","2,29","3,97","2,39","2,23","3,86","2,54","2,48","2,28",
"FSO_T08_SKPAuto_Kilometers","0,90","0,74","0,88","0,79","0,93","0,74","0,54","10,32","0,68","0,66","1,08","0,95","0,64","0,79","0,92","2,08","1,54","1,06","0,82","10,52","1,61","0,91","0,95","0,81","0,61","1,27","1,55","0,68","0,75","0,72",
"FSO_T09_SKPAuto_Basisdekking","3,67","3,96","1,92","2,87","3,00","2,86","2,85","3,03","3,11","2,96","3,26","4,10","2,88","3,14","3,13","3,47","1,74","4,05","2,87","2,94","2,96","2,94","2,94","2,93","4,98","7,56","2,81","2,96","3,27","2,89",
