Metrics Over Time
Metrics Over Time
,,,16-3 16:30,,,16-3 16:35,,,16-3 16:40,,,16-3 16:45,,,16-3 16:50,,,16-3 16:55,,,16-3 17:00,,,16-3 17:05,,,16-3 17:10,,,16-3 17:15,,,16-3 17:20,,,16-3 17:25,,,16-3 17:30,,,16-3 17:35,,,16-3 17:40,,,16-3 17:45,,,16-3 17:50,,,16-3 17:55,,,16-3 18:00,,,16-3 18:05,,,16-3 18:10,,,16-3 18:15,,,16-3 18:20,,,16-3 18:25,,,16-3 18:30,,,16-3 18:35,,,16-3 18:40,,,16-3 18:45,,,16-3 18:50,,,16-3 18:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","2,35","-","-","2,74","2,15","2,62","2,33","2,25","2,53","-","-","2,86","-","2,38","2,36","-","-","2,27","2,32","2,48","-","2,33","2,48","-","-","-","2,69","3,18","-","-",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,73","-","-","0,63","0,75","1,27","0,75","0,73","1,75","-","-","1,32","-","0,71","0,74","-","-","0,90","0,68","0,67","-","0,83","1,82","-","-","-","0,63","0,24","-","-",
"FSO_T02_SKPAuto_Kenteken","0,68","-","-","0,69","0,69","3,27","1,98","0,72","1,91","-","-","1,26","-","0,63","0,60","-","-","0,78","0,61","0,63","-","0,74","1,86","-","-","-","0,82","0,42","-","-",
"FSO_T03_SKPAuto_AutoCheck","3,02","-","-","2,03","1,77","2,37","1,79","1,94","2,95","-","-","2,36","-","1,68","1,84","-","-","2,65","1,83","2,07","-","1,56","2,09","-","-","-","1,94","1,71","-","-",
"FSO_T04_SKPAuto_Postcode","0,96","-","-","0,69","0,87","1,40","0,68","1,16","2,22","-","-","1,40","-","1,18","0,62","-","-","1,05","0,61","1,00","-","0,73","4,98","-","-","-","4,80","0,45","-","-",
"FSO_T05_SKPAuto_Bestuurder","1,89","-","-","1,80","1,83","2,44","1,67","1,50","2,53","-","-","2,30","-","1,77","1,49","-","-","1,77","1,63","1,52","-","1,69","4,57","-","-","-","1,91","1,82","-","-",
"FSO_T06_SKPAuto_GeboorteDatum","0,88","0,94","0,83","-","1,25","1,51","0,89","-","2,24","0,87","0,96","0,84","-","1,03","-","-","-","-","-","0,85","1,27","0,91","2,83","1,43","-","-","-","0,86","0,89","0,95",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,22","2,33","2,19","-","1,97","3,64","2,43","-","-","2,37","2,51","2,16","-","2,08","-","-","-","-","-","2,26","2,08","2,03","7,61","4,04","-","-","-","2,04","2,15","2,13",
"FSO_T08_SKPAuto_Kilometers","1,06","1,23","1,05","-","0,93","2,02","1,06","-","-","1,08","1,29","0,89","-","1,17","-","-","-","-","-","1,15","0,65","1,01","2,61","1,97","-","-","-","0,90","0,87","0,65",
"FSO_T09_SKPAuto_Basisdekking","2,98","3,07","3,00","-","2,95","3,74","3,05","-","-","3,02","3,10","2,93","-","3,12","-","-","-","-","-","2,94","1,94","2,95","4,64","3,68","-","-","-","2,97","3,00","2,91",
"FSO_T10_SKPAuto_Uitbreiding","0,74","0,83","0,78","-","0,78","0,76","0,73","-","-","0,79","0,83","0,72","-","0,74","-","-","-","-","-","0,67","0,72","0,72","0,84","0,72","-","-","-","0,77","0,77","0,70",
"FSO_T11_SKPAuto_Ingangsdatum","0,62","1,41","0,69","-","0,79","1,52","0,70","-","-","0,69","0,63","0,60","-","0,72","-","0,68","-","-","0,72","0,63","0,58","0,72","1,61","1,43","-","-","-","0,69","0,72","0,58",
