Metrics Over Time
Metrics Over Time
,,,20-3 20:30,,,20-3 20:35,,,20-3 20:40,,,20-3 20:45,,,20-3 20:50,,,20-3 20:55,,,20-3 21:00,,,20-3 21:05,,,20-3 21:10,,,20-3 21:15,,,20-3 21:20,,,20-3 21:25,,,20-3 21:30,,,20-3 21:35,,,20-3 21:40,,,20-3 21:45,,,20-3 21:50,,,20-3 21:55,,,20-3 22:00,,,20-3 22:05,,,20-3 22:10,,,20-3 22:15,,,20-3 22:20,,,20-3 22:25,,,20-3 22:30,,,20-3 22:35,,,20-3 22:40,,,20-3 22:45,,,20-3 22:50,,,20-3 22:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","1,97","2,51","2,42","2,58","1,68","2,49","2,50","1,72","2,17","2,00","2,05","2,41","2,08","2,13","2,01","2,31","1,66","1,89","2,14","1,86","1,94","2,47","1,75","1,91","2,10","2,67","2,41","1,78","2,26","2,12",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,72","0,63","0,96","0,62","1,34","0,57","0,92","0,64","0,68","1,08","0,54","0,70","0,67","0,55","0,69","0,60","0,70","1,00","0,65","0,37","0,53","0,54","0,23","0,44","0,36","0,32","0,46","1,13","0,37","0,35",
"FSO_T02_SKPAuto_Kenteken","0,65","0,61","0,99","0,60","1,28","0,57","2,58","0,60","0,59","0,59","0,60","0,60","0,62","0,57","0,50","0,55","1,32","0,48","0,68","0,37","0,40","0,40","0,36","0,40","0,44","0,65","0,38","1,23","0,40","0,36",
"FSO_T03_SKPAuto_AutoCheck","1,27","2,46","2,30","1,68","2,58","1,23","3,71","1,30","1,53","1,27","4,76","1,50","1,47","1,91","1,43","1,61","3,76","2,53","2,25","1,74","1,40","1,56","1,92","1,61","1,59","2,67","1,54","2,91","1,73","1,79",
"FSO_T04_SKPAuto_Postcode","0,64","1,61","2,71","0,56","1,43","0,62","0,65","1,54","0,61","0,57","0,70","0,66","0,63","1,74","0,48","0,55","0,72","0,52","0,82","0,84","0,47","0,39","0,43","0,39","0,44","1,01","0,39","1,23","0,68","0,44",
"FSO_T05_SKPAuto_Bestuurder","1,49","1,23","2,13","2,55","1,72","1,75","1,60","2,45","1,59","1,63","1,75","1,81","1,53","1,66","1,48","1,24","1,96","1,28","1,76","2,07","1,53","1,43","1,64","1,62","1,33","1,44","1,17","2,56","1,44","1,21",
"FSO_T06_SKPAuto_GeboorteDatum","0,73","0,83","0,91","0,77","0,95","0,76","1,09","0,83","0,78","0,88","0,93","0,81","0,83","0,86","0,79","0,96","0,98","0,81","0,88","2,77","0,85","0,91","0,90","0,80","0,91","0,85","0,77","2,06","0,82","0,85",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,08","2,18","3,78","2,27","2,23","2,37","2,37","2,67","1,76","1,94","1,93","2,05","2,18","2,04","2,53","2,18","2,37","2,08","3,08","4,38","2,48","2,39","2,43","2,04","2,31","2,12","2,09","3,48","2,67","2,14",
"FSO_T08_SKPAuto_Kilometers","0,83","0,78","1,31","0,85","0,95","0,92","0,86","1,54","0,90","0,77","0,69","0,99","0,88","0,86","0,90","0,90","0,83","0,82","1,02","0,82","0,61","0,77","2,79","0,58","0,85","0,67","0,80","2,43","0,87","0,57",
"FSO_T09_SKPAuto_Basisdekking","3,03","3,02","2,93","2,88","2,95","2,83","2,87","2,95","3,04","2,92","3,03","3,13","3,21","2,99","2,96","2,84","2,96","3,93","2,89","2,95","2,98","2,81","2,96","2,96","2,95","2,97","2,93","4,46","2,95","2,89",
"FSO_T10_SKPAuto_Uitbreiding","0,71","1,99","0,73","0,65","0,66","0,66","0,69","1,22","0,68","0,73","0,79","0,64","0,84","0,74","0,65","0,79","0,75","0,69","0,87","0,69","0,68","0,61","0,73","0,69","0,69","0,73","0,66","0,69","0,64","0,73",
"FSO_T11_SKPAuto_Ingangsdatum","0,60","0,58","0,89","0,59","0,60","0,56","0,67","0,68","0,61","0,60","0,54","0,59","1,08","0,58","0,63","0,47","0,68","0,58","0,61","0,57","0,52","0,92","0,56","0,57","0,58","1,26","0,61","2,44","0,49","0,52",
"FSO_T12_SKPAuto_Ongevallen","1,26","1,25","1,19","1,25","1,34","1,32","1,26","1,23","1,26","1,20","1,33","0,85","1,43","1,42","1,25","1,54","1,26","4,20","1,30","1,29","1,70","1,35","1,27","1,22","4,36","1,90","1,25","1,44","1,48","1,27",
"FSO_T13_SKPAuto_Samenvatting1","1,67","1,99","1,03","2,49","0,99","0,89","2,57","1,77","0,86","2,48","1,61","2,53","2,57","2,62","2,52","1,70","2,62","4,91","2,49","1,73","2,54","1,89","1,89","0,62","1,72","0,82","0,74","3,58","0,71","0,68",
"FSO_T14_SKPAuto_PriveZakelijk","0,81","0,82","0,81","0,77","0,84","0,82","0,91","1,97","0,81","0,81","0,81","0,81","0,83","0,69","0,79","0,72","1,39","1,27","0,74","0,73","0,76","0,77","0,76","0,60","0,62","0,63","0,60","0,60","0,60","0,54",
"FSO_T15_SKPAuto_KentekenOpNaam","0,74","0,76","0,77","0,74","0,80","0,83","0,70","0,79","0,79","1,04","0,67","0,76","0,79","1,14","0,58","0,66","0,71","1,32","0,74","0,66","0,51","0,67","0,66","0,51","0,58","1,05","0,53","1,86","0,53","0,52",
"FSO_T16_SKPAuto_Persoonsgegevens","1,15","0,81","1,19","0,88","0,95","1,29","1,01","0,58","1,09","1,14","0,62","1,12","0,89","3,03","0,99","0,73","0,95","1,75","0,93","0,59","0,60","0,70","0,66","0,59","0,66","0,70","0,76","1,98","1,05","0,59",
"FSO_T17_SKPAuto_Adres","2,26","2,34","2,33","2,60","7,16","2,73","2,69","2,23","2,44","3,16","2,65","2,72","2,62","3,05","2,74","2,31","2,76","2,71","2,40","2,04","2,52","1,84","2,60","2,40","2,55","2,14","2,42","3,56","2,54","2,17",
"FSO_T18_SKPAuto_TelefoonEmail","1,50","1,91","1,64","1,57","1,73","2,09","1,48","1,64","1,73","1,71","1,56","1,86","1,52","1,29","1,51","1,48","1,46","1,54","1,98","1,36","1,72","1,32","1,17","1,60","1,57","1,30","1,72","2,45","1,44","1,58",
"FSO_T19_SKPAuto_AanvullendeVragen","7,89","8,44","8,13","8,23","9,20","8,14","8,24","7,74","8,23","8,26","7,41","8,28","8,03","7,71","8,62","8,28","7,30","7,79","10,11","8,23","8,49","9,18","7,83","7,96","8,16","8,57","7,58","8,95","7,46","7,99",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","0,65","0,72","0,75","0,73","0,69","0,73","0,69","0,75","0,81","0,72","0,65","0,71","0,66","0,66","0,66","0,69","1,08","0,64","0,96","0,68","0,84","0,46","0,57","0,59","0,50","0,55","0,59","1,45","0,48","0,50",
"FSO_T21_SKPAuto_StrafbaarFeit","0,68","0,82","0,80","0,72","0,80","0,80","0,80","0,79","0,79","0,70","0,85","0,96","0,77","0,71","0,75","0,73","0,67","0,66","0,78","0,57","1,04","0,51","0,66","0,61","0,59","0,62","0,54","0,76","1,69","0,51",
