Metrics Over Time
Metrics Over Time
,,,15-3 13:00,,,15-3 13:05,,,15-3 13:10,,,15-3 13:15,,,15-3 13:20,,,15-3 13:25,,,15-3 13:30,,,15-3 13:35,,,15-3 13:40,,,15-3 13:45,,,15-3 13:50,,,15-3 13:55,,,15-3 14:00,,,15-3 14:05,,,15-3 14:10,,,15-3 14:15,,,15-3 14:20,,,15-3 14:25,,,15-3 14:30,,,15-3 14:35,,,15-3 14:40,,,15-3 14:45,,,15-3 14:50,,,15-3 14:55,,,15-3 15:00,,,15-3 15:05,,,15-3 15:10,,,15-3 15:15,,,15-3 15:20,,,15-3 15:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","-","-","-","-","-","2,71","-","-","-","2,18","-","-","-","-","2,58","-","-","2,37","-","-","2,43","-","2,26","2,39","-","2,70","-","2,45","-","2,44",
"FSO_T01_SKPAuto_VerzekererdJaNee","-","-","-","-","-","0,36","-","-","-","0,40","-","-","-","-","0,49","-","-","0,91","-","-","0,63","-","0,23","0,71","-","0,75","-","0,77","-","0,68",
"FSO_T02_SKPAuto_Kenteken","-","-","-","-","-","0,50","-","-","-","0,40","-","-","-","-","0,46","-","-","0,91","-","-","0,64","-","0,40","0,65","-","0,63","-","0,64","-","0,60",
"FSO_T03_SKPAuto_AutoCheck","-","-","-","-","-","1,71","-","-","-","1,63","-","-","-","-","1,41","-","-","2,25","-","-","1,83","-","1,83","1,53","-","1,90","-","1,86","-","2,58",
"FSO_T04_SKPAuto_Postcode","-","-","-","-","-","0,40","-","-","-","0,40","-","-","-","-","0,46","-","-","0,71","-","-","0,54","-","0,74","0,68","-","0,81","-","0,62","-","1,38",
"FSO_T05_SKPAuto_Bestuurder","-","-","-","-","-","1,28","-","-","-","1,35","-","-","-","-","1,57","-","-","1,67","-","-","2,05","-","1,26","1,44","-","1,57","-","1,45","-","2,05",
"FSO_T06_SKPAuto_GeboorteDatum","-","1,00","-","-","-","1,82","-","-","1,21","-","0,87","-","-","-","0,90","-","-","0,91","-","-","-","-","3,54","0,38","-","1,04","-","-","0,83","-",
"FSO_T07_SKPAuto_SchadeVrijeJaren","-","2,08","-","-","-","2,14","-","-","2,15","-","2,22","2,05","-","-","5,81","-","-","3,79","-","-","-","-","2,19","5,83","-","2,28","-","-","2,52","-",
"FSO_T08_SKPAuto_Kilometers","-","0,69","-","-","-","0,99","-","-","0,86","-","0,81","0,65","-","-","0,71","-","-","0,96","-","-","-","-","0,90","1,02","-","1,11","-","-","0,96","-",
"FSO_T09_SKPAuto_Basisdekking","-","2,98","-","-","-","2,94","-","-","3,00","-","1,79","2,96","-","-","3,11","-","-","2,97","-","-","-","-","3,08","2,87","-","3,06","-","-","3,04","-",
"FSO_T10_SKPAuto_Uitbreiding","-","0,78","-","-","-","0,67","-","-","1,43","-","0,71","0,70","-","-","0,73","-","-","0,75","-","-","-","-","0,95","0,90","-","0,73","-","-","0,87","-",
"FSO_T11_SKPAuto_Ingangsdatum","-","0,64","-","-","-","0,57","-","-","0,57","-","0,62","0,54","-","-","0,95","-","-","0,64","-","-","-","-","0,62","0,60","-","0,59","-","-","0,73","-",
"FSO_T12_SKPAuto_Ongevallen","-","-","-","-","-","1,26","-","-","1,27","-","0,73","1,21","1,97","-","-","1,37","1,61","-","-","1,22","1,58","1,43","1,47","-","-","1,41","-","-","2,36","-",
"FSO_T13_SKPAuto_Samenvatting1","-","2,63","2,49","-","-","2,51","-","1,75","-","-","-","-","2,57","1,21","-","2,69","2,62","-","-","2,55","2,47","2,56","2,55","-","-","2,56","-","-","2,52","-",
"FSO_T14_SKPAuto_PriveZakelijk","-","0,70","0,57","-","-","0,65","-","0,60","-","-","-","-","0,66","0,70","-","0,92","0,67","-","-","0,81","0,65","0,58","0,80","-","-","0,90","-","-","0,83","-",
"FSO_T15_SKPAuto_KentekenOpNaam","-","0,66","0,53","-","-","0,47","-","0,52","-","-","-","-","0,55","0,56","-","0,89","0,50","-","-","0,88","0,61","0,55","0,72","-","-","0,87","-","-","0,82","-",
"FSO_T16_SKPAuto_Persoonsgegevens","-","0,72","0,93","-","-","0,62","-","0,77","-","-","-","-","0,98","0,82","-","1,25","0,75","-","-","1,70","0,71","0,98","0,73","-","-","1,25","-","-","1,28","-",
"FSO_T17_SKPAuto_Adres","-","2,32","2,30","-","5,02","2,44","-","2,45","-","-","-","-","2,51","2,60","-","-","2,07","-","-","-","2,82","2,28","2,96","2,83","3,87","2,31","4,39","-","-","3,19",
"FSO_T18_SKPAuto_TelefoonEmail","-","-","1,38","-","4,73","-","-","1,34","1,54","1,64","2,14","-","1,49","1,57","-","-","1,47","-","-","-","1,72","2,06","1,11","1,63","2,89","1,67","2,12","-","-","1,71",
"FSO_T19_SKPAuto_AanvullendeVragen","-","-","9,20","-","11,78","-","-","8,29","7,66","8,42","7,89","-","8,15","-","7,53","-","8,17","-","-","-","8,21","7,98","7,31","7,44","8,21","7,88","9,73","-","-","6,77",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","-","-","0,47","-","2,49","-","-","0,62","0,50","0,45","0,84","-","0,50","-","0,50","-","0,58","-","-","-","0,71","0,56","0,51","0,72","1,62","0,83","1,25","-","-","0,80",
"FSO_T21_SKPAuto_StrafbaarFeit","-","-","0,55","-","3,40","-","-","0,58","0,45","0,49","0,73","-","0,46","-","0,67","-","0,79","-","-","-","0,74","0,55","0,54","0,67","0,70","0,89","1,11","-","-","0,74",
"FSO_T22_SKPAuto_EerderSchade","-","-","0,47","-","2,44","-","-","0,65","0,52","0,53","1,09","-","0,54","-","0,64","-","0,62","-","-","-","0,64","0,51","0,66","0,73","0,83","0,73","0,78","-","-","0,90",
"FSO_T23_SKPAuto_MaandJaar","-","-","0,49","-","2,33","-","-","0,53","0,54","0,52","0,89","-","0,48","-","0,71","-","0,53","-","-","-","0,91","0,71","0,50","1,24","-","0,78","0,68","-","-","0,70",
"FSO_T24_SKPAuto_Rekeningnummer","-","-","0,94","-","-","-","1,13","0,88","1,73","-","0,93","-","-","2,71","1,50","0,94","-","1,94","-","1,07","1,31","-","6,50","1,15","-","-","1,21","-","-","0,85",
"FSO_T25_SKPAuto_Samenvatting2","-","-","2,71","-","-","3,18","3,39","3,33","3,76","-","4,10","2,92","-","5,69","3,56","2,98","-","2,71","-","3,30","3,61","-","3,94","3,38","-","-","3,23","-","-","3,67",
"FSO_T26_SKPAuto_EindeScript","-","-","0,71","-","-","0,64","0,75","0,61","1,07","-","0,90","0,55","-","4,19","0,72","0,64","-","0,63","-","1,07","0,93","-","0,58","0,83","-","-","1,03","-","-","0,82",
 

