Metrics Over Time
Metrics Over Time
,,,19-3 2:00,,,19-3 2:05,,,19-3 2:10,,,19-3 2:15,,,19-3 2:20,,,19-3 2:25,,,19-3 2:30,,,19-3 2:35,,,19-3 2:40,,,19-3 2:45,,,19-3 2:50,,,19-3 2:55,,,19-3 3:00,,,19-3 3:05,,,19-3 3:10,,,19-3 3:15,,,19-3 3:20,,,19-3 3:25,,,19-3 3:30,,,19-3 3:35,,,19-3 3:40,,,19-3 3:45,,,19-3 3:50,,,19-3 3:55,,,19-3 4:00,,,19-3 4:05,,,19-3 4:10,,,19-3 4:15,,,19-3 4:20,,,19-3 4:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","2,07","1,96","2,70","2,67","1,84","1,92","2,02","1,82","1,87","2,20","-","1,88","2,33","1,84","2,16","2,36","2,21","2,00","1,92","1,94","1,80","2,00","1,98","1,72","2,45","1,87","2,14","2,19","1,96","2,25",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,33","0,33","0,29","0,33","0,37","0,32","0,32","0,44","0,32","0,50","-","1,16","0,40","0,30","0,28","0,30","0,27","0,38","0,42","0,64","0,30","0,33","0,24","0,32","0,32","0,30","0,29","0,31","0,61","0,24",
"FSO_T02_SKPAuto_Kenteken","0,31","0,31","0,45","0,32","0,26","0,28","0,38","0,28","0,35","0,34","-","1,00","0,29","0,29","0,29","0,40","0,25","0,32","0,30","0,30","0,29","0,32","0,30","0,27","0,32","0,29","0,27","0,31","0,29","0,28",
"FSO_T03_SKPAuto_AutoCheck","3,59","1,64","1,46","1,53","2,06","1,28","1,62","1,74","1,52","1,86","-","4,07","1,58","2,30","1,53","1,87","1,74","1,52","3,52","1,80","1,79","1,72","1,94","1,39","1,56","1,90","1,38","1,66","1,86","1,65",
"FSO_T04_SKPAuto_Postcode","0,33","0,48","0,34","0,30","1,38","0,29","0,36","0,68","0,34","0,32","-","1,32","0,27","0,66","0,31","0,41","0,68","0,30","0,31","0,39","0,30","0,39","0,53","0,30","0,32","0,33","0,27","0,30","0,58","0,30",
"FSO_T05_SKPAuto_Bestuurder","1,49","1,38","1,60","1,35","1,58","1,21","1,33","1,20","1,22","1,62","-","2,21","1,47","1,70","1,37","1,32","1,27","1,52","1,14","1,41","1,25","1,28","1,27","1,29","1,32","1,43","1,16","1,34","1,30","1,34",
"FSO_T06_SKPAuto_GeboorteDatum","6,14","0,92","0,89","0,86","6,64","0,85","0,79","0,85","0,85","0,78","0,81","1,44","0,88","0,95","0,91","0,90","1,43","0,78","0,90","0,84","0,86","0,87","0,93","0,89","0,82","1,02","0,80","0,90","0,80","0,87",
"FSO_T07_SKPAuto_SchadeVrijeJaren","1,86","2,18","2,75","2,64","2,27","2,19","2,32","2,35","3,95","5,94","2,53","2,88","1,82","2,16","2,00","2,05","2,35","2,33","2,42","2,52","2,54","2,43","2,11","2,18","2,10","1,91","2,65","2,45","2,31","2,13",
"FSO_T08_SKPAuto_Kilometers","0,45","0,70","0,52","0,45","0,52","0,71","0,48","0,59","0,67","0,44","0,52","1,50","0,49","0,68","1,51","0,52","0,82","0,67","0,45","0,45","1,06","0,71","0,65","0,71","0,48","0,61","0,67","0,73","0,44","0,55",
"FSO_T09_SKPAuto_Basisdekking","11,42","2,89","2,98","2,94","3,01","2,88","3,00","2,89","2,29","3,05","2,86","3,84","2,80","2,90","2,94","2,86","2,95","2,90","2,95","2,92","2,90","2,83","1,86","3,96","2,86","2,94","2,86","2,92","1,86","2,86",
"FSO_T10_SKPAuto_Uitbreiding","0,94","0,69","0,63","0,72","1,80","0,72","0,64","0,65","0,68","0,83","0,76","0,76","0,69","0,65","0,66","0,84","0,78","0,68","0,69","0,70","0,65","0,72","0,72","0,68","0,77","0,69","0,66","0,66","0,68","0,66",
"FSO_T11_SKPAuto_Ingangsdatum","0,61","0,49","0,51","0,56","0,57","0,46","0,53","0,53","0,46","0,81","0,53","1,47","0,53","0,53","0,49","0,71","0,53","0,45","0,53","0,50","0,53","0,59","0,52","0,55","0,52","0,52","0,44","0,52","0,47","0,53",
"FSO_T12_SKPAuto_Ongevallen","11,17","1,39","1,75","1,60","1,31","1,30","1,33","1,39","2,18","1,79","2,31","1,53","1,83","1,29","1,77","1,50","1,33","1,21","1,54","1,32","1,47","1,28","1,32","1,24","1,89","1,28","1,29","1,21","1,38","1,26",
"FSO_T13_SKPAuto_Samenvatting1","2,57","1,79","2,51","1,62","1,67","0,54","2,61","1,79","0,65","0,91","2,55","2,76","3,48","0,64","2,48","2,52","1,80","2,50","2,52","1,79","2,47","0,56","1,70","2,53","2,48","1,70","2,53","2,66","1,63","2,58",
"FSO_T14_SKPAuto_PriveZakelijk","0,49","0,57","0,50","0,52","0,54","0,42","0,52","0,54","0,44","0,51","0,49","0,51","0,57","0,55","0,54","0,52","0,55","0,55","0,51","0,52","0,52","0,51","0,56","0,46","0,48","0,58","0,46","0,55","0,58","0,44",
"FSO_T15_SKPAuto_KentekenOpNaam","0,43","0,46","0,40","0,49","0,46","0,45","0,45","0,40","0,39","0,43","0,39","0,42","1,44","0,42","0,44","0,36","0,42","0,42","0,44","0,44","0,44","0,39","0,41","0,43","0,41","0,44","0,44","0,44","0,46","0,44",
"FSO_T16_SKPAuto_Persoonsgegevens","7,00","1,23","1,65","0,71","0,69","0,50","0,62","0,64","0,52","0,67","0,93","0,56","1,56","0,72","0,62","0,58","0,60","0,52","0,68","0,71","0,58","0,74","0,74","0,54","0,56","1,15","0,63","0,61","0,73","0,54",
"FSO_T17_SKPAuto_Adres","2,61","2,34","2,43","2,12","2,24","2,45","2,36","2,36","2,49","2,90","2,36","2,41","3,05","2,44","2,52","2,40","2,18","2,08","2,26","2,40","2,35","2,35","1,97","2,14","2,32","2,55","2,38","2,52","2,20","2,44",
"FSO_T18_SKPAuto_TelefoonEmail","6,80","1,31","2,00","1,23","1,03","1,36","1,23","1,41","1,51","1,47","1,54","1,39","2,57","1,33","1,40","1,22","1,73","1,36","1,16","1,23","1,33","1,50","1,63","1,46","1,22","1,06","1,38","1,28","1,33","1,25",
"FSO_T19_SKPAuto_AanvullendeVragen","13,14","11,17","7,67","7,84","7,36","8,21","8,34","6,57","7,88","8,15","8,12","7,95","9,22","7,88","8,15","8,25","7,57","8,21","7,73","8,20","8,49","7,84","8,45","8,31","8,02","7,71","8,06","9,22","8,08","8,95",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","0,37","0,46","0,41","0,51","0,42","0,39","0,42","0,39","0,56","0,42","0,46","0,51","2,38","0,35","0,43","0,46","0,45","0,40","0,48","0,47","0,49","0,43","0,48","0,50","0,47","0,39","0,46","0,41","0,41","0,40",
"FSO_T21_SKPAuto_StrafbaarFeit","0,41","0,45","0,50","0,45","0,44","0,39","0,39","0,59","0,40","0,58","0,44","0,44","2,53","0,44","0,46","0,42","0,51","0,55","0,41","0,48","0,46","0,52","0,56","0,42","0,39","0,56","0,48","0,40","0,47","0,47",
"FSO_T22_SKPAuto_EerderSchade","0,44","0,44","0,44","0,43","0,49","0,45","0,52","0,50","0,46","0,39","0,50","0,44","2,46","0,44","0,46","0,49","0,45","0,43","0,47","0,46","0,49","0,46","0,40","0,48","0,40","0,47","0,55","0,40","0,49","0,42",
"FSO_T23_SKPAuto_MaandJaar","0,42","0,39","0,47","6,76","0,47","0,51","0,43","0,44","0,43","0,37","0,50","0,52","2,21","0,42","0,55","0,41","0,40","0,38","0,39","0,46","0,57","0,39","0,42","0,49","0,35","0,40","0,42","0,42","0,44","0,49",
"FSO_T24_SKPAuto_Rekeningnummer","11,53","1,57","1,95","1,43","1,14","5,02","1,57","1,62","1,55","1,53","1,27","1,55","2,33","1,47","1,35","1,48","1,11","1,49","1,56","1,39","3,28","1,41","1,13","1,48","0,99","1,15","1,45","1,44","1,39","3,31",
"FSO_T25_SKPAuto_Samenvatting2","2,94","3,13","3,55","3,11","3,22","3,20","3,64","3,60","3,48","3,08","3,66","3,49","5,65","3,23","3,32","3,80","3,33","2,88","2,52","3,47","3,34","-","3,03","3,59","2,94","3,27","3,05","3,65","3,04","3,04",
"FSO_T26_SKPAuto_EindeScript","0,51","1,20","0,50","0,46","0,46","0,48","0,44","0,44","0,49","0,42","0,51","0,44","2,35","0,44","0,59","0,56","0,48","0,45","0,46","0,53","0,57","0,60","0,56","0,52","0,49","0,48","0,54","0,45","0,52","0,62",
 

