Metrics Over Time
Metrics Over Time
,,,14-3 7:00,,,14-3 7:05,,,14-3 7:10,,,14-3 7:15,,,14-3 7:20,,,14-3 7:25,,,14-3 7:30,,,14-3 7:35,,,14-3 7:40,,,14-3 7:45,,,14-3 7:50,,,14-3 7:55,,,14-3 8:00,,,14-3 8:05,,,14-3 8:10,,,14-3 8:15,,,14-3 8:20,,,14-3 8:25,,,14-3 8:30,,,14-3 8:35,,,14-3 8:40,,,14-3 8:45,,,14-3 8:50,,,14-3 8:55,,,14-3 9:00,,,14-3 9:05,,,14-3 9:10,,,14-3 9:15,,,14-3 9:20,,,14-3 9:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","-","-","2,59","2,54","-","2,25","-","2,56","-","2,67","-","2,26","2,31","2,29","-","2,49","3,09","2,31","2,58","2,21","2,52","2,17","2,27","2,89","3,37","2,89","2,71","2,43","-","2,51",
"FSO_T01_SKPAuto_VerzekererdJaNee","-","-","0,25","0,34","-","0,34","-","0,26","-","0,30","-","0,51","0,35","0,32","-","0,30","0,33","1,04","0,43","0,30","0,28","0,31","0,29","0,27","0,34","0,30","1,20","0,41","-","0,28",
"FSO_T02_SKPAuto_Kenteken","-","-","0,42","0,31","-","0,31","-","0,30","-","0,31","-","0,41","0,33","0,30","-","0,41","0,45","1,05","0,30","0,28","0,31","0,29","0,30","0,33","0,69","0,39","1,13","0,74","-","0,39",
"FSO_T03_SKPAuto_AutoCheck","-","-","1,71","1,89","-","1,48","-","1,64","-","1,61","-","1,68","1,77","1,64","-","1,55","1,62","2,47","1,59","1,87","1,66","1,86","1,92","1,40","1,67","1,74","2,38","1,73","-","1,60",
"FSO_T04_SKPAuto_Postcode","-","-","0,29","0,34","-","0,32","-","0,50","-","0,28","-","0,30","0,29","0,44","-","0,29","0,47","1,36","0,37","0,49","0,31","0,32","0,58","0,32","0,30","0,53","3,32","0,38","-","0,36",
"FSO_T05_SKPAuto_Bestuurder","-","-","1,74","0,97","-","1,31","-","1,14","-","1,55","-","1,35","1,50","1,09","-","1,23","1,46","1,98","1,28","1,50","1,40","1,27","1,22","1,60","1,13","1,79","2,87","1,42","-","1,05",
"FSO_T06_SKPAuto_GeboorteDatum","-","0,92","1,15","1,08","0,90","1,07","-","0,93","-","-","-","0,83","0,94","-","-","0,82","0,77","2,74","0,86","0,98","-","0,89","0,96","1,12","1,34","0,90","1,36","1,42","0,91","0,82",
"FSO_T07_SKPAuto_SchadeVrijeJaren","-","2,34","1,93","2,37","2,15","-","1,88","2,38","2,02","-","-","1,92","2,48","-","-","3,16","-","3,74","2,46","2,41","1,58","2,87","1,83","5,94","2,78","2,56","6,17","2,13","2,52","2,46",
"FSO_T08_SKPAuto_Kilometers","-","0,72","0,54","0,57","0,81","-","0,46","0,38","0,55","-","-","0,61","0,44","-","-","0,87","-","3,28","0,64","0,90","0,66","0,86","0,44","0,57","0,51","0,69","0,81","0,61","0,61","0,51",
"FSO_T09_SKPAuto_Basisdekking","-","1,98","3,02","2,99","4,59","-","3,13","2,95","3,05","-","-","0,62","2,96","-","-","3,05","-","4,52","3,02","5,73","3,02","3,06","3,14","2,91","2,92","3,27","1,80","3,14","3,10","2,94",
