Metrics Over Time
Metrics Over Time
,,,18-3 1:00,,,18-3 1:05,,,18-3 1:10,,,18-3 1:15,,,18-3 1:20,,,18-3 1:25,,,18-3 1:30,,,18-3 1:35,,,18-3 1:40,,,18-3 1:45,,,18-3 1:50,,,18-3 1:55,,,18-3 2:00,,,18-3 2:05,,,18-3 2:10,,,18-3 2:15,,,18-3 2:20,,,18-3 2:25,,,18-3 2:30,,,18-3 2:35,,,18-3 2:40,,,18-3 2:45,,,18-3 2:50,,,18-3 2:55,,,18-3 3:00,,,18-3 3:05,,,18-3 3:10,,,18-3 3:15,,,18-3 3:20,,,18-3 3:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","-","-","1,99","-","-","2,13","1,81","-","-","2,21","1,89","-","1,85","2,16","2,26","-","2,10","2,25","1,81","-","2,53","1,98","2,19","-","2,69","-","1,55","1,71","1,84","-",
"FSO_T01_SKPAuto_VerzekererdJaNee","-","-","0,30","-","-","0,30","0,31","-","-","0,31","0,35","-","0,34","0,29","0,29","-","0,27","0,33","0,47","-","0,32","0,39","0,29","-","0,42","-","0,36","0,33","0,54","-",
"FSO_T02_SKPAuto_Kenteken","-","-","0,33","-","-","0,27","0,32","-","-","0,31","0,29","-","0,27","0,44","0,29","-","0,37","0,28","0,30","-","0,29","0,29","0,36","-","0,34","-","0,25","0,38","0,32","-",
"FSO_T03_SKPAuto_AutoCheck","-","-","1,69","-","-","1,70","1,88","-","-","1,55","1,74","-","1,62","1,81","1,38","-","1,71","1,81","1,77","-","1,70","1,35","1,99","-","1,83","-","1,49","1,33","1,65","-",
"FSO_T04_SKPAuto_Postcode","-","-","0,33","-","-","0,29","0,33","-","-","0,30","0,78","-","0,41","0,54","0,33","-","0,43","0,28","0,28","-","0,30","0,35","0,50","-","0,30","-","0,25","0,36","0,73","-",
"FSO_T05_SKPAuto_Bestuurder","-","-","1,50","-","-","1,08","1,33","-","-","1,68","1,83","-","1,00","1,80","1,20","-","1,04","1,19","1,37","-","1,42","1,32","1,61","-","1,18","-","1,41","1,62","1,41","-",
"FSO_T06_SKPAuto_GeboorteDatum","-","-","0,78","-","1,17","0,85","0,83","1,05","-","0,82","0,93","0,96","-","0,96","0,87","-","0,86","-","0,85","0,80","-","0,90","1,12","-","0,93","0,85","0,84","-","0,58","0,78",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,37","2,18","-","-","2,22","-","-","4,03","-","2,04","2,05","3,02","-","1,61","-","1,81","2,02","-","2,45","1,93","-","-","2,41","1,89","2,75","2,06","-","-","2,40","2,23",
"FSO_T08_SKPAuto_Kilometers","0,50","0,55","-","-","0,65","-","-","0,68","-","0,58","0,63","0,46","-","0,73","-","0,68","0,57","-","0,71","0,85","-","-","0,65","0,79","0,73","0,48","-","-","0,73","0,65",
"FSO_T09_SKPAuto_Basisdekking","2,84","2,87","-","-","2,92","-","-","2,84","-","2,90","2,97","2,85","-","2,93","-","5,01","2,89","-","2,81","2,88","-","-","2,92","2,83","2,84","2,91","-","-","2,90","2,92",
"FSO_T10_SKPAuto_Uitbreiding","0,64","0,75","-","-","0,80","-","-","0,76","-","0,64","0,62","0,59","-","0,68","-","0,59","0,73","-","0,87","0,73","-","-","0,73","0,65","0,63","0,87","-","-","0,70","0,73",
"FSO_T11_SKPAuto_Ingangsdatum","0,52","0,47","-","-","0,51","-","-","0,50","-","0,46","0,51","0,48","-","0,50","-","0,48","0,49","-","0,47","0,55","-","-","0,61","0,49","0,48","0,53","-","-","0,62","0,54",
"FSO_T12_SKPAuto_Ongevallen","1,45","1,23","-","1,45","1,51","-","-","-","-","1,34","1,28","-","1,43","1,33","-","1,26","1,85","-","1,25","1,30","-","-","1,06","1,20","1,25","1,29","-","-","1,34","1,33",
"FSO_T13_SKPAuto_Samenvatting1","2,60","0,65","2,60","2,51","2,61","-","0,90","-","0,84","1,78","1,59","-","2,57","0,66","0,61","2,48","0,75","-","-","0,69","2,55","2,62","2,77","-","5,91","2,50","-","-","0,91","-",
"FSO_T14_SKPAuto_PriveZakelijk","0,53","0,58","0,53","0,60","0,59","-","0,53","-","0,52","0,51","0,53","-","0,57","0,54","0,48","0,53","0,53","-","-","0,51","0,47","0,48","0,51","-","0,46","0,50","-","-","0,56","-",
"FSO_T15_SKPAuto_KentekenOpNaam","0,46","0,45","0,46","0,45","0,48","-","0,44","-","0,53","1,47","0,45","-","0,50","2,41","0,40","0,37","0,50","-","-","0,58","0,42","0,39","0,50","-","0,42","0,50","-","-","0,55","-",
"FSO_T16_SKPAuto_Persoonsgegevens","0,66","0,71","0,60","0,74","0,60","-","0,81","-","1,19","1,60","1,14","-","6,05","0,67","0,78","0,51","0,67","-","-","0,76","0,55","0,72","0,63","-","1,02","0,73","-","-","0,88","-",
"FSO_T17_SKPAuto_Adres","2,37","2,06","2,04","2,23","-","2,23","2,49","-","2,18","3,58","2,25","-","2,44","3,00","2,26","2,28","2,04","-","-","2,37","2,25","2,46","2,38","-","2,39","2,70","-","-","2,69","-",
"FSO_T18_SKPAuto_TelefoonEmail","-","-","1,80","1,42","1,23","1,20","-","-","1,50","3,77","1,16","1,43","6,33","1,65","1,49","1,35","-","1,04","1,22","-","1,96","1,10","1,50","-","1,30","1,37","-","-","-","-",
"FSO_T19_SKPAuto_AanvullendeVragen","-","-","7,93","9,68","7,55","7,61","-","-","7,14","9,04","8,26","8,44","14,71","7,98","8,70","7,93","-","8,40","8,02","-","9,19","7,80","8,48","-","8,59","8,23","-","-","-","-",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","-","-","0,53","-","0,44","0,55","-","-","0,54","2,42","0,45","0,43","0,47","0,45","0,54","0,44","0,44","0,42","0,46","-","0,56","0,43","0,49","-","0,50","0,43","-","-","-","-",
"FSO_T21_SKPAuto_StrafbaarFeit","-","-","0,62","-","0,60","0,45","-","-","0,56","2,54","0,64","0,48","0,51","0,45","0,79","0,41","0,44","0,38","0,44","0,55","0,64","0,45","0,61","-","0,44","0,40","-","-","-","-",
"FSO_T22_SKPAuto_EerderSchade","-","-","0,62","-","0,44","0,41","-","-","0,53","2,42","0,53","0,42","0,50","0,41","0,94","0,47","0,39","0,37","0,50","0,43","0,70","0,45","0,45","-","0,42","0,48","-","-","-","-",
"FSO_T23_SKPAuto_MaandJaar","-","-","0,56","-","0,42","0,46","-","-","0,46","2,28","0,42","0,45","0,56","0,39","0,56","0,36","0,48","0,42","0,45","0,36","0,44","0,46","0,40","-","0,44","0,39","-","-","-","-",
"FSO_T24_SKPAuto_Rekeningnummer","-","-","1,71","1,49","1,61","1,46","-","-","1,64","2,52","1,46","1,39","12,21","0,96","1,69","1,45","1,57","1,22","1,30","1,46","1,45","1,38","1,39","-","1,53","1,38","-","-","-","-",
"FSO_T25_SKPAuto_Samenvatting2","3,64","-","3,37","3,34","3,24","3,32","3,16","-","3,08","-","3,75","3,36","3,49","3,33","-","3,26","3,54","3,04","-","2,94","-","2,74","3,27","3,45","3,87","3,40","4,20","-","-","3,78",
"FSO_T26_SKPAuto_EindeScript","0,58","-","0,67","0,51","0,43","0,62","0,51","-","0,42","-","0,55","0,66","0,50","0,45","-","0,46","0,51","0,41","-","0,44","-","0,49","0,47","0,60","0,63","0,49","0,70","-","-","0,50",
 

