Metrics Over Time
Metrics Over Time
,,,13-3 3:30,,,13-3 3:35,,,13-3 3:40,,,13-3 3:45,,,13-3 3:50,,,13-3 3:55,,,13-3 4:00,,,13-3 4:05,,,13-3 4:10,,,13-3 4:15,,,13-3 4:20,,,13-3 4:25,,,13-3 4:30,,,13-3 4:35,,,13-3 4:40,,,13-3 4:45,,,13-3 4:50,,,13-3 4:55,,,13-3 5:00,,,13-3 5:05,,,13-3 5:10,,,13-3 5:15,,,13-3 5:20,,,13-3 5:25,,,13-3 5:30,,,13-3 5:35,,,13-3 5:40,,,13-3 5:45,,,13-3 5:50,,,13-3 5:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","2,11","2,45","3,07","2,36","2,07","1,78","2,55","2,26","2,40","2,55","1,94","2,00","2,14","2,38","2,18","2,50","2,44","1,73","2,67","1,77","2,01","1,92","2,02","2,04","1,96","2,21","1,90","2,64","2,04","2,42",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,27","0,32","0,75","0,43","0,51","1,11","0,35","0,30","0,29","0,33","0,45","0,29","0,34","0,33","0,49","0,43","0,25","0,50","0,39","0,28","1,10","1,05","0,19","0,29","0,34","0,29","0,29","0,30","0,27","0,29",
"FSO_T02_SKPAuto_Kenteken","0,39","0,31","0,28","0,31","0,29","1,01","0,28","0,31","0,27","0,35","0,33","0,29","0,35","0,31","0,27","0,32","0,28","0,28","0,27","0,28","1,26","1,06","0,33","0,31","0,25","0,28","0,27","0,33","0,29","0,30",
"FSO_T03_SKPAuto_AutoCheck","1,61","1,64","2,65","1,76","1,85","2,17","1,51","1,50","1,88","1,75","1,78","1,56","1,66","1,63","1,60","1,58","2,05","1,54","1,54","1,69","2,32","2,73","1,67","1,80","1,51","1,48","1,79","1,81","1,67","1,60",
"FSO_T04_SKPAuto_Postcode","0,32","0,97","0,29","0,31","0,57","1,26","0,29","0,52","0,38","0,36","0,59","0,29","0,41","0,71","0,31","0,28","0,43","0,25","0,32","0,56","1,22","1,24","0,63","0,29","0,27","0,40","0,35","0,31","0,66","0,30",
"FSO_T05_SKPAuto_Bestuurder","1,28","1,26","1,47","1,51","1,34","2,23","1,33","2,15","1,31","1,25","1,29","1,29","1,34","1,40","1,22","1,64","1,29","1,09","1,14","1,71","2,25","2,14","1,37","1,12","1,16","0,94","1,26","1,00","1,32","1,20",
"FSO_T06_SKPAuto_GeboorteDatum","0,90","0,86","0,87","0,82","0,91","1,44","0,86","0,98","1,02","0,95","0,91","1,17","0,94","0,84","0,93","0,85","0,87","0,94","0,94","1,02","1,50","2,22","0,81","1,06","0,82","0,90","1,04","0,86","0,86","1,19",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,07","2,12","2,27","1,84","2,09","2,90","2,14","2,43","2,15","2,80","2,15","2,10","2,36","2,34","2,48","2,20","1,81","2,45","1,81","2,15","3,24","3,70","2,07","1,80","2,17","2,15","2,16","2,02","2,30","1,94",
"FSO_T08_SKPAuto_Kilometers","0,61","0,73","0,84","0,57","0,60","1,43","0,58","0,74","0,59","0,75","0,59","0,71","0,40","0,73","0,55","0,66","0,67","0,67","0,70","0,48","1,52","2,56","0,68","0,61","0,66","0,64","0,58","0,36","0,64","0,69",
"FSO_T09_SKPAuto_Basisdekking","2,94","2,91","2,96","2,93","2,90","3,69","3,57","2,97","2,94","3,06","2,97","1,72","2,88","2,95","2,88","2,87","2,93","2,84","2,92","2,95","3,70","4,54","3,04","2,03","2,95","2,88","2,92","0,96","2,99","2,93",
"FSO_T10_SKPAuto_Uitbreiding","0,70","0,66","0,62","0,65","0,66","0,70","0,74","1,05","0,68","0,73","0,73","0,60","0,69","0,76","0,65","0,62","0,66","0,69","0,68","0,70","0,64","0,82","0,72","0,86","0,66","0,75","0,74","0,64","0,69","0,64",
"FSO_T11_SKPAuto_Ingangsdatum","0,54","0,50","0,48","0,51","0,46","1,44","0,51","0,55","0,56","0,46","0,56","0,47","0,50","0,52","0,48","0,48","0,49","0,54","0,47","0,49","2,01","2,33","0,48","0,74","0,49","0,46","0,47","0,54","0,51","0,47",
"FSO_T12_SKPAuto_Ongevallen","1,40","1,34","1,17","1,54","1,57","1,28","1,35","1,35","1,51","1,34","1,32","1,29","1,30","1,30","1,36","1,53","1,30","1,25","1,24","1,23","1,23","1,48","1,31","1,48","1,20","1,31","1,08","1,34","2,79","1,22",
"FSO_T13_SKPAuto_Samenvatting1","1,56","1,60","2,50","0,63","1,71","2,47","2,47","2,56","0,46","2,57","0,68","0,63","1,69","1,63","0,66","1,52","1,71","2,51","2,56","1,64","4,35","3,42","0,71","2,54","0,89","2,62","0,56","1,58","1,77","0,51",
"FSO_T14_SKPAuto_PriveZakelijk","0,51","0,61","0,46","0,49","0,54","0,56","0,50","0,51","0,49","0,48","0,51","0,51","0,57","0,56","0,55","0,47","0,59","0,49","0,47","0,54","0,48","0,56","0,52","0,55","0,44","0,67","0,57","0,45","0,49","0,48",
"FSO_T15_SKPAuto_KentekenOpNaam","0,47","0,45","0,36","0,43","0,43","0,43","1,36","0,42","0,36","0,45","0,47","0,40","0,46","0,49","0,38","0,42","0,34","0,47","0,49","0,46","2,69","1,78","0,49","0,57","0,40","0,44","0,45","0,43","0,43","0,43",
"FSO_T16_SKPAuto_Persoonsgegevens","0,63","0,57","0,54","0,70","0,59","0,82","1,65","0,54","0,85","0,59","0,85","0,87","0,73","0,59","0,58","0,57","0,61","0,59","0,54","0,63","3,00","1,72","1,07","1,39","0,80","0,67","0,82","0,58","0,68","0,50",
"FSO_T17_SKPAuto_Adres","2,58","2,11","2,33","2,14","2,44","2,55","3,16","2,31","2,26","2,12","2,44","2,40","2,26","2,57","2,18","2,22","2,07","2,41","2,26","2,18","4,06","3,32","2,30","0,00","2,32","2,90","2,23","2,25","2,45","2,28",
"FSO_T18_SKPAuto_TelefoonEmail","1,28","1,25","1,35","0,67","1,56","1,30","2,53","1,15","1,28","1,41","1,48","1,33","1,15","1,54","1,22","1,36","1,30","1,39","1,41","1,21","2,37","2,33","0,98","1,58","1,11","-","1,40","1,29","1,53","1,29",
"FSO_T19_SKPAuto_AanvullendeVragen","7,98","8,30","8,79","8,60","7,87","8,01","9,26","8,86","8,36","7,51","8,64","8,20","8,86","8,10","8,24","8,55","9,25","7,73","8,07","8,30","8,21","9,27","8,24","8,92","8,59","-","8,30","8,31","8,74","8,21",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","0,43","0,42","0,45","0,42","0,40","0,40","1,40","0,35","0,48","0,47","0,38","0,45","0,50","0,44","0,45","0,41","0,36","0,36","0,46","0,40","1,35","0,43","1,47","0,40","0,44","-","0,43","0,37","0,71","0,45",
"FSO_T21_SKPAuto_StrafbaarFeit","0,42","0,54","0,43","0,36","0,46","0,44","2,39","0,48","0,46","0,40","0,52","0,55","0,37","0,52","0,42","0,39","0,54","0,39","0,47","0,54","1,53","0,45","1,56","0,46","0,40","0,46","0,46","0,46","0,45","0,50",
"FSO_T22_SKPAuto_EerderSchade","0,46","0,46","0,46","0,39","0,44","0,49","2,44","0,47","0,41","0,44","0,43","0,55","0,46","0,45","0,44","0,44","0,53","0,47","0,43","0,45","1,40","0,39","1,51","0,47","0,54","0,40","0,44","0,39","0,45","0,45",
"FSO_T23_SKPAuto_MaandJaar","0,39","0,41","0,51","0,45","0,43","0,44","2,24","0,44","0,47","0,44","0,46","0,54","0,40","0,54","0,37","0,38","0,40","0,39","0,45","0,45","1,33","0,44","1,35","0,40","0,39","0,37","0,47","0,41","0,44","0,42",
