Metrics Over Time
Metrics Over Time
,,,14-3 19:30,,,14-3 19:35,,,14-3 19:40,,,14-3 19:45,,,14-3 19:50,,,14-3 19:55,,,14-3 20:00,,,14-3 20:05,,,14-3 20:10,,,14-3 20:15,,,14-3 20:20,,,14-3 20:25,,,14-3 20:30,,,14-3 20:35,,,14-3 20:40,,,14-3 20:45,,,14-3 20:50,,,14-3 20:55,,,14-3 21:00,,,14-3 21:05,,,14-3 21:10,,,14-3 21:15,,,14-3 21:20,,,14-3 21:25,,,14-3 21:30,,,14-3 21:35,,,14-3 21:40,,,14-3 21:45,,,14-3 21:50,,,14-3 21:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","3,05","2,18","-","-","2,29","2,37","3,21","2,16","2,83","-","2,46","2,14","-","2,72","-","2,29","2,20","2,35","2,28","-","2,42","3,17","-","-","-","2,18","3,68","2,96","2,48","-",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,34","0,24","-","-","0,48","0,39","0,54","0,24","1,06","-","0,22","0,48","-","0,34","-","0,23","0,30","0,29","0,48","-","0,35","1,10","-","-","-","0,35","1,34","0,43","0,30","-",
"FSO_T02_SKPAuto_Kenteken","0,44","0,45","-","-","0,40","0,42","0,40","0,41","1,15","-","0,41","0,35","-","0,41","-","0,39","0,41","0,35","0,37","-","0,40","1,22","-","-","-","0,44","0,40","0,44","0,34","-",
"FSO_T03_SKPAuto_AutoCheck","2,08","1,80","-","-","1,98","1,55","1,57","1,77","3,33","-","2,40","1,44","-","1,52","-","1,84","1,99","1,28","2,43","-","1,42","2,45","-","-","-","1,92","4,40","1,70","2,03","-",
"FSO_T04_SKPAuto_Postcode","0,43","0,58","-","-","1,58","0,41","0,46","0,51","1,29","-","0,75","0,37","-","0,62","-","0,39","0,53","0,37","0,39","-","0,41","1,25","-","-","-","0,67","0,43","0,43","0,41","-",
"FSO_T05_SKPAuto_Bestuurder","1,50","1,38","-","-","1,59","1,33","1,76","1,69","2,81","-","1,10","1,39","-","1,08","-","1,41","1,13","1,27","1,22","-","1,60","2,22","-","-","-","1,86","1,47","1,30","1,69","-",
"FSO_T06_SKPAuto_GeboorteDatum","0,91","0,92","-","-","1,03","1,10","-","1,07","1,91","0,88","0,93","1,07","0,92","-","1,25","-","0,89","0,88","1,05","0,95","0,96","1,24","2,06","0,90","0,88","-","0,91","0,90","0,91","-",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,12","1,99","-","3,63","4,06","2,82","-","5,64","3,56","1,61","3,24","2,26","2,14","-","2,88","-","2,12","2,14","2,25","1,97","2,48","1,86","3,84","2,18","2,65","-","2,15","2,18","2,53","-",
"FSO_T08_SKPAuto_Kilometers","0,88","0,79","-","2,28","0,60","0,87","-","0,92","2,45","0,74","0,63","0,79","0,91","-","1,15","-","0,83","0,78","0,72","0,79","0,72","0,78","2,62","0,82","0,59","-","0,72","0,77","0,65","-",
"FSO_T09_SKPAuto_Basisdekking","3,02","2,91","-","4,82","4,12","5,01","-","3,28","4,47","2,88","3,10","3,14","2,87","-","2,90","-","5,18","2,96","3,04","3,06","2,96","2,94","2,98","5,08","0,67","-","0,74","3,05","3,07","-",
"FSO_T10_SKPAuto_Uitbreiding","0,73","0,68","-","0,78","0,85","0,67","-","0,92","0,66","0,79","0,69","0,67","0,74","-","0,75","-","0,77","0,68","0,66","0,72","0,73","0,75","0,77","0,78","0,57","-","0,79","0,80","0,71","-",
