Metrics Over Time
Metrics Over Time
,,,18-3 23:30,,,18-3 23:35,,,18-3 23:40,,,18-3 23:45,,,18-3 23:50,,,18-3 23:55,,,19-3 0:00,,,19-3 0:05,,,19-3 0:10,,,19-3 0:15,,,19-3 0:20,,,19-3 0:25,,,19-3 0:30,,,19-3 0:35,,,19-3 0:40,,,19-3 0:45,,,19-3 0:50,,,19-3 0:55,,,19-3 1:00,,,19-3 1:05,,,19-3 1:10,,,19-3 1:15,,,19-3 1:20,,,19-3 1:25,,,19-3 1:30,,,19-3 1:35,,,19-3 1:40,,,19-3 1:45,,,19-3 1:50,,,19-3 1:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","2,68","2,09","1,89","2,14","1,99","1,97","2,49","1,84","1,91","1,85","2,35","2,19","2,21","2,16","2,18","2,01","2,16","2,01","1,80","2,69","2,11","2,07","2,09","2,04","2,50","2,05","2,34","1,97","1,75","2,15",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,26","0,33","0,25","1,02","0,32","0,28","0,30","0,29","0,29","0,20","0,29","0,31","0,25","0,46","0,29","0,34","0,30","0,28","0,30","0,20","0,28","1,04","0,28","0,33","0,26","0,32","1,08","0,31","0,37","0,36",
"FSO_T02_SKPAuto_Kenteken","0,32","0,28","0,28","1,10","0,30","0,30","0,40","0,30","0,27","0,42","0,30","0,26","0,28","0,36","0,29","0,32","0,32","0,29","0,32","0,39","0,28","1,04","0,30","0,33","0,29","0,28","1,01","0,34","0,38","0,27",
"FSO_T03_SKPAuto_AutoCheck","1,62","1,75","1,66","2,28","1,49","1,41","2,39","2,04","1,61","1,39","1,59","1,93","1,49","1,66","1,67","1,95","1,28","1,53","2,95","1,98","1,59","2,91","1,92","1,65","1,68","1,35","2,52","1,51","1,87","1,55",
"FSO_T04_SKPAuto_Postcode","0,30","0,91","0,31","1,35","0,64","0,31","0,29","0,49","0,32","0,40","0,69","0,32","0,27","0,71","0,30","0,37","0,51","0,31","0,36","1,72","0,30","1,54","0,78","0,31","0,29","0,41","1,25","0,30","0,92","0,31",
"FSO_T05_SKPAuto_Bestuurder","1,41","1,38","1,23","2,09","1,35","1,17","1,46","1,32","1,22","1,39","1,72","1,30","1,19","1,48","1,22","1,41","1,38","1,41","1,20","1,41","1,23","1,90","1,99","1,30","1,59","1,18","2,01","1,15","1,41","1,52",
"FSO_T06_SKPAuto_GeboorteDatum","0,87","0,90","0,81","2,03","0,91","0,88","0,88","0,90","0,97","-","0,85","0,86","1,20","0,81","0,88","0,78","1,35","0,82","0,87","0,95","0,86","1,85","1,46","0,87","0,89","1,56","1,34","1,25","0,85","0,89",
"FSO_T07_SKPAuto_SchadeVrijeJaren","3,04","2,54","2,68","3,43","2,29","2,54","3,12","2,23","1,99","-","2,51","4,11","3,48","4,64","2,61","2,17","2,37","2,02","2,14","1,87","2,12","2,29","2,45","4,30","3,96","2,16","4,78","2,21","1,99","2,18",
"FSO_T08_SKPAuto_Kilometers","0,67","0,61","0,57","2,52","0,58","0,66","0,64","0,60","0,46","-","0,70","0,60","0,62","0,55","0,74","0,56","1,30","0,64","0,49","0,61","0,58","0,73","1,80","0,68","0,73","0,82","1,58","0,65","0,75","0,54",
"FSO_T09_SKPAuto_Basisdekking","2,84","2,88","2,90","4,95","3,06","2,90","2,92","2,90","2,92","-","3,01","3,90","5,03","2,92","2,88","2,85","2,89","2,89","2,89","3,05","2,92","2,83","2,96","2,93","2,92","2,90","3,72","2,82","2,94","2,85",
